dataset,arm,readout,policy,fixed_scale,partition,output_shape,prefix_max_abs,fixed_fast_path_max_abs,decoder_parameters,dense_parameter_gap,encoder_hash,operator_hash,pcsd_hash,readout_hash,pass
Weather,a6,learned-basis-forecast-operator,control,720,control,"(1, 720, 1)",0.0,,381904,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,27a124b7f05d93eccbe02e946fda197878af9ffdef48b7027008cc76f0a2c509,,27a124b7f05d93eccbe02e946fda197878af9ffdef48b7027008cc76f0a2c509,True
Weather,pcsd_m0,pcsd-coupling-field-m0,control,720,control,"(1, 720, 1)",0.0,,381904,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,27a124b7f05d93eccbe02e946fda197878af9ffdef48b7027008cc76f0a2c509,,c16103c048bb057d63a0659460c4cd545d882c66da28965faacf04bc7db09f53,True
Weather,pcsd_fixed_1,pcsd-coupling-field,fixed,1,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_fixed_48,pcsd-coupling-field,fixed,48,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_fixed_144,pcsd-coupling-field,fixed,144,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_fixed_360,pcsd-coupling-field,fixed,360,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_fixed_720,pcsd-coupling-field,fixed,720,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_equal,pcsd-coupling-field,equal,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_static,pcsd-coupling-field,static-target,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,pcsd_direct,pcsd-coupling-field,direct,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
