dataset,arm,status,readout_mode,profile_hash,dense_horizon_count,dense_mse_auc,dense_mae_auc,h720_mse,h720_mae,epochs_ran,best_epoch,best_val_mse,invariant_pass,full_prefix_max_abs,total_parameters,pmfo_decoder_parameters,run_dir,h48_mse,h48_mae,h96_mse,h96_mae,h192_mse,h192_mae,h336_mse,h336_mae
ETTm1,a6,ok,learned-basis-forecast-operator,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3595285381664244,0.37761922735407627,0.4234940598718822,0.41122233834531574,8,3,0.9540848868174685,True,2.384185791015625e-07,945088,,analysis/stage_c_step7b_pmfo_rct_20260713/raw/a6/ETTm1/h720_full/seed2021,0.2809850367096563,0.3340337835252285,0.30022147569494945,0.34707934005806845,0.33365418928830576,0.36591272909815115,0.3690995359128075,0.3837177387128274
ETTm1,dense_mlp_matched,ok,dense-mlp-matched,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3702980574119356,0.3845395670066517,0.431377233326849,0.416314773592684,7,2,0.9651691402619084,True,0.0,778320,215136,analysis/stage_c_step7b_pmfo_rct_20260713/raw/dense_mlp_matched/ETTm1/h720_full/seed2021,0.29473188721264404,0.3438380590329568,0.3155320557610442,0.35631520425279933,0.3453662069902445,0.3727749278768897,0.3781993284688464,0.389314436220697
ETTm1,pmfo_no_transition,ok,pmfo-rct-no-transition,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.36384280053151874,0.3769070451065589,0.4254502966482606,0.41010274142026903,9,4,0.9712337224019898,True,1.4901161193847656e-08,1116864,553680,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_no_transition/ETTm1/h720_full/seed2021,0.2848330386914313,0.3334814707438151,0.3055255148404588,0.34646948364873725,0.33894121084207046,0.3649671779324611,0.37375432277275694,0.38299591111994924
ETTm1,pmfo_no_conservation,ok,pmfo-rct-no-conservation,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.37092300178931276,0.38550009112026007,0.4347506803046498,0.41868350859731435,7,2,0.9817176178097725,True,2.980232238769531e-07,775742,212558,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_no_conservation/ETTm1/h720_full/seed2021,0.2890385117692252,0.3411541621511181,0.3116096656303853,0.3551674213570853,0.34510196547489613,0.37348964523213607,0.3803388596334982,0.39131151135301306
ETTm1,pmfo_rct,ok,pmfo-rct,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3670225181006867,0.38265780354312773,0.42876584129408,0.41537241407980524,7,2,0.9764121536372437,True,4.470348358154297e-07,775194,212010,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_rct/ETTm1/h720_full/seed2021,0.2872365211757521,0.33898398497452337,0.3096321877868225,0.35268980559582513,0.34241546228683245,0.37108183970364433,0.3763870464948316,0.3887620789575435
ETTh2,a6,ok,learned-basis-forecast-operator,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3240847550313552,0.3799750191886177,0.4177470867729021,0.4460598741761512,7,2,0.6463288881402048,True,1.7881393432617188e-07,972896,,analysis/stage_c_step7b_pmfo_rct_20260713/raw/a6/ETTh2/h720_full/seed2021,0.2125030791697403,0.2982332833732168,0.2542684580354641,0.3277932664689918,0.2977657573840891,0.35808473786649603,0.33246343829003827,0.38648879239779144
ETTh2,dense_mlp_matched,ok,dense-mlp-matched,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3319592411444605,0.3886130874773057,0.4164088253138794,0.44608107076750864,6,1,0.6875478913386662,True,0.0,806128,215136,analysis/stage_c_step7b_pmfo_rct_20260713/raw/dense_mlp_matched/ETTh2/h720_full/seed2021,0.24300681023548046,0.32361833564937115,0.27327985952918726,0.34392331074923277,0.3107119696990897,0.3709601069179674,0.3361062000816067,0.3930786456025782
ETTh2,pmfo_no_transition,ok,pmfo-rct-no-transition,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3266801122994062,0.3849909817189295,0.41423905688441465,0.44538567525645095,7,2,0.6722565478334824,True,1.1920928955078125e-07,1144672,553680,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_no_transition/ETTh2/h720_full/seed2021,0.24845516278098026,0.3257088040312131,0.27680782057965797,0.34623891053100425,0.3063611916732043,0.36815357751523453,0.32429529757549364,0.38533838448070346
ETTh2,pmfo_no_conservation,ok,pmfo-rct-no-conservation,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.3443575522232645,0.3964143475498935,0.43584519595735605,0.458718872980939,6,1,0.7056560781473915,True,1.1920928955078125e-07,803550,212558,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_no_conservation/ETTh2/h720_full/seed2021,0.2482477476199468,0.3259763605892658,0.2824948678414027,0.34850546314070624,0.3207361379948755,0.37680944086362916,0.34753953692104134,0.4007675236179715
ETTh2,pmfo_rct,ok,pmfo-rct,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.32563480348346807,0.3829687890141172,0.4223083025051488,0.45075292508635256,7,2,0.6830071039911774,True,3.5762786865234375e-07,803002,212010,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_rct/ETTh2/h720_full/seed2021,0.2240814995020628,0.30623730396231014,0.2615435142070055,0.33249768149107695,0.3006156790070236,0.36148044823979336,0.32760350814177874,0.38657970495876814
Weather,a6,ok,learned-basis-forecast-operator,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.22832086629656828,0.256567699563439,0.30875378738985293,0.31830334069414273,17,12,0.5898309694189164,True,8.344650268554688e-07,972896,,analysis/stage_c_step7b_pmfo_rct_20260713/raw/a6/Weather/h720_full/seed2021,0.11624729936011136,0.15293149867405495,0.14548136631492525,0.1882202021467189,0.18676785858891284,0.22897731427413723,0.23713251690025486,0.26921480889653876
Weather,dense_mlp_matched,ok,dense-mlp-matched,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.22852963933534787,0.2580306116312718,0.30691837485258777,0.31873537296843196,8,3,0.5960483253416088,True,0.0,806128,215136,analysis/stage_c_step7b_pmfo_rct_20260713/raw/dense_mlp_matched/Weather/h720_full/seed2021,0.11927376827225089,0.15598789835348725,0.14705246648130318,0.19104892069784304,0.18767349356009314,0.231031373104391,0.23666040260078652,0.2699543573627515
Weather,pmfo_no_transition,ok,pmfo-rct-no-transition,254d85d47a9e5b7c212f8a8b88decf17a0328a1ea1df324c9cc65be4c672a50c,720,0.23159421243060077,0.25931908864541714,0.3103173814610475,0.31902758159364264,13,8,0.5924429371125168,True,0.0,1144672,553680,analysis/stage_c_step7b_pmfo_rct_20260713/raw/pmfo_no_transition/Weather/h720_full/seed2021,0.1206098470526437,0.15892548315847912,0.14972324413247406,0.19341540623766681,0.19087385180561492,0.2328643185319379,0.24028023152745195,0.2713846572053929
