dataset,reference_arm,segment,start_horizon,end_horizon,pmfo_mean_mse,reference_mean_mse,pmfo_improvement_pct,pmfo_winning_horizons,segment_horizon_count
ETTm1,a6,H1-48,1,48,0.22282755601630028,0.21431667395082557,-3.971171215277214,0,48
ETTm1,a6,H49-96,49,96,0.30175444969042,0.29355427310202714,-2.7934107385801266,0,48
ETTm1,a6,H97-192,97,192,0.32927637015955546,0.32008793324339285,-2.870597720775625,0,96
ETTm1,a6,H193-336,193,336,0.36017079340186103,0.35245777778569465,-2.1883516557992255,0,144
ETTm1,a6,H337-720,337,720,0.4052113306598608,0.3984384906999554,-1.6998458025496488,0,384
ETTm1,dense_mlp_matched,H1-48,1,48,0.22282755601630028,0.2343376499633701,4.9117561556450635,48,48
ETTm1,dense_mlp_matched,H49-96,49,96,0.30175444969042,0.3077656863261915,1.9531861097082825,48,48
ETTm1,dense_mlp_matched,H97-192,97,192,0.32927637015955546,0.33305177705576827,1.133579568194476,96,96
ETTm1,dense_mlp_matched,H193-336,193,336,0.36017079340186103,0.36250490024890086,0.6438828400491148,144,144
ETTm1,dense_mlp_matched,H337-720,337,720,0.4052113306598608,0.4073436587539042,0.5234715327510853,384,384
ETTm1,pmfo_no_transition,H1-48,1,48,0.22282755601630028,0.21937977589873803,-1.571603445868086,0,48
ETTm1,pmfo_no_transition,H49-96,49,96,0.30175444969042,0.298037763930936,-1.2470519542433722,0,48
ETTm1,pmfo_no_transition,H97-192,97,192,0.32927637015955546,0.3256829518794148,-1.103348596972653,0,96
ETTm1,pmfo_no_transition,H193-336,193,336,0.36017079340186103,0.3576816492935042,-0.6959104872372945,0,144
ETTm1,pmfo_no_transition,H337-720,337,720,0.4052113306598608,0.40197670206297065,-0.804680614645048,0,384
ETTm1,pmfo_no_conservation,H1-48,1,48,0.22282755601630028,0.2264765803040653,1.611214847409781,48,48
ETTm1,pmfo_no_conservation,H49-96,49,96,0.30175444969042,0.3028848699771553,0.37321781270241994,48,48
ETTm1,pmfo_no_conservation,H97-192,97,192,0.32927637015955546,0.3314699679700946,0.6617787499641703,96,96
ETTm1,pmfo_no_conservation,H193-336,193,336,0.36017079340186103,0.36382289795229,1.0038138256234452,144,144
ETTm1,pmfo_no_conservation,H337-720,337,720,0.4052113306598608,0.41000936834517643,1.1702263547491154,384,384
ETTh2,a6,H1-48,1,48,0.1899917954707772,0.1729235530239839,-9.870397726807067,0,48
ETTh2,a6,H49-96,49,96,0.24575636662903022,0.2366470176515263,-3.8493402823769562,0,48
ETTh2,a6,H97-192,97,192,0.28277148696765864,0.2774726393876062,-1.9096829120691883,0,96
ETTh2,a6,H193-336,193,336,0.31658398432839685,0.3182642371640805,0.5279427090695621,106,144
ETTh2,a6,H337-720,337,720,0.3666848704039632,0.3677453455659205,0.288372150659133,210,384
ETTh2,dense_mlp_matched,H1-48,1,48,0.1899917954707772,0.2151035940974331,11.674281283873512,48,48
ETTh2,dense_mlp_matched,H49-96,49,96,0.24575636662903022,0.2604318762248174,5.635066570391157,48,48
ETTh2,dense_mlp_matched,H97-192,97,192,0.28277148696765864,0.2934418149398286,3.636267031117557,96,96
ETTh2,dense_mlp_matched,H193-336,193,336,0.31658398432839685,0.3259659109642229,2.8781925717550783,144,144
ETTh2,dense_mlp_matched,H337-720,337,720,0.3666848704039632,0.36738397300904135,0.19029208034095912,198,384
ETTh2,pmfo_no_transition,H1-48,1,48,0.1899917954707772,0.21719782280906286,12.525920834023408,48,48
ETTh2,pmfo_no_transition,H49-96,49,96,0.24575636662903022,0.26497796156212616,7.254035324212915,48,48
ETTh2,pmfo_no_transition,H97-192,97,192,0.28277148696765864,0.29288746212918604,3.453877843724662,96,96
ETTh2,pmfo_no_transition,H193-336,193,336,0.31658398432839685,0.31707895380395157,0.15610291052642333,70,144
ETTh2,pmfo_no_transition,H337-720,337,720,0.3666848704039632,0.3601267643062096,-1.8210549028167655,0,384
ETTh2,pmfo_no_conservation,H1-48,1,48,0.1899917954707772,0.21490393393150622,11.592220768126548,48,48
ETTh2,pmfo_no_conservation,H49-96,49,96,0.24575636662903022,0.2679097531407146,8.268973507675437,48,48
ETTh2,pmfo_no_conservation,H97-192,97,192,0.28277148696765864,0.30326198242247043,6.756697720938442,96,96
ETTh2,pmfo_no_conservation,H193-336,193,336,0.31658398432839685,0.3370172008927713,6.062959549318581,144,144
ETTh2,pmfo_no_conservation,H337-720,337,720,0.3666848704039632,0.38312175359418643,4.290250562914699,384,384
