dataset,candidate_arm,reference_arm,candidate_dense_mse_auc,reference_dense_mse_auc,dense_mse_improvement_pct,dense_mae_improvement_pct
ETTm1,dense_mlp_matched,a6,0.3702980574119356,0.3595285381664244,-2.995456021498377,-1.832623751990936
ETTm1,pmfo_no_transition,a6,0.36384280053151874,0.3595285381664244,-1.1999777227968744,0.18859798334621702
ETTm1,pmfo_no_conservation,a6,0.37092300178931276,0.3595285381664244,-3.169279323694174,-2.0869868892545274
ETTm1,pmfo_rct,a6,0.3670225181006867,0.3595285381664244,-2.0843908448773485,-1.3343007516741334
ETTh2,dense_mlp_matched,a6,0.3319592411444605,0.3240847550313552,-2.429761348182957,-2.2733253115253094
ETTh2,pmfo_no_transition,a6,0.3266801122994062,0.3240847550313552,-0.8008267059028684,-1.3200769200624407
ETTh2,pmfo_no_conservation,a6,0.3443575522232645,0.3240847550313552,-6.255399822786445,-4.32642345709453
ETTh2,pmfo_rct,a6,0.32563480348346807,0.3240847550313552,-0.4782849017266777,-0.7878859594223409
Weather,dense_mlp_matched,a6,0.22852963933534787,0.22832086629656828,-0.09143844019425806,-0.5701855963638369
Weather,pmfo_no_transition,a6,0.23159421243060077,0.22832086629656828,-1.433660526576963,-1.0723832682990597
Weather,pmfo_no_conservation,a6,0.23119725133165145,0.22832086629656828,-1.2597994575524352,-0.21016033070233586
Weather,pmfo_rct,a6,0.22997351719599124,0.22832086629656828,-0.723828236213997,0.04044123194170135
