family,value,source_run_count,fit_macro_gain_l1_percent,fit_macro_gain_mse_percent,heldout_dataset,selected
convex_uniform,0.0,12,0.0,0.0,ETTh1,False
convex_uniform,0.05,12,0.023241613303493874,0.052702054819876255,ETTh1,False
convex_uniform,0.1,12,0.04334056283427553,0.10028579866401173,ETTh1,False
convex_uniform,0.2,12,0.07382121018106406,0.1800983534251501,ETTh1,False
convex_uniform,0.3,12,0.09152051409894262,0.23943766428340027,ETTh1,True
convex_uniform,0.5,12,0.0871247878984488,0.29669655429123415,ETTh1,False
convex_uniform,0.75,12,0.012238359577727379,0.25310816984727236,ETTh1,False
convex_uniform,1.0,12,-0.13474424923065698,0.08156201101028789,ETTh1,False
convex_scope_marginal,0.0,12,0.0,0.0,ETTh1,False
convex_scope_marginal,0.05,12,0.025128622611687395,0.055961869058500834,ETTh1,False
convex_scope_marginal,0.1,12,0.04710509179127187,0.10685428460494306,ETTh1,False
convex_scope_marginal,0.2,12,0.08131055699790261,0.1934307551616767,ETTh1,False
convex_scope_marginal,0.3,12,0.10269298229601727,0.25972941167022867,ETTh1,False
convex_scope_marginal,0.5,12,0.10577870833910023,0.33149328254270993,ETTh1,True
convex_scope_marginal,0.75,12,0.04006258634715228,0.3071354171122013,ETTh1,False
convex_scope_marginal,1.0,12,-0.097988849419219,0.15604121388044975,ETTh1,False
temperature,1.0,12,1.875849475752034e-09,9.454246644817014e-09,ETTh1,False
temperature,1.1,12,0.023177251045636282,0.031146025752577338,ETTh1,False
temperature,1.25,12,0.04823291254666221,0.0643276098266532,ETTh1,False
temperature,1.5,12,0.07290731435247444,0.09771920595633421,ETTh1,False
temperature,2.0,12,0.08826527975879701,0.12957062512043704,ETTh1,True
temperature,3.0,12,0.07636636271376636,0.15476010721257963,ETTh1,False
temperature,5.0,12,0.03272064374469456,0.16150514036937144,ETTh1,False
temperature,1000000.0,12,-0.13474293250305044,0.08156286585357202,ETTh1,False
convex_uniform,0.0,12,0.0,0.0,ETTh2,True
convex_uniform,0.05,12,-0.002452173057910604,0.022586247328544123,ETTh2,False
convex_uniform,0.1,12,-0.007938488801491802,0.04037893394940595,ETTh2,False
convex_uniform,0.2,12,-0.02826357725949265,0.06158362506816136,ETTh2,False
convex_uniform,0.3,12,-0.060782492277072775,0.06361407335624773,ETTh2,False
convex_uniform,0.5,12,-0.16364473272218738,0.01015224144042537,ETTh2,False
convex_uniform,0.75,12,-0.3574240983929731,-0.16453016437685633,ETTh2,False
convex_uniform,1.0,12,-0.6182063871935631,-0.4590515878857828,ETTh2,False
convex_scope_marginal,0.0,12,0.0,0.0,ETTh2,True
convex_scope_marginal,0.05,12,-0.00205771048469953,0.022771268534858374,ETTh2,False
convex_scope_marginal,0.1,12,-0.007160573448430907,0.040787394530492994,ETTh2,False
convex_scope_marginal,0.2,12,-0.026760526043126398,0.06255421890409747,ETTh2,False
convex_scope_marginal,0.3,12,-0.0586344793950098,0.0653004731208227,ETTh2,False
convex_scope_marginal,0.5,12,-0.16005470062132507,0.013731271083575192,ETTh2,False
convex_scope_marginal,0.75,12,-0.3522240891576609,-0.1577209385954903,ETTh2,False
convex_scope_marginal,1.0,12,-0.6117576628208323,-0.44805171175511993,ETTh2,False
temperature,1.0,12,2.609461720777991e-09,1.5293119548509537e-08,ETTh2,True
