heldout_dataset,seed,family,value,selected,baseline_l1,candidate_l1,gain_l1_percent,baseline_mse,candidate_mse,gain_mse_percent,policy_entropy_before,policy_entropy_after,policy_mean_l1_movement
ETTh1,2021,convex_uniform,0.0,False,0.8127653307549657,0.8127653307549657,0.0,1.491210492553687,1.491210492553687,0.0,0.9817412247706981,0.9817412247706981,0.0
ETTh1,2021,convex_uniform,0.05,False,0.8127653307549657,0.8128733400181798,-0.013289108076719458,1.491210492553687,1.4918434457183058,-0.042445594889484184,0.9817412247706981,0.9836379542717832,0.0017334892014766877
ETTh1,2021,convex_uniform,0.1,False,0.8127653307549657,0.8129839976973927,-0.026904068634903133,1.491210492553687,1.4924823087007577,-0.08528749988157003,0.9817412247706981,0.9854133568779828,0.00346697840295337
ETTh1,2021,convex_uniform,0.2,False,0.8127653307549657,0.8132136116976991,-0.05515502762858393,1.491210492553687,1.4937777641191612,-0.1721602401735911,0.9817412247706981,0.9886173900297685,0.006933956805906738
ETTh1,2021,convex_uniform,0.3,True,0.8127653307549657,0.8134555725701682,-0.084925105572764,1.491210492553687,1.4950968588088975,-0.26061822087606323,0.9817412247706981,0.9913829961579504,0.010400935208860117
ETTh1,2021,convex_uniform,0.5,False,0.8127653307549657,0.8139769437347523,-0.14907291612218376,1.491210492553687,1.4978059660023686,-0.44228990351233843,0.9817412247706981,0.9956890412918586,0.017334892014766852
ETTh1,2021,convex_uniform,0.75,False,0.8127653307549657,0.8146813757855934,-0.2357439420856977,1.491210492553687,1.501325320895454,-0.6782964841164363,0.9817412247706981,0.9989436105278533,0.02600233802215028
ETTh1,2021,convex_uniform,1.0,False,0.8127653307549657,0.8154439131821176,-0.3295640605959216,1.491210492553687,1.5049924212343695,-0.9242108172858199,0.9817412247706981,1.0000000000000002,0.034669784029533704
ETTh1,2022,convex_uniform,0.0,False,0.8178532961757596,0.8178532961757596,0.0,1.5306926384437938,1.5306926384437938,0.0,0.9863530834982088,0.9863530834982088,0.0
ETTh1,2022,convex_uniform,0.05,False,0.8178532961757596,0.8180264931159411,-0.021177018053397667,1.5306926384437938,1.5313795578330263,-0.044876376352798175,0.9863530834982088,0.9877337225487545,0.0013889471677706326
ETTh1,2022,convex_uniform,0.1,False,0.8178532961757596,0.8182020334349266,-0.04264056412044415,1.5306926384437938,1.5320708217464172,-0.09003658004291815,0.9863530834982088,0.9890332141116268,0.002777894335541262
ETTh1,2022,convex_uniform,0.2,False,0.8178532961757596,0.8185592881793112,-0.08632257237977115,1.5306926384437938,1.5334663831456743,-0.18120846943514568,0.9863530834982088,0.9913959117007369,0.005555788671082524
ETTh1,2022,convex_uniform,0.3,True,0.8178532961757596,0.8189258360790628,-0.13114086698902128,1.5306926384437938,1.5348793226415653,-0.273515668176727,0.9863530834982088,0.9934538299413922,0.00833368300662379
ETTh1,2022,convex_uniform,0.5,False,0.8178532961757596,0.8196835259815012,-0.2237846095747953,1.5306926384437938,1.5377573359232501,-0.46153599370797327,0.9863530834982088,0.9966950452665996,0.013889471677706315
ETTh1,2022,convex_uniform,0.75,False,0.8178532961757596,0.8206774417591081,-0.3453120011319921,1.5306926384437938,1.5414526043189234,-0.7029475157121601,0.9863530834982088,0.9991817325578168,0.020834207516559473
ETTh1,2022,convex_uniform,1.0,False,0.8178532961757596,0.8217179092513397,-0.4725313321656488,1.5306926384437938,1.5452564858185593,-0.9514547211497693,0.9863530834982088,1.0000000000000002,0.02777894335541263
ETTh1,2023,convex_uniform,0.0,False,0.8146447877124153,0.8146447877124153,0.0,1.5048682723664164,1.5048682723664164,0.0,0.9858100764719232,0.9858100764719232,0.0
ETTh1,2023,convex_uniform,0.05,False,0.8146447877124153,0.8147138147056381,-0.008473262735364528,1.5048682723664164,1.5054455262086146,-0.03835909446681107,0.9858100764719232,0.9872788911245073,0.001480678631545395
ETTh1,2023,convex_uniform,0.1,False,0.8146447877124153,0.8147857796298142,-0.017307164978586087,1.5048682723664164,1.506027828405764,-0.07705365716323964,0.9858100764719232,0.988653356643176,0.0029613572630907857
ETTh1,2023,convex_uniform,0.2,False,0.8146447877124153,0.8149387617195061,-0.036086158228076926,1.5048682723664164,1.507207577864917,-0.15544918724494927,0.9858100764719232,0.9911343797751333,0.00592271452618157
ETTh1,2023,convex_uniform,0.3,True,0.8146447877124153,0.8150998952566035,-0.05586576518412656,1.5048682723664164,1.508407520743875,-0.23518659024508448,0.9858100764719232,0.9932782279915159,0.00888407178927236
ETTh1,2023,convex_uniform,0.5,False,0.8146447877124153,0.8154552895693695,-0.09949144328660342,1.5048682723664164,1.5108679867612078,-0.39868701500076487,0.9858100764719232,0.996625336110983,0.01480678631545393
ETTh1,2023,convex_uniform,0.75,False,0.8146447877124153,0.815954392832674,-0.1607578100310647,1.5048682723664164,1.514057157269279,-0.6106105811117146,0.9858100764719232,0.9991689244186251,0.022210179473180897
ETTh1,2023,convex_uniform,1.0,False,0.8146447877124153,0.8165128170923078,-0.2293060003658809,1.5048682723664164,1.5173725366511333,-0.830920852963013,0.9858100764719232,1.0000000000000002,0.02961357263090786
ETTh1,2021,convex_scope_marginal,0.0,False,0.8127653307549657,0.8127653307549657,0.0,1.491210492553687,1.491210492553687,0.0,0.9817412247706981,0.9817412247706981,0.0
ETTh1,2021,convex_scope_marginal,0.05,False,0.8127653307549657,0.8128995851780789,-0.016518227098649696,1.491210492553687,1.4919284514317697,-0.048146045220831546,0.9817412247706981,0.983866018768147,0.002130024265902392
ETTh1,2021,convex_scope_marginal,0.1,False,0.8127653307549657,0.8130367465504719,-0.03339411577190088,1.491210492553687,1.4926537784826581,-0.09678619726578575,0.9817412247706981,0.9858123224026084,0.004260048531804776
ETTh1,2021,convex_scope_marginal,0.2,False,0.8127653307549657,0.8133220572810685,-0.06849781911657526,1.491210492553687,1.494126537102854,-0.19554882182817312,0.9817412247706981,0.9892012071013385,0.008520097063609547
ETTh1,2021,convex_scope_marginal,0.3,False,0.8127653307549657,0.8136226992765901,-0.10548783138031315,1.491210492553687,1.4956287684142742,-0.29628787368716214,0.9817412247706981,0.9919618539239717,0.01278014559541434
