heldout_dataset,seed,family,selected_value,position_start,position_end,baseline_l1,candidate_l1,gain_l1_percent,baseline_mse,candidate_mse,gain_mse_percent,policy_entropy_before,policy_entropy_after,policy_mean_l1_movement
ETTh1,2021,convex_uniform,0.3,0,96,0.3633657303243002,0.3625815785225051,0.2158023545850707,0.28342044508530556,0.2825967766425063,0.2906171580357664,0.9873403442174054,0.9940039802057471,0.008394847928982128
ETTh1,2021,convex_uniform,0.3,96,192,0.3912505555637799,0.390891028747345,0.09189170758284737,0.2740211030834138,0.2735447937626177,0.17382213100979316,0.9836010357850591,0.9922465468309796,0.009669843095124045
ETTh1,2021,convex_uniform,0.3,192,336,0.7146319541181646,0.7127032329744492,0.2698901347191307,0.8524422751795696,0.8500378657959358,0.2820612554823576,0.9781738496778664,0.989701604913881,0.011770358179732933
ETTh1,2021,convex_uniform,0.3,336,720,1.0672939408992292,1.0695973343861844,-0.21581622444277748,2.3369934333036446,2.3455070179919257,-0.3642964745624422,0.981214257815243,0.9911423841942703,0.010571696443186325
ETTh1,2022,convex_uniform,0.3,0,96,0.37618881001463217,0.3757851155295138,0.10731166753807919,0.2897340523867282,0.28918271416638225,0.19029113623484362,0.9886978361931121,0.9945793971684795,0.007617819799563141
ETTh1,2022,convex_uniform,0.3,96,192,0.386795190038243,0.38662389075580206,0.044286818154071206,0.27723524121851034,0.27675739840499114,0.1723600547387072,0.9861427969052591,0.9933505749792194,0.00837927944561757
ETTh1,2022,convex_uniform,0.3,192,336,0.6801226107957647,0.6796519209459966,0.06920661690947849,0.7978626046750293,0.7972870480656757,0.07213730860190504,0.9836009022771615,0.9921307060937982,0.00937188181553936
ETTh1,2022,convex_uniform,0.3,336,720,1.087682951267919,1.0900142207221648,-0.21433354743018995,2.429107896927668,2.4374310587854633,-0.34264274009081497,0.9868515349306133,0.9936944233180113,0.008111925145297167
ETTh1,2023,convex_uniform,0.3,0,96,0.36372225503669,0.36325523267119697,0.12840082206294623,0.2779560996730661,0.27746261739947764,0.1775396453500777,0.9902534980531804,0.9953775791080477,0.00765579350691699
ETTh1,2023,convex_uniform,0.3,96,192,0.39300613063814815,0.39254535708149074,0.11724335086306104,0.27100022842680715,0.2704297630672377,0.21050364528513166,0.9861137100525621,0.9934192349585926,0.008695805427934463
