heldout_dataset,seed,family,selected_value,baseline_l1,candidate_l1,gain_l1_percent,baseline_mse,candidate_mse,gain_mse_percent,policy_entropy_before,policy_entropy_after,policy_mean_l1_movement
ETTh1,2021,convex_uniform,0.3,0.8127653307549657,0.8134555725701682,-0.084925105572764,1.491210492553687,1.4950968588088975,-0.26061822087606323,0.9817412247706981,0.9913829961579504,0.010400935208860117
ETTh1,2022,convex_uniform,0.3,0.8178532961757596,0.8189258360790628,-0.13114086698902128,1.5306926384437938,1.5348793226415653,-0.273515668176727,0.9863530834982088,0.9934538299413922,0.00833368300662379
ETTh1,2023,convex_uniform,0.3,0.8146447877124153,0.8150998952566035,-0.05586576518412656,1.5048682723664164,1.508407520743875,-0.23518659024508448,0.9858100764719232,0.9932782279915159,0.00888407178927236
ETTh1,2021,convex_scope_marginal,0.5,0.8127653307549657,0.8142670793150966,-0.18477025327050534,1.491210492553687,1.4987216491107873,-0.503695259294834,0.9817412247706981,0.9957590381905052,0.021300242659023895
ETTh1,2022,convex_scope_marginal,0.5,0.8178532961757596,0.8200100558715504,-0.2637098494162382,1.5306926384437938,1.539051560917473,-0.5460875856943881,0.9863530834982088,0.9964699397150175,0.019171463066258203
ETTh1,2023,convex_scope_marginal,0.5,0.8146447877124153,0.8156868018066388,-0.12791023890910136,1.5048682723664164,1.5114537214047876,-0.4376096671913743,0.9858100764719232,0.9961660469056106,0.018601430728909872
ETTh1,2021,temperature,2.0,0.8127653307549657,0.8137805508696848,-0.12490937744307207,1.491210492553687,1.4967482381633461,-0.37135908292702524,0.9817412247706981,0.994775578278443,0.016202911799598076
ETTh1,2022,temperature,2.0,0.8178532961757596,0.819475725682122,-0.1983765932042747,1.5306926384437938,1.5368595079549108,-0.40288098055967225,0.9863530834982088,0.9963041239049489,0.013409568334189728
ETTh1,2023,temperature,2.0,0.8146447877124153,0.8153636426129822,-0.08824151475705921,1.5048682723664164,1.5099575310919564,-0.33818632627140577,0.9858100764719232,0.9959624942817447,0.014121145893580721
ETTh2,2021,convex_uniform,0.0,0.5600821349377971,0.5600821349377971,0.0,0.5040390598515311,0.5040390598515311,0.0,0.9017345790869398,0.9017345790869398,0.0
ETTh2,2022,convex_uniform,0.0,0.5449034611942771,0.5449034611942771,0.0,0.49881373177886473,0.49881373177886473,0.0,0.9638304090621339,0.9638304090621339,0.0
ETTh2,2023,convex_uniform,0.0,0.6082463229687343,0.6082463229687343,0.0,0.5635134149421283,0.5635134149421283,0.0,0.8242147719854127,0.8242147719854127,0.0
ETTh2,2021,convex_scope_marginal,0.0,0.5600821349377971,0.5600821349377971,0.0,0.5040390598515311,0.5040390598515311,0.0,0.9017345790869398,0.9017345790869398,0.0
ETTh2,2022,convex_scope_marginal,0.0,0.5449034611942771,0.5449034611942771,0.0,0.49881373177886473,0.49881373177886473,0.0,0.9638304090621339,0.9638304090621339,0.0
ETTh2,2023,convex_scope_marginal,0.0,0.6082463229687343,0.6082463229687343,0.0,0.5635134149421283,0.5635134149421283,0.0,0.8242147719854127,0.8242147719854127,0.0
ETTh2,2021,temperature,1.0,0.5600821349377971,0.560082135042075,-1.8618329100661413e-08,0.5040390598515311,0.5040390596687175,3.626972056025579e-08,0.9017345790869398,0.9017345790959611,5.9408245851392375e-09
ETTh2,2022,temperature,1.0,0.5449034611942771,0.5449034611198592,1.3657086572749222e-08,0.49881373177886473,0.4988137317247934,1.0839984465604857e-08,0.9638304090621339,0.9638304090691346,6.059112520610254e-09
ETTh2,2023,temperature,1.0,0.6082463229687343,0.608246322643557,5.346143527873437e-08,0.5635134149421283,0.5635134141988688,1.3189738190533262e-07,0.8242147719854127,0.8242147718780698,6.247910640909675e-09
ETTm1,2021,convex_uniform,0.2,0.3505365337779761,0.3506171180365694,-0.022988833068215975,0.24792669309859738,0.2479232692749955,0.0013809822407950811,0.8893991783470295,0.932813989713878,0.01793129886498596
ETTm1,2022,convex_uniform,0.2,0.3550101788541264,0.3541648505019455,0.2381138351889911,0.2542560811682335,0.25331126778641394,0.37159912851579824,0.564888946587203,0.7399653506907633,0.0393749753448924
ETTm1,2023,convex_uniform,0.2,0.35210699981169236,0.3521229940823457,-0.004542446092203889,0.25022429431531745,0.25018379902766674,0.01618359550639159,0.8085694029468863,0.8820507926174458,0.02467597934724915
ETTm1,2021,convex_scope_marginal,0.2,0.3505365337779761,0.3506126499484144,-0.02171419042058531,0.24792669309859738,0.24791450738350854,0.004915047644349357,0.8893991783470295,0.9352141945010045,0.020079738061336075
ETTm1,2022,convex_scope_marginal,0.2,0.3550101788541264,0.35406338452693076,0.26669498047960927,0.2542560811682335,0.25317322576206974,0.42589164482845776,0.564888946587203,0.7440766150587227,0.041060660503423364
ETTm1,2023,convex_scope_marginal,0.2,0.35210699981169236,0.3520848379884164,0.006294059273981301,0.25022429431531745,0.2501427147242705,0.032602586119845345,0.8085694029468863,0.8830071049017378,0.025641246218933093
ETTm1,2021,temperature,1.5,0.3505365337779761,0.35064035628146817,-0.029618169145773088,0.24792669309859738,0.24789668915047725,0.012101943419307037,0.8893991783470295,0.9377735011170558,0.02510479771491708
ETTm1,2022,temperature,1.5,0.3550101788541264,0.35415044006293217,0.2421729973966391,0.2542560811682335,0.25322580251649707,0.40521298330510325,0.564888946587203,0.6861857189308516,0.03880868756849731
ETTm1,2023,temperature,1.5,0.35210699981169236,0.3521448506664074,-0.010749816031840886,0.25022429431531745,0.2501142072661618,0.04399534803640748,0.8085694029468863,0.8887736303706096,0.03342721945678794
ETTm2,2021,convex_uniform,0.5,0.286859550771114,0.28829315159756996,-0.4997570492605963,0.14448786001506048,0.14590563797318065,-0.9812436546381198,0.9425537787583912,0.9853682623759951,0.032914494566990596
ETTm2,2022,convex_uniform,0.5,0.2853756023468063,0.2870450528314055,-0.5850011251383735,0.14453700413823603,0.14595432848945608,-0.9805961868868618,0.7994680040225955,0.9487795834176999,0.059564538669790126
ETTm2,2023,convex_uniform,0.5,0.29513992815208173,0.2933182457691387,0.6172266810352989,0.15377150866966077,0.15222429062260007,1.0061799226958934,0.730352575976223,0.933791858588724,0.06928797001715571
ETTm2,2021,convex_scope_marginal,0.3,0.286859550771114,0.28788003782292204,-0.35574449205710845,0.14448786001506048,0.14547089240495256,-0.6803563910418697,0.9425537787583912,0.9717827705059413,0.020038871031407772
ETTm2,2022,convex_scope_marginal,0.3,0.2853756023468063,0.2864612101724706,-0.38041367823202776,0.14453700413823603,0.14546094560477774,-0.639242159508191,0.7994680040225955,0.9066973743237093,0.03817270519355956
ETTm2,2023,convex_scope_marginal,0.3,0.29513992815208173,0.2943293146855186,0.2746539485994015,0.15377150866966077,0.1531704368505722,0.39088633797554895,0.730352575976223,0.8783282097337827,0.04374107344340121
ETTm2,2021,temperature,3.0,0.286859550771114,0.2889316553460494,-0.7223411489578613,0.14448786001506048,0.14655266555876767,-1.4290512320495052,0.9425537787583912,0.993480442525049,0.04423430518616078
ETTm2,2022,temperature,3.0,0.2853756023468063,0.28798401988003536,-0.9140296198338449,0.14453700413823603,0.14676575091308272,-1.5419904322322209,0.7994680040225955,0.9698835552976349,0.07877079052453227
ETTm2,2023,temperature,3.0,0.29513992815208173,0.2924626234866773,0.9071306217926844,0.15377150866966077,0.15144784833376712,1.5111124004677956,0.730352575976223,0.9338491751682668,0.0818956333190114
Weather,2021,convex_uniform,0.75,0.3916675549414988,0.39326716165012404,-0.4084092972327369,0.3221460572388608,0.31702038992879034,1.5911004325190103,0.24275642076658452,0.951313888239722,0.2036934576476898
Weather,2022,convex_uniform,0.75,0.38634626205115985,0.39299928696243247,-1.7220368267447217,0.3095354985357636,0.3141145456226183,-1.479328577341077,0.3195162880195887,0.9579297399583399,0.19047169582647971
Weather,2023,convex_uniform,0.75,0.39486713241770477,0.3987645118549252,-0.9870103427847665,0.32070057736771357,0.32263559683564413,-0.6033726174779819,0.36529258055615327,0.9588168982557485,0.18296461471614245
Weather,2021,convex_scope_marginal,0.75,0.3916675549414988,0.39287465425580936,-0.3081948706450399,0.3221460572388608,0.316368651980239,1.7934117549475492,0.24275642076658452,0.9501749019589855,0.20403688516955232
Weather,2022,convex_scope_marginal,0.75,0.38634626205115985,0.39324529965973115,-1.7857135648067235,0.3095354985357636,0.31424060818485844,-1.5200549440539168,0.3195162880195887,0.9573508480177236,0.19098315944019664
Weather,2023,convex_scope_marginal,0.75,0.39486713241770477,0.3987129615654608,-0.9739552452007638,0.32070057736771357,0.3224209485215673,-0.5364415517971288,0.36529258055615327,0.957995403899783,0.1831555461727061
Weather,2021,temperature,5.0,0.3916675549414988,0.39403278321606494,-0.6038867005257575,0.3221460572388608,0.31948086431233236,0.8273243973159317,0.24275642076658452,0.8102672219261331,0.15895369866669054
Weather,2022,temperature,5.0,0.38634626205115985,0.39179583902770915,-1.410542177273011,0.3095354985357636,0.3139868953357868,-1.4380892728233619,0.3195162880195887,0.8215178235563222,0.14045850398845516
