family,arm,dataset,target_horizon,mse,relative_mse_vs_a6_lbf_r256_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
A6-QBR,a6qbr_r256,ETTh2,96,0.2777315676212311,14.734499508085076,15.49843244491993,False
A6-QBR,a6qbr_r256,ETTh2,192,0.3160788714885711,11.765366062672555,14.012690786693515,False
A6-QBR,a6qbr_r256,ETTh2,336,0.3459528088569641,10.58148049676384,14.326761064973015,False
A6-QBR,a6qbr_r256,ETTh2,720,0.4272038340568542,8.379757412794264,11.163808506361539,False
A6-QBR,a6qbr_r256,ETTm1,96,0.5157432556152344,88.85999771693538,90.59307577335672,False
A6-QBR,a6qbr_r256,ETTm1,192,0.6512030959129333,110.50163853282795,111.3030179514368,False
A6-QBR,a6qbr_r256,ETTm1,336,0.6775591373443604,95.16176328192228,95.43390927957063,False
A6-QBR,a6qbr_r256,ETTm1,720,0.7174170613288879,75.8787059430546,76.39568815982076,False
A6-QBR,a6qbr_r256,Weather,96,0.1466532051563263,3.745382745263326,3.792911325496773,False
A6-QBR,a6qbr_r256,Weather,192,0.189061090350151,3.630780404361511,3.7221493009366613,False
A6-QBR,a6qbr_r256,Weather,336,0.2384189218282699,2.871942618112877,2.914621509510873,False
A6-QBR,a6qbr_r256,Weather,720,0.3101221621036529,2.215747690095893,2.2367465718768464,False
A6-QBR,a6qbr_r512,ETTh2,96,0.2779837250709533,14.838669009013294,15.60329553420312,False
A6-QBR,a6qbr_r512,ETTh2,192,0.3168906271457672,12.052402547435648,14.30549886431789,False
A6-QBR,a6qbr_r512,ETTh2,336,0.3468858301639557,10.879714460532043,14.635095905165208,False
A6-QBR,a6qbr_r512,ETTh2,720,0.4267742931842804,8.270784758859161,11.052036571051381,False
A6-QBR,a6qbr_r512,ETTm1,96,0.5195770263671875,90.26388604233364,92.00984691184311,False
A6-QBR,a6qbr_r512,ETTm1,192,0.6524277329444885,110.89750290043968,111.70038937409555,False
A6-QBR,a6qbr_r512,ETTm1,336,0.6778745055198669,95.25260082778743,95.52487349509755,False
A6-QBR,a6qbr_r512,ETTm1,720,0.7201917171478271,76.55892795222796,77.07790963038606,False
A6-QBR,a6qbr_r512,Weather,96,0.1466145068407058,3.718006790122308,3.765522828686474,False
A6-QBR,a6qbr_r512,Weather,192,0.189091295003891,3.6473365970351113,3.7387200908279183,False
A6-QBR,a6qbr_r512,Weather,336,0.2384345680475235,2.8786935796426993,2.921375271838933,False
A6-QBR,a6qbr_r512,Weather,720,0.3107324838638305,2.416908724911715,2.4379489325830894,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTh2,96,0.2381041496992111,-1.6360989119020952,-0.9811657910105188,True
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTh2,192,0.2764078080654144,-2.262306539116443,-0.2970435715146657,True
