family,arm,mean_mse,mean_vs_a6_lbf_pct,mean_vs_best_control_pct,wins_vs_best_control,horizon_count
A6-LBF,a6_lbf_r256,0.28569777309894556,0.0,0.8800017333094731,0,12
A6-QBR,a6qbr_r256,0.4010954176386197,35.69392186774079,36.78281772291284,0,12
A6-QBR,a6qbr_r512,0.4019565259416898,35.97295284919506,37.064376117508026,0,12
A6ST_uniform,a6st_w02_d0999_wu1,0.2854422181844711,-0.0012468603438685426,0.866531081246455,2,12
A7DG,a7dg_abs004_t001_w02_d0999_wu1,0.2844314016401767,-0.4039202473189036,0.46221962703784647,2,12
A8TAG,a8tag_advratio_w10_d0999_wu1,0.2857792240877946,0.029303388459582035,0.9093870360826335,0,12
