segment_a,segment_b,cosine
0,1,0.18005158007144928
0,2,-0.09838737547397614
0,3,0.7509160041809082
0,4,0.06071576103568077
0,5,-0.19758827984333038
0,6,0.6286441683769226
1,2,0.38058239221572876
1,3,0.34247279167175293
1,4,0.9386450052261353
1,5,0.30424606800079346
1,6,0.2687290608882904
2,3,0.24697954952716827
2,4,0.41880127787590027
2,5,0.9592806100845337
2,6,0.21639305353164673
3,4,0.38810256123542786
3,5,0.22589226067066193
3,6,0.9644696712493896
4,5,0.4241798520088196
4,6,0.3881661295890808
5,6,0.259831041097641
