segment_a,segment_b,cosine
0,1,-0.4432869553565979
0,2,0.8121339082717896
0,3,-0.49161648750305176
0,4,0.7939474582672119
0,5,-0.5103322863578796
0,6,0.7385765910148621
0,7,-0.5168379545211792
0,8,0.7521370053291321
0,9,-0.5135317444801331
0,10,0.7527346014976501
0,11,-0.48371410369873047
0,12,0.7289289236068726
0,13,-0.47827622294425964
0,14,0.7183103561401367
1,2,-0.3647307753562927
1,3,0.9847479462623596
1,4,-0.37471941113471985
1,5,0.9650669693946838
1,6,-0.3786914646625519
1,7,0.9503303170204163
1,8,-0.38498130440711975
1,9,0.9442338347434998
1,10,-0.39448320865631104
1,11,0.946860671043396
1,12,-0.4006315767765045
1,13,0.9386893510818481
1,14,-0.3585081994533539
2,3,-0.33084702491760254
2,4,0.9922559857368469
2,5,-0.3094989061355591
2,6,0.9757866859436035
2,7,-0.31034916639328003
2,8,0.9584717154502869
2,9,-0.3163192570209503
2,10,0.95046466588974
2,11,-0.30376574397087097
2,12,0.9501734972000122
2,13,-0.26448941230773926
2,14,0.9589526057243347
3,4,-0.3304934799671173
3,5,0.9941932559013367
3,6,-0.32085874676704407
3,7,0.9838217496871948
3,8,-0.3308066725730896
3,9,0.9762734770774841
3,10,-0.3422037661075592
3,11,0.9739945530891418
3,12,-0.34474319219589233
3,13,0.9729252457618713
3,14,-0.30093902349472046
4,5,-0.3022645115852356
4,6,0.990599513053894
4,7,-0.29733532667160034
4,8,0.9783613681793213
4,9,-0.30185768008232117
4,10,0.968959629535675
4,11,-0.29028937220573425
4,12,0.9652253985404968
4,13,-0.2534075677394867
4,14,0.9714896082878113
5,6,-0.28198951482772827
5,7,0.9948859810829163
5,8,-0.2917630672454834
5,9,0.9878861904144287
5,10,-0.30367356538772583
5,11,0.982417106628418
5,12,-0.30565720796585083
5,13,0.9832022190093994
5,14,-0.2636362612247467
6,7,-0.2696744203567505
6,8,0.9912661910057068
6,9,-0.2723540663719177
6,10,0.9831503033638
6,11,-0.2646055817604065
6,12,0.9794411063194275
6,13,-0.2279263585805893
6,14,0.9805478453636169
7,8,-0.272632360458374
7,9,0.9960986375808716
7,10,-0.2830106019973755
7,11,0.9906126260757446
7,12,-0.2857603132724762
7,13,0.9877008199691772
7,14,-0.2490881383419037
8,9,-0.2688165009021759
8,10,0.994925856590271
8,11,-0.2582648694515228
8,12,0.9867385625839233
8,13,-0.22815528512001038
8,14,0.9794614315032959
9,10,-0.27412161231040955
9,11,0.9961003065109253
9,12,-0.2767030894756317
9,13,0.9919862151145935
9,14,-0.24273698031902313
10,11,-0.25991350412368774
10,12,0.9938175082206726
10,13,-0.22875191271305084
10,14,0.9843258261680603
11,12,-0.261374831199646
11,13,0.9942883253097534
11,14,-0.2282320111989975
12,13,-0.22386354207992554
12,14,0.9932981729507446
13,14,-0.18437114357948303
