scope,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
all,0.7387757301330566,0.40230870246887207,9.196067810058594,1.699289083480835,11.678569793701172
segment_0,0.7146087288856506,0.4036829173564911,9.62475872039795,0.8125476241111755,11.678569793701172
segment_1,0.8164743781089783,0.39904138445854187,11.746993064880371,0.82338547706604,11.678569793701172
segment_2,0.6730110049247742,0.40000128746032715,8.202422142028809,0.9728263020515442,11.678569793701172
segment_3,0.8152275681495667,0.4060671925544739,11.679051399230957,0.8742315769195557,11.678569793701172
segment_4,0.6761494278907776,0.397388219833374,8.262819290161133,1.048161506652832,11.678569793701172
segment_5,0.8092676401138306,0.4106057286262512,11.168509483337402,0.8845920562744141,11.678569793701172
segment_6,0.679744303226471,0.3948333263397217,8.3208646774292,1.0442630052566528,11.678569793701172
segment_7,0.8062705993652344,0.4129970669746399,10.108589172363281,0.8267390131950378,11.678569793701172
segment_8,0.6712965965270996,0.39116209745407104,7.86568021774292,1.0980889797210693,11.678569793701172
segment_9,0.8035727143287659,0.4131854474544525,9.863205909729004,0.7882094383239746,11.678569793701172
segment_10,0.6728916168212891,0.392914742231369,7.607963562011719,1.0555790662765503,11.678569793701172
segment_11,0.8012339472770691,0.4108349084854126,9.143238067626953,0.7757968306541443,11.678569793701172
segment_12,0.6771228313446045,0.39112985134124756,7.581263065338135,1.0725092887878418,11.678569793701172
segment_13,0.7939879298210144,0.41599828004837036,9.130746841430664,0.836852490901947,11.678569793701172
segment_14,0.6707772612571716,0.3947876989841461,7.634904861450195,1.1060364246368408,11.678569793701172
