dataset,batch_idx,unit_size,unit_count,left_unit,right_unit,unit_distance,pair_kind,demand_cosine,sensitivity_cosine,delta_cosine,demand_js,sensitivity_js,delta_js,label_dependence_cosine,label_dependence_js,delta_label_cosine,delta_label_js,coeff_gradient_cosine
ETTh2,0,180,4,0,1,1,adjacent,0.9761515855789185,0.9858041405677795,0.009652554988861084,0.004629122093319893,0.002168006729334593,0.0024611153639853,0.6413798928260803,0.1035536527633667,0.3444242477416992,0.1013856460340321,0.1569705754518509
ETTh2,0,180,4,0,2,2,far,0.9667270183563232,0.9816465377807617,0.014919519424438477,0.004693304188549519,0.002573248464614153,0.0021200557239353657,0.6436023712158203,0.10289591550827026,0.3380441665649414,0.10032266704365611,0.14039476215839386
ETTh2,0,180,4,0,3,3,far,0.967012882232666,0.9799871444702148,0.012974262237548828,0.005559094250202179,0.00299523351714015,0.002563860733062029,0.6478388905525208,0.10190662741661072,0.3321482539176941,0.09891139389947057,0.07240575551986694
ETTh2,0,180,4,1,2,1,adjacent,0.9923227429389954,0.9986305832862854,0.006307840347290039,0.001888832077383995,0.00032726803328841925,0.0015615640440955758,0.9998820424079895,2.9513757908716798e-05,-0.0012514591217041016,-0.00029775427537970245,0.32976704835891724
ETTh2,0,180,4,1,3,2,far,0.995017945766449,0.9985775351524353,0.003559589385986328,0.0012764236889779568,0.00033221091143786907,0.0009442127775400877,0.9970266222953796,0.0009010424837470055,0.001550912857055664,0.0005688315723091364,0.15466615557670593
ETTh2,0,180,4,2,3,1,adjacent,0.9953783750534058,0.9987801313400269,0.0034017562866210938,0.0013632895424962044,0.00035036291228607297,0.0010129266302101314,0.9965982437133789,0.000997246359474957,0.0021818876266479492,0.000646883447188884,0.2814815938472748
ETTh2,0,240,3,0,1,1,adjacent,0.9890182614326477,0.9927479028701782,0.0037296414375305176,0.0019135249312967062,0.0010446954984217882,0.000868829432874918,0.9758889675140381,0.008172771893441677,0.016858935356140137,0.007128076395019889,0.2267059087753296
ETTh2,0,240,3,0,2,2,far,0.982943058013916,0.9886612296104431,0.0057181715965271,0.0029097695369273424,0.001696308609098196,0.0012134609278291464,0.9767786264419556,0.00781275238841772,0.011882603168487549,0.006116443779319525,0.12357239425182343
ETTh2,0,240,3,1,2,1,adjacent,0.9951546788215637,0.9984517097473145,0.0032970309257507324,0.0014324258081614971,0.0003967876546084881,0.001035638153553009,0.9984978437423706,0.00042955123353749514,-4.6133995056152344e-05,3.276357892900705e-05,0.3088826537132263
ETTh2,1,180,4,0,1,1,adjacent,0.9800173044204712,0.9892275929450989,0.009210288524627686,0.004329124465584755,0.001621547038666904,0.002707577426917851,0.9999871253967285,0.00022379372967407107,-0.010759532451629639,-0.001397753308992833,0.09230775386095047
ETTh2,1,180,4,0,2,2,far,0.9757437109947205,0.9845815896987915,0.008837878704071045,0.0036497055552899837,0.002111780922859907,0.0015379246324300766,0.9941429495811462,0.03895071893930435,-0.009561359882354736,0.036838938016444445,0.02793813683092594
ETTh2,1,180,4,0,3,3,far,0.9673919081687927,0.981299102306366,0.013907194137573242,0.005962575785815716,0.002778929192572832,0.0031836465932428837,0.9926623106002808,0.04426601529121399,-0.011363208293914795,0.04148708609864116,0.03741233050823212
ETTh2,1,180,4,1,2,1,adjacent,0.9940073490142822,0.9984282851219177,0.004420936107635498,0.0016297753900289536,0.0003633497399277985,0.001266425650101155,0.9943473935127258,0.037283699959516525,0.0040808916091918945,0.03692035021958873,0.1344594955444336
ETTh2,1,180,4,1,3,2,far,0.9955751299858093,0.9982500076293945,0.002674877643585205,0.0010148829314857721,0.00034863577457144856,0.0006662471569143236,0.9929091334342957,0.042374711483716965,0.005340874195098877,0.042026075709145516,0.10136399418115616
ETTh2,1,180,4,2,3,1,adjacent,0.9959449172019958,0.9981274008750916,0.002182483673095703,0.001253180904313922,0.0005153022357262671,0.0007378786685876548,0.9997987747192383,0.0007408756646327674,-0.0016713738441467285,0.00022557342890650034,0.24773141741752625
ETTh2,1,240,3,0,1,1,adjacent,0.9925175905227661,0.9912563562393188,-0.0012612342834472656,0.001197090488858521,0.0012302661780267954,-3.31756891682744e-05,0.9989229440689087,0.012535911984741688,-0.007666587829589844,0.011305645806714892,0.09405659139156342
ETTh2,1,240,3,0,2,2,far,0.9839882850646973,0.986581563949585,0.0025932788848876953,0.0028115571476519108,0.001839509466663003,0.0009720476809889078,0.9922900795936584,0.0462636761367321,-0.005708515644073486,0.0444241666700691,0.03922691196203232
ETTh2,1,240,3,1,2,1,adjacent,0.9965537786483765,0.9982119798660278,0.0016582012176513672,0.000931939750444144,0.0004220374976284802,0.0005099022528156638,0.996908962726593,0.011782510206103325,0.0013030171394348145,0.011360472708474845,0.2625655233860016
ETTh2,2,180,4,0,1,1,adjacent,0.985377848148346,0.9885566234588623,0.0031787753105163574,0.004155376926064491,0.0018059250432997942,0.002349451882764697,0.999988853931427,0.0002542082511354238,-0.011432230472564697,-0.0015517167921643704,0.03431600704789162
ETTh2,2,180,4,0,2,2,far,0.9823561906814575,0.9818438291549683,-0.0005123615264892578,0.0033132615499198437,0.002619229257106781,0.0006940322928130627,0.9997740387916565,0.0024128537625074387,-0.017930209636688232,-0.00020637549459934235,-0.02782014012336731
ETTh2,2,180,4,0,3,3,far,0.9718430638313293,0.9778540730476379,0.006011009216308594,0.006204630248248577,0.003545136656612158,0.0026594935916364193,0.999906063079834,0.00176249910145998,-0.022051990032196045,-0.0017826375551521778,0.0023608668707311153
ETTh2,2,180,4,1,2,1,adjacent,0.9932737350463867,0.9980437755584717,0.004770040512084961,0.001625987351872027,0.00040360051207244396,0.001222386839799583,0.9998395442962646,0.0014895208878442645,-0.0017957687377929688,0.0010859203757718205,0.21717847883701324
ETTh2,2,180,4,1,3,2,far,0.9931260347366333,0.997704267501831,0.004578232765197754,0.0013731081271544099,0.0004396732256282121,0.0009334349015261978,0.9999423027038574,0.0011442153481766582,-0.002238035202026367,0.0007045421225484461,0.14761187136173248
ETTh2,2,180,4,2,3,1,adjacent,0.995791494846344,0.9981992244720459,0.0024077296257019043,0.0013033687137067318,0.0005078708636574447,0.0007954978500492871,0.9999218583106995,0.0008069988107308745,-0.0017226338386535645,0.0002991279470734298,0.3339640200138092
ETTh2,2,240,3,0,1,1,adjacent,0.9945756196975708,0.9930523633956909,-0.0015232563018798828,0.001126584829762578,0.0009743444970808923,0.00015224033268168569,0.9999368786811829,0.0007912893779575825,-0.006884515285491943,-0.00018305511912330985,0.05562068894505501
ETTh2,2,240,3,0,2,2,far,0.9850013256072998,0.9872018694877625,0.0022005438804626465,0.003146891249343753,0.001928522833622992,0.0012183684157207608,0.9998384118080139,0.0023607511539012194,-0.012636542320251465,0.00043222832027822733,0.03476325795054436
ETTh2,2,240,3,1,2,1,adjacent,0.9956128597259521,0.99854975938797,0.0029368996620178223,0.001181518891826272,0.00031456846045330167,0.0008669504313729703,0.9999508857727051,0.0010498001938685775,-0.0014011263847351074,0.0007352317334152758,0.26948246359825134
ETTh2,3,180,4,0,1,1,adjacent,0.9842336773872375,0.990924060344696,0.006690382957458496,0.004263494163751602,0.0013722337316721678,0.0028912604320794344,0.9912728071212769,0.004074040800333023,-0.00034874677658081055,0.0027018070686608553,0.09360897541046143
ETTh2,3,180,4,0,2,2,far,0.9827331304550171,0.9867569208145142,0.00402379035949707,0.003164994064718485,0.0018394452054053545,0.0013255488593131304,0.9958282709121704,0.0030932435765862465,-0.00907135009765625,0.001253798371180892,-0.02276642620563507
ETTh2,3,180,4,0,3,3,far,0.9737005829811096,0.9841863512992859,0.01048576831817627,0.005327742546796799,0.0023740618489682674,0.0029536806978285313,0.9931170344352722,0.003929277881979942,-0.008930683135986328,0.0015552160330116749,0.006776647642254829
ETTh2,3,180,4,1,2,1,adjacent,0.9935885071754456,0.9984637498855591,0.004875242710113525,0.0016062268987298012,0.00033889227779582143,0.0012673346209339797,0.9989907741546631,0.0009636511676944792,-0.0005270242691040039,0.0006247588898986578,0.21420782804489136
ETTh2,3,180,4,1,3,2,far,0.9935699701309204,0.9983451962471008,0.00477522611618042,0.0013420514296740294,0.0003083989431615919,0.0010336524865124375,0.99967360496521,0.0010305574396625161,-0.0013284087181091309,0.0007221584965009242,0.1397884339094162
ETTh2,3,180,4,2,3,1,adjacent,0.9967693090438843,0.9986055493354797,0.001836240291595459,0.0009502366883680224,0.0003630398423410952,0.0005871968460269272,0.9995328187942505,0.0006993160350248218,-0.000927269458770752,0.00033627619268372655,0.39040330052375793
ETTh2,3,240,3,0,1,1,adjacent,0.9959158301353455,0.9922455549240112,-0.0036702752113342285,0.0009376463713124394,0.001040385803207755,-0.00010273943189531565,0.9960397481918335,0.0023923651315271854,-0.0037941932678222656,0.0013519793283194304,0.04617580771446228
ETTh2,3,240,3,0,2,2,far,0.9864398241043091,0.9874401092529297,0.0010002851486206055,0.002743825549259782,0.0017808142583817244,0.0009630112908780575,0.9967160224914551,0.002551912795752287,-0.00927591323852539,0.0007710985373705626,0.015239494852721691
ETTh2,3,240,3,1,2,1,adjacent,0.9947513341903687,0.9981797933578491,0.0034284591674804688,0.0012614873703569174,0.0004112431488465518,0.0008502442215103656,0.9998818039894104,0.00041889509884640574,-0.0017020106315612793,7.651949999853969e-06,0.34599047899246216
ETTh2,4,180,4,0,1,1,adjacent,0.9864851236343384,0.9896218180656433,0.0031366944313049316,0.003109825775027275,0.0016471940325573087,0.0014626317424699664,0.9850400686264038,0.04586433991789818,0.004581749439239502,0.04421714588534087,0.06990806013345718
ETTh2,4,180,4,0,2,2,far,0.9826960563659668,0.985588550567627,0.0028924942016601562,0.0027944338507950306,0.0020864633843302727,0.0007079704664647579,0.9789221882820129,0.05577651038765907,0.006666362285614014,0.0536900470033288,0.008131907321512699
ETTh2,4,180,4,0,3,3,far,0.9742185473442078,0.981438398361206,0.007219851016998291,0.00505277793854475,0.0029099839739501476,0.0021427939645946026,0.9729341268539429,0.06390829384326935,0.008504271507263184,0.0609983098693192,0.05003347247838974
ETTh2,4,180,4,1,2,1,adjacent,0.9941921234130859,0.9984622001647949,0.004270076751708984,0.001443816116079688,0.00035523768747225404,0.001088578428607434,0.9990629553794861,0.0017747472738847136,-0.0006007552146911621,0.0014195095864124596,0.15077544748783112
ETTh2,4,180,4,1,3,2,far,0.995468258857727,0.9981644749641418,0.002696216106414795,0.0009496338898316026,0.000341067963745445,0.0006085659260861576,0.9972445368766785,0.005641978699713945,0.0009199380874633789,0.0053009107359685,0.06859727203845978
ETTh2,4,180,4,2,3,1,adjacent,0.9960066080093384,0.9983474016189575,0.0023407936096191406,0.0012062117457389832,0.00043132383143529296,0.0007748879143036902,0.9989407658576965,0.002882938366383314,-0.0005933642387390137,0.002451614534948021,0.31607505679130554
