dataset,unit_size,unit_count,batches,audit_pass,finite_profiles,delta_cosine_mean,delta_cosine_p05,delta_js_mean,delta_js_p05,delta_label_cosine_mean,delta_label_cosine_p05,delta_label_js_mean,delta_label_js_p05,mean_label_shuffle_gap,label_shuffle_gap_p05,mean_sensitivity_cosine,mean_unit_demand_sensitivity_cosine,mean_unit_label_sensitivity_cosine,mean_coeff_gradient_cosine,max_patch_mass_conservation_error,label_patch_mismatch_support,retrieval_demand_mismatch_support
ETTh2,180,4,8,True,True,0.007993664592504515,0.005523440738519065,0.0018947319458675338,0.0015829051951186557,0.04496871059139572,-0.0016978383685151647,0.019715122079408808,0.008408181532862121,-0.0017620386788621545,-0.008799321643891744,0.9914619947473209,0.9938169103115797,0.5074529107660055,0.13439474733604584,1.1920928955078125e-07,False,False
ETTh2,240,3,8,True,True,0.004157222807407379,0.0021746297677357855,0.001053083145961864,0.0007780208531282067,0.013952443997065203,-0.0016124649594227388,0.009989794515907608,0.0043209118761296855,-0.005828939203638583,-0.011907483753748237,0.9931604738036791,0.9941578358411789,0.5045489470163982,0.1502079525574421,1.1920928955078125e-07,False,False
ETTm1,180,4,8,True,True,-0.002055179327726378,-0.003010642714798474,0.00012452824936796486,-1.7701583692542053e-05,0.026936496297518417,0.022664221438268826,0.007850705905639188,0.006766094093040919,0.10731321037746966,0.08975897278869524,0.9945101315776507,0.9610212855041027,0.9194126762449741,0.1896562825810785,1.1920928955078125e-07,False,False
ETTm1,240,3,8,True,True,-0.002963726719220461,-0.003552440305550869,-0.00012059225749302035,-0.00021159835681222225,0.025686256587505354,0.018108026186625183,0.007633390743042886,0.0058209497177206995,0.1096979243059953,0.09147570875162879,0.9929960866769155,0.9598297253251076,0.9226818357904751,0.22515179061641294,1.1920928955078125e-07,False,False
Weather,180,4,8,True,True,-0.02598047753175098,-0.027641086280345905,-5.0909162382595024e-05,-0.0009866601903922856,0.103044626613458,0.05490227527916435,0.03265638011604703,0.01843529179604957,0.019689213477249723,0.006289837390067987,0.949707318097353,0.9651257116347551,0.7332142740488052,0.07708990660224421,1.1920928955078125e-07,True,True
Weather,240,3,8,True,True,-0.030689187347888947,-0.03205149111648402,-0.00010062026558443926,-0.0011455782815270746,0.08546035985151927,0.02678566016256808,0.029721803361705195,0.011467072535500241,0.020097036962397397,0.0041294744383776555,0.9429060642917951,0.9646264736851057,0.7412836862107117,0.08679027409137538,1.1920928955078125e-07,False,False
