dataset,batch_idx,unit_size,unit_count,loss_mean,mean_demand_cosine,mean_sensitivity_cosine,delta_cosine,mean_demand_js,mean_sensitivity_js,delta_js,mean_label_dependence_cosine,mean_label_dependence_js,mean_label_shuffle_gap,delta_label_cosine,delta_label_js,pair_matrix_spearman,demand_distance_spearman,sensitivity_distance_spearman,mean_unit_demand_sensitivity_cosine,mean_unit_label_sensitivity_cosine,mean_coeff_gradient_cosine,mean_demand_entropy,mean_sensitivity_entropy,mean_demand_centroid,mean_sensitivity_centroid,max_patch_mass_conservation_error,evidence_mass_conservation_error
ETTh2,0,180,4,0.4849475994706154,0.9821017583211263,0.990571012099584,0.008469253778457642,0.0032350109734882912,0.0014577217613502096,0.0017772892121380817,0.8210546771685282,0.051713999714896396,0.00856833322905004,0.16951633493105578,0.05025627795354619,0.8857142857142857,-0.5246313898711125,-0.7715167498104595,0.9953312873840332,0.8222732543945312,0.18928098181883493,0.9820371689130343,0.9889510365928924,0.5071931289863851,0.5070412308184925,1.1920928955078125e-07,5.960464477539063e-08
ETTh2,0,240,3,0.48494763175646466,0.9890386660893759,0.9932869474093119,0.0042482813199360425,0.0020852400921285152,0.0010459305873761575,0.0010393095047523577,0.9837218125661215,0.005471691838465631,-0.013231616467237473,0.009565134843190437,0.004425761251089473,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.995909571647644,0.8216194113095602,0.21972031891345978,0.9821762755014438,0.9884173088753935,0.5062895214662654,0.5039232136421752,5.960464477539063e-08,5.960464477539063e-08
ETTh2,1,180,4,0.9174988120794296,0.9847800532976786,0.9916523297627767,0.006872276465098137,0.0029732075054198503,0.0012899241507208596,0.0016832833546989907,0.9956412812074026,0.027306635844676446,-0.010656099068000913,-0.0039889514446258545,0.026016711693955585,0.7714285714285715,-0.6172133998483675,-0.6172133998483675,0.9929451793432236,0.28803350031375885,0.10686885472387075,0.9762203233085931,0.9865954527331394,0.5208692802673255,0.5229507998067248,1.1920928955078125e-07,0.0
ETTh2,1,240,3,0.9174988269805908,0.9910198847452799,0.9920166333516439,0.0009967486063640063,0.001646862462318192,0.001163937714106093,0.0004829247482120991,0.9960406621297201,0.02352736610919237,-0.01042253120491902,-0.004024028778076172,0.022363428395086277,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.9950023889541626,0.2864559243122737,0.13194967557986578,0.977004267054879,0.9852571064523462,0.5193427399346604,0.5216145946518602,1.1920928955078125e-07,0.0
ETTh2,2,180,4,0.5439593493938446,0.9869613945484161,0.9903669655323029,0.0034055709838867188,0.0029959554861610136,0.0015535725930628057,0.0014423828930982079,0.9998954435189565,0.0013117160269757733,-0.011974588502198458,-0.009528477986653683,-0.00024185656608703243,1.0,-0.7715167498104595,-0.7715167498104595,0.9944039136171341,0.25336262211203575,0.11793518400130172,0.9792208446321271,0.9875076405284191,0.5170324269853148,0.5192838729837177,1.1920928955078125e-07,0.0
ETTh2,2,240,3,0.5439593891302744,0.9917299350102743,0.9929346640904745,0.0012047290802001953,0.0018183316569775343,0.0010724785970523953,0.000745853059925139,0.9999087254206339,0.0014006135752424598,-0.010199430864304304,-0.006974061330159431,0.00032813497819006443,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.9935452342033386,0.25793905059496564,0.1199554701646169,0.9795197031242177,0.9881550030349485,0.5157172459941469,0.5206490535674185,5.960464477539063e-08,0.0
ETTh2,3,180,4,0.7427024096250534,0.9874325295289358,0.9928803046544393,0.00544777512550354,0.0027757909653397896,0.0010993453082240496,0.00167644565711574,0.9964025517304739,0.0022983478168801716,-0.013924967963248491,-0.003522247076034546,0.001199002508656122,1.0,-0.7715167498104595,-0.7715167498104595,0.9921811372041702,0.37423957884311676,0.1370031265541911,0.978929432378354,0.988367822662423,0.520933774648356,0.526369235445959,5.960464477539063e-08,5.960464477539063e-08
ETTh2,3,240,3,0.7427024841308594,0.9923689961433411,0.9926218191782633,0.0002528230349222449,0.0016476530969763796,0.0010774810701453437,0.000570172026831036,0.997545858224233,0.0017877243420419593,-0.012992658962806066,-0.004924039045969719,0.0007102432718966156,0.4999999999999999,-0.8660254037844387,-0.8660254037844387,0.993327260017395,0.3720316191514333,0.1358019271865487,0.9794854811097634,0.9876187558691439,0.5200348820020935,0.5276852582525643,1.1920928955078125e-07,5.960464477539063e-08
ETTh2,4,180,4,1.1827869713306427,0.9881777862707773,0.9919371406237284,0.00375935435295105,0.002426116552669555,0.0012952118122484535,0.0011309047404211015,0.9886907736460367,0.029308134748134762,-0.005724040092900395,0.0032463669776916504,0.02801292293588631,0.8285714285714286,-0.6172133998483675,-0.7715167498104595,0.9954363107681274,0.47156117856502533,0.11058686937515934,0.9816032278694061,0.9881102016977499,0.5171696499756878,0.5223364478523774,5.960464477539063e-08,0.0
ETTh2,4,240,3,1.1827869812647502,0.9915532867113749,0.9939406315485636,0.0023873448371887207,0.001710914308205247,0.0009510407592946043,0.0007598735489106426,0.9902172287305196,0.01871323996844391,-0.004588952598472436,0.0037234028180439527,0.01776219920914931,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.995349665482839,0.47693010171254474,0.11519935602943103,0.9817012267380392,0.9887122554372111,0.5166303257064572,0.5203639823195555,0.0,0.0
