dataset,unit_size,metric,batches,bootstrap_iterations,mean,p05,p50,p95
ETTh2,180,delta_cosine,8,1000,0.007993664592504515,0.005523440738519065,0.007962413132190725,0.010688001910845431
ETTh2,180,delta_js,8,1000,0.0018947319458675338,0.0015829051951186557,0.0018861219705286203,0.0022426316221147618
ETTh2,180,delta_label_cosine,8,1000,0.04496871059139572,-0.0016978383685151647,0.044147397701938956,0.09255173020064832
ETTh2,180,delta_label_js,8,1000,0.019715122079408808,0.008408181532862121,0.01993183651787452,0.03167104256038632
ETTh2,180,mean_label_shuffle_gap,8,1000,-0.0017620386788621545,-0.008799321643891744,-0.00204932878841646,0.007003504259046167
ETTh2,180,mean_sensitivity_cosine,8,1000,0.9914619947473209,0.991023891294996,0.991464317465822,0.9919370818883181
ETTh2,240,delta_cosine,8,1000,0.004157222807407379,0.0021746297677357855,0.004047177731990807,0.0061773907393217
ETTh2,240,delta_js,8,1000,0.001053083145961864,0.0007780208531282067,0.0010523022137931548,0.0013465752600192596
ETTh2,240,delta_label_cosine,8,1000,0.013952443997065203,-0.0016124649594227388,0.012799638013044984,0.03557309334476784
ETTh2,240,delta_label_js,8,1000,0.009989794515907608,0.0043209118761296855,0.009942988262992005,0.015660501174716044
ETTh2,240,mean_label_shuffle_gap,8,1000,-0.005828939203638583,-0.011907483753748237,-0.006457411150525635,0.003594009276518287
ETTh2,240,mean_sensitivity_cosine,8,1000,0.9931604738036791,0.9927510149776936,0.9931418523192406,0.9935452111065388
ETTm1,180,delta_cosine,8,1000,-0.002055179327726378,-0.003010642714798474,-0.002085165431102126,-0.0010848318537076268
ETTm1,180,delta_js,8,1000,0.00012452824936796486,-1.7701583692542053e-05,0.00011987310593516062,0.0002667600051760625
ETTm1,180,delta_label_cosine,8,1000,0.026936496297518417,0.022664221438268826,0.027090648189187043,0.03109055211146671
ETTm1,180,delta_label_js,8,1000,0.007850705905639188,0.006766094093040919,0.007881520590672153,0.008756482194500374
ETTm1,180,mean_label_shuffle_gap,8,1000,0.10731321037746966,0.08975897278869524,0.1073107261909172,0.12384189228760077
ETTm1,180,mean_sensitivity_cosine,8,1000,0.9945101315776507,0.9940785185744365,0.9944952813287575,0.9950039921328425
ETTm1,240,delta_cosine,8,1000,-0.002963726719220461,-0.003552440305550869,-0.002961702644824961,-0.0024239569902420044
ETTm1,240,delta_js,8,1000,-0.00012059225749302035,-0.00021159835681222225,-0.00011587859080464114,-4.0767878454062175e-05
ETTm1,240,delta_label_cosine,8,1000,0.025686256587505354,0.018108026186625183,0.025686256587505354,0.03324027818938096
ETTm1,240,delta_label_js,8,1000,0.007633390743042886,0.0058209497177206995,0.007627631817740621,0.0094072587504949
ETTm1,240,mean_label_shuffle_gap,8,1000,0.1096979243059953,0.09147570875162879,0.10944229395439227,0.12619427856989202
ETTm1,240,mean_sensitivity_cosine,8,1000,0.9929960866769155,0.9927399282654127,0.9929790447155635,0.9932552273074785
Weather,180,delta_cosine,8,1000,-0.02598047753175098,-0.027641086280345905,-0.026041410863399478,-0.024004906602203814
Weather,180,delta_js,8,1000,-5.0909162382595024e-05,-0.0009866601903922856,-3.669455084794493e-05,0.0008845461571278676
Weather,180,delta_label_cosine,8,1000,0.103044626613458,0.05490227527916435,0.10038937317828336,0.15704501016686362
Weather,180,delta_label_js,8,1000,0.03265638011604703,0.01843529179604957,0.03210317433937841,0.04941618549491977
Weather,180,mean_label_shuffle_gap,8,1000,0.019689213477249723,0.006289837390067987,0.01911434777866816,0.03522536969321663
Weather,180,mean_sensitivity_cosine,8,1000,0.949707318097353,0.9478493556380273,0.9497386446843544,0.9516041226685048
Weather,240,delta_cosine,8,1000,-0.030689187347888947,-0.03205149111648402,-0.030645376692215606,-0.02935712796946365
Weather,240,delta_js,8,1000,-0.00010062026558443926,-0.0011455782815270746,-5.6521656612555475e-05,0.0008394813766547783
Weather,240,delta_label_cosine,8,1000,0.08546035985151927,0.02678566016256808,0.08268871034185092,0.15206038740773992
Weather,240,delta_label_js,8,1000,0.029721803361705195,0.011467072535500241,0.029378854155462857,0.050359299992366366
Weather,240,mean_label_shuffle_gap,8,1000,0.020097036962397397,0.0041294744383776555,0.01997131200429673,0.037071416182637526
Weather,240,mean_sensitivity_cosine,8,1000,0.9429060642917951,0.9407130260020494,0.9426411700745423,0.9455434191972018
