dataset,target_horizon,best_a5_arm,best_a5_mse,best_stage_control_name,best_stage_control_mse,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
ETTh2,96,a5b_r128,0.2944892942905426,a3e_best,0.2404634952545166,22.467359953677303,False
ETTh2,192,a5b_r128,0.3395749032497406,h1_target_set,0.2772313058376312,22.48793556115296,False
ETTh2,336,a5q_seg48_small,0.36470359563827515,a3d_w03,0.30260002613067627,20.523319281135734,False
ETTh2,720,a5q_seg48_small,0.42959994077682495,a3d_w03,0.38430118560791016,11.787305599190013,False
ETTm1,96,a5b_r128,0.29928863048553467,a3c_warm,0.2705991566181183,10.602203726711634,False
ETTm1,192,a5b_r128,0.3282347023487091,a3c_warm,0.3081844747066498,6.505917490212454,False
ETTm1,336,a5b_r128,0.3604169189929962,a3c_warm,0.3466947674751282,3.9579921029100795,False
ETTm1,720,a5b_r128,0.41631776094436646,official_unified,0.4067089557647705,2.3625752625800134,False
Weather,96,a5b_r128,0.15737880766391754,a2_nested,0.14129404723644257,11.383891071191844,False
Weather,192,a5b_r64,0.20552586019039154,a3d_w03,0.18227648735046387,12.755003773594776,False
Weather,336,a5b_r64,0.259966641664505,a2_nested,0.2316667139530182,12.215793641043327,False
Weather,720,a5q_seg48_small,0.3293209373950958,a2_nested,0.3033372759819031,8.565930886365214,False
