dataset,arm,h720_segments,h720_mean_segment_mse,h720_early_mean_segment_mse,h720_late_mean_segment_mse,late_vs_early_ratio
ETTh2,a5b_r64,8,0.5456366911530495,0.3705187290906906,0.6718753576278687,1.8133370997918326
ETTh2,a5b_r128,8,0.4998428635299206,0.3395748883485794,0.6190478429198265,1.8230083088015723
ETTh2,a5q_seg48_small,8,0.4385884962975979,0.3401944488286972,0.5060638636350632,1.487572373321966
ETTh2,a5q_seg24_wide,8,0.4636344350874424,0.35133224725723267,0.5468027964234352,1.5563695069046313
ETTm1,a5b_r64,8,0.4313715174794197,0.34118494391441345,0.48159730434417725,1.4115432492970332
ETTm1,a5b_r128,8,0.4212757721543312,0.3282347172498703,0.4736211821436882,1.442934452857227
ETTm1,a5q_seg48_small,8,0.6393782049417496,0.6100609302520752,0.6550464779138565,1.0737394339335802
ETTm1,a5q_seg24_wide,8,0.7298827692866325,0.7144714593887329,0.7387768775224686,1.0340187390473654
Weather,a5b_r64,8,0.35479731298983097,0.20552586764097214,0.4353581964969635,2.1182647298561927
Weather,a5b_r128,8,0.35420151241123676,0.2055855169892311,0.43327202647924423,2.1075026724861154
Weather,a5q_seg48_small,8,0.3341066986322403,0.2210877686738968,0.39069274067878723,1.7671386482490437
Weather,a5q_seg24_wide,8,0.33790544979274273,0.2256070002913475,0.3940140977501869,1.7464621986080198
