dataset,arm,family,settings,mean_mse,wins_vs_official_unified,mean_relative_mse_vs_official_unified_pct,wins_vs_h1_target_set,mean_relative_mse_vs_h1_target_set_pct,wins_vs_h1c_row_gated,mean_relative_mse_vs_h1c_row_gated_pct,wins_vs_a3d_w03,mean_relative_mse_vs_a3d_w03_pct,wins_vs_a3e_best,mean_relative_mse_vs_a3e_best_pct,wins_vs_best_stage_control,mean_relative_mse_vs_best_stage_control_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,a5b_r64,A5-B,4,0.40947386622428894,0,28.20071934476283,0,35.11145112378842,0,33.19059806774637,0,35.35844106235759,0,34.81732139725885,0,35.62364620005697,0,18.068388942638922
ETTh2,a5b_r128,A5-B,4,0.3738917112350464,0,17.077026014612066,0,23.383630795178078,0,21.631888575192676,0,23.608415576681246,0,23.11603936576823,0,23.851191451297264,1,7.832045623871025
ETTh2,a5q_seg48_small,A5-Q,4,0.3606620877981186,0,14.19940068600598,0,20.36084533622015,0,18.662909633502636,0,20.541623000626196,0,20.08551426036837,0,20.792634717039693,1,4.934946566509405
ETTh2,a5q_seg24_wide,A5-Q,4,0.3767603039741516,0,19.34804185323487,0,25.757040921946885,0,23.99483954527195,0,25.945527076135292,0,25.478305565858953,0,26.2104375778842,0,9.721226620371286
ETTm1,a5b_r64,A5-B,4,0.363131508231163,0,7.802578578834679,0,8.666328525925321,0,8.766702061781945,0,8.581819063542556,0,9.375254852029336,0,9.594623856290735,0,7.328127712232824
ETTm1,a5b_r128,A5-B,4,0.3510645031929016,0,4.133918863340696,0,4.963247533733478,0,5.060679449967138,0,4.881259029679436,0,5.6454541266829805,0,5.8571721456035455,0,3.677079654014692
ETTm1,a5q_seg48_small,A5-Q,4,0.6164257526397705,0,85.30762698172008,0,86.94098915919405,0,87.10017572104582,0,86.80526401724565,0,88.23667955248577,0,88.6202969925177,0,84.49149408628259
ETTm1,a5q_seg24_wide,A5-Q,4,0.717804566025734,0,116.1460929407925,0,118.07394979083472,0,118.25758140883639,0,117.91712624439486,0,119.59701173409928,0,120.04538410519089,0,115.19548400563795
Weather,a5b_r64,A5-B,4,0.2431173324584961,0,11.610082921072983,0,12.910783235833616,0,12.90185365632301,0,12.993803349155387,0,12.973716602912045,0,13.03591273397412,0,12.775088399054209
Weather,a5b_r128,A5-B,4,0.24291246384382248,0,11.446387866053847,0,12.745382590287113,0,12.736198842799295,0,12.82804781485885,0,12.808032648668348,0,12.870037340276951,0,12.607757786040724
Weather,a5q_seg48_small,A5-Q,4,0.2487885020673275,0,16.309691019946076,0,17.668607339738745,0,17.663113827317172,0,17.760395507971367,0,17.736661005180558,0,17.802228999779828,0,17.57848157748877
Weather,a5q_seg24_wide,A5-Q,4,0.25391558185219765,0,19.071658769336313,0,20.46270870796093,0,20.458170626264355,0,20.557720511020882,0,20.53313483325509,0,20.600398395126373,0,20.38005302135967
ALL,a5b_r64,A5-B,12,0.33857423563798267,0,15.871126948223498,0,18.896187628515786,0,18.286384595283774,0,18.978021158351847,0,19.055430950733413,0,19.418060930107274,0,12.723868351308651
ALL,a5b_r128,A5-B,12,0.3226228927572568,0,10.885777581335537,0,13.697420306399556,0,13.142922289319703,0,13.77257414040651,0,13.856508713706521,0,14.192800312392588,1,8.038961021308815
ALL,a5q_seg48_small,A5-Q,12,0.40862544750173885,0,38.60557289589071,0,41.65681394505098,0,41.142066393955204,0,41.702427508614406,0,42.01961827267823,0,42.40505356977908,1,35.66830741009359
ALL,a5q_seg24_wide,A5-Q,12,0.4494934839506944,0,51.52193118778789,0,54.76456647358084,0,54.23686386012423,0,54.80679127718368,0,55.20281737773777,0,55.61874002606716,0,48.43225454912297
