origin,channel,min_gain,visibility96,persistent_fraction96,accuracy_eligible,gain_h96,gain_h192,gain_h336,gain_h720,fit_eligible,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,audited_eligible,channel_name,dominant_period,prominent_peaks,high_frequency_share,normalized_mae_advantage,visible_win_fraction,visible_loss_fraction,visible_net,tail_visible_net,less_dense,clearer_same_density
511,0,0.0158594303960356,0.0794800031865375,0.28125,True,0.0987547264135518,0.0546951741870154,0.081474640926254,0.0158594303960356,True,0.6700964889294994,0.8379848259864107,0.7118696509969974,0.1273461514587892,0.468647538596915,0.7235694159730848,0.767403174425572,0.23018202091963,0.5641090587463964,0.7594758260469006,0.8331591885582484,0.0852363402091312,True,HUFL,24.0,25,0.8850232781217022,0.004061733597379182,0.175,0.13194444444444445,0.04305555555555554,0.046875,False,False
609,0,0.0287675854814678,0.105595511681021,0.53125,True,0.0287675854814678,0.1140778675319726,0.0354259320797128,0.2846283352422005,True,0.6769277338943163,0.8235029634694009,0.8576048505892613,0.0081521925537552,0.6677905204492257,0.8185539431442341,0.8640759213789886,0.012953257711598,0.5828341314461413,0.7708534803187479,0.8222114326619834,0.0935057078712044,True,HUFL,24.0,26,0.8636183779855765,0.02321746418619868,0.3,0.14444444444444443,0.15555555555555556,0.16145833333333331,False,False
610,0,0.0196222510843893,0.1005719125789992,0.4791666666666667,True,0.0798919863618723,0.1073747741002841,0.0196222510843893,0.2053991282696865,True,0.6675212090861538,0.8189058003371796,0.8725229212000519,0.0145156842793963,0.6558167970001478,0.8125772320217748,0.8770466395105669,0.0175686225431904,0.5713813965919311,0.763926426413395,0.8386344878640253,0.0813688757148458,True,HUFL,24.0,26,0.8646587475127484,0.017801826021601703,0.2513888888888889,0.1361111111111111,0.11527777777777778,0.13281250000000003,False,False
623,0,0.0096822904621256,0.0883546189475921,0.3333333333333333,True,0.0096822904621256,0.0720299421876097,0.0975486565395994,0.1239391239455531,True,0.6639415735314884,0.817309477798509,0.8715979593335168,0.0332561233520426,0.6538510440788228,0.8134654678587477,0.8869199534059587,0.049794195171959,0.6355003111997282,0.7980563529591248,0.8133513939326222,0.0340542658166332,True,HUFL,24.0,26,0.8665940144504004,0.00451040935899368,0.14722222222222223,0.13194444444444445,0.015277777777777779,0.0390625,False,False
629,0,0.03437784538969,0.0995680064681148,0.40625,True,0.03437784538969,0.086966881349803,0.0617725142764693,0.1366581578665925,True,0.6483612575403992,0.8112540171585588,0.9094881327747956,0.0110399884327659,0.6323473923257134,0.8052434640447693,0.9320001795701478,0.0015424429729959,0.6259066125911317,0.7960543056898616,0.8441246188904,0.0740613934856641,True,HUFL,24.0,26,0.8670340994423669,0.010736609469124539,0.20972222222222223,0.13055555555555556,0.07916666666666666,0.08593749999999999,False,False
630,0,0.0530016283827403,0.103565259642431,0.5,True,0.0530016283827403,0.1859579355419396,0.073349983098621,0.2399000584918061,True,0.6564008627872778,0.8135648031343741,0.886191985991699,0.0145642858391295,0.6422983384455996,0.8070978555791873,0.9011382569359494,0.0162792182730772,0.6321634440534087,0.8008572956276854,0.8205863760893286,0.0939134031478968,True,HUFL,24.0,26,0.8671880980460198,0.020067586303831556,0.2722222222222222,0.14305555555555555,0.12916666666666665,0.13020833333333331,False,False
631,0,0.078914423952787,0.1039901579157097,0.4479166666666667,True,0.078914423952787,0.209748475841464,0.0791811764468584,0.3093250352207756,True,0.6535082530496205,0.8124295092248465,0.8850711651421796,0.0354491782033402,0.6333821735150424,0.8027562242573189,0.8948408944230347,0.0505548770080181,0.6100964794175197,0.7917084850185193,0.8200867703902283,0.1260972590985272,True,HUFL,24.0,26,0.8671716392040556,0.02741316673053653,0.275,0.11527777777777778,0.15972222222222224,0.1796875,False,False
633,0,0.0367635851138012,0.1064693629982201,0.5104166666666666,True,0.0367635851138012,0.2340003265981359,0.1088433828976296,0.3403460082091553,True,0.6559540734693701,0.8164580380636381,0.897596461281995,0.0637668466132201,0.6385204776042624,0.8084311448382391,0.904882831967452,0.0757463556227759,0.6234776112597387,0.806186842729349,0.8163364946926572,0.1623471548725171,True,HUFL,24.0,26,0.8671114644041763,0.029754328259288837,0.2833333333333333,0.1111111111111111,0.17222222222222222,0.19010416666666669,False,False
634,0,0.0802132196956795,0.1041894963598332,0.5208333333333334,True,0.0802132196956795,0.2783934908492754,0.1162851271398425,0.3069539036295088,True,0.656419532414275,0.8173101988008848,0.9216115847894428,0.0264130560619705,0.6421711779476228,0.8096506397498893,0.9226548006941264,0.0243524148509175,0.6445586185743388,0.8104082422900746,0.8216568064799754,0.1098925402427982,True,HUFL,24.0,27,0.8675398047078241,0.027951399749568246,0.29305555555555557,0.11388888888888889,0.1791666666666667,0.17708333333333334,False,False
635,0,0.0748559741761384,0.102170301341713,0.5208333333333334,True,0.1323761424969501,0.2654829709563407,0.0748559741761384,0.3002196395649262,True,0.6588676906478768,0.8159046696823419,0.8971195166037415,0.0153911663335871,0.6465892090819545,0.8079541784074622,0.8865555322391857,0.0047510525089574,0.6539723903176375,0.8143453923963299,0.7854620171021879,0.0913880650364846,True,HUFL,24.0,27,0.8682433913817533,0.026985170799552594,0.2833333333333333,0.12638888888888888,0.15694444444444444,0.16666666666666666,False,False
