source,dataset,arm,source_arm,seed,status,protocol_pass,checkpoint_sha256
seed2021_attribution,Weather,a6_full,a6_full,2021,ok,True,14b572a18f8ecc12dab40fc0f7c16e10953df982155b71eec6bfa77788f1073d
seed2021_attribution,Weather,iscf_q1_wide,siff_q1_wide_equal,2021,ok,True,7746eabfcef6323d5f32419950bbf746022a1a5a800686a66c9779ceabf0858c
seed2021_attribution,Weather,iscf_v0,siff_independent_equal,2021,ok,True,d94e4c2cc8769b45c50d44c567132c91414979b752eaf17244f38c446a713d64
seed2021_attribution,ETTm1,a6_full,a6_full,2021,ok,True,cbb57f5c5f32ba2889f6ef9c0aaf165103b319fc64c288df843ac1bb4a0fcef3
seed2021_attribution,ETTm1,iscf_q1_wide,siff_q1_wide_equal,2021,ok,True,bc9db9126d7b8d2e5d8fac87c78e7ce2f6c8839cfe85188e43bed0a0a88994f5
seed2021_attribution,ETTm1,iscf_v0,siff_independent_equal,2021,ok,True,6bd4d86c41c901be55708e0d09ae64bd8be8a428a5c53fa3b5d7ba4955a629b1
seed2021_attribution,ETTm2,a6_full,a6_full,2021,ok,True,80667ea06869d886243687a83935e14d2d22f1400de2b61464e7f56449470668
seed2021_attribution,ETTm2,iscf_q1_wide,siff_q1_wide_equal,2021,ok,True,1cfe8ef723d0f1613331eeaba71e9d08a24ffdd7084ed6cd47454cfdf4130369
seed2021_attribution,ETTm2,iscf_v0,siff_independent_equal,2021,ok,True,f63d649b96d6eda29e137b91990e1370c8716fc131c712d740aae7902195b40a
seed2021_attribution,ETTh1,a6_full,a6_full,2021,ok,True,608023e3564640e7c0fc00c29edadc19c614fbe3a46683537ee7eff1089fa967
seed2021_attribution,ETTh1,iscf_q1_wide,siff_q1_wide_equal,2021,ok,True,8a74afd04b5ee48b8498de15602fbf5b4d29e248e836984e4390de52b3c2189f
seed2021_attribution,ETTh1,iscf_v0,siff_independent_equal,2021,ok,True,6cc42d65b2ae48a1f5f55e3c79df96820641664f4b4668a7298d2f6108e53643
seed2021_attribution,ETTh2,a6_full,a6_full,2021,ok,True,b6178da4e329647e88bb5b340650926a4d86506eb06f5ff02831dae7cf27eacf
seed2021_attribution,ETTh2,iscf_q1_wide,siff_q1_wide_equal,2021,ok,True,85302ce87ada43aac135e86910a0ce265c32672243bf85f8d34de910836e407a
seed2021_attribution,ETTh2,iscf_v0,siff_independent_equal,2021,ok,True,a4c7d5d4818c08e316cc26a8025c39b072bb4ead53119aed021da616cd7ddd31
seed2022_2023_fcc,Weather,a6_full,a6_full,2022,ok,True,4d6a1068167a90ae79bd2fd5fcd8e5799a96e7fac20e39ef1015ec5e9dffc36c
seed2022_2023_fcc,Weather,iscf_v0,siff_independent_equal,2022,ok,True,1b8c3afd87fe2558e00846098547ae04b2505675be33e630e9023a0f36bca5ec
seed2022_2023_fcc,ETTm1,a6_full,a6_full,2022,ok,True,8e3377b949fdd3e886ab3705ba85761bb39d2adaf89f3f86fbc9ad5a74e8f174
seed2022_2023_fcc,ETTm1,iscf_v0,siff_independent_equal,2022,ok,True,3f789a30b5c41d12621c4c7b07b0f06413ef0489b8becc99c077fabfc500878d
seed2022_2023_fcc,ETTh1,a6_full,a6_full,2022,ok,True,69a92934f3a1ce3a13c4ec8210547de8f0ac4fd89d2f64f876e11b2049478ea0
seed2022_2023_fcc,ETTh1,iscf_v0,siff_independent_equal,2022,ok,True,0fa2fafc9b9cdcb7c119083ae7dff5126d5d4f079d43df3c49273291c1d68915
seed2022_2023_fcc,ETTm2,a6_full,a6_full,2022,ok,True,ed78f3e812f77e95ea0843b70ab187f46af89d10cd777f0847991dfa434b185a
seed2022_2023_fcc,ETTm2,iscf_v0,siff_independent_equal,2022,ok,True,b0129c64d08ed7b4dd58ff654013ee6abd9a796376e1abae44b93a24a093167c
seed2022_2023_fcc,ETTh2,a6_full,a6_full,2022,ok,True,8f3c230c6eb25d51efbd13345985623ad0eca94f22a4074d6dc574892b610e36
