dataset,family,split,replicate_count,global_selectivity,detail_selectivity,binary_interaction,detail_monotone_gain,detail_canonical_best_count,detail_permutation_p
ETTh1,canonical,holdout,9,0.047582742473422215,-0.013352530113583158,0.01711510617991953,0.03033656443880371,2,0.04022191400832178
ETTh1,canonical,validation,9,-0.0076134296739275905,0.004695022343582583,-0.001459203665172504,0.04442810265201963,2,0.07766990291262135
ETTh1,future_perm,holdout,9,0.00902808842629859,-0.01095904469563237,-0.0009654781346668901,0.003170838608040485,1,0.31484049930651875
ETTh1,future_perm,validation,9,-0.0060952201581754035,0.007633073852913293,0.0007689268473689446,0.010313957379695484,1,0.15672676837725383
ETTh1,history_perm,holdout,9,-0.007659736545519769,-0.0028918505582420373,-0.005275793551880903,-0.0019754576243536767,1,0.7489597780859917
ETTh1,history_perm,validation,9,0.0010721182842045414,0.001513506796827293,0.0012928125405159171,-0.0034979961535325788,1,0.7739251040221914
ETTh2,canonical,holdout,9,3.2289058524469385e-05,0.00014898671189837268,9.063788521142103e-05,2.1528960416568375e-05,2,0.4119278779472954
ETTh2,canonical,validation,9,0.0009532117214933553,-0.002334421677725563,-0.0006906049781161038,0.03537433375999789,2,0.14701803051317613
ETTh2,future_perm,holdout,9,5.748761312627002e-05,6.365808472920241e-06,3.192671079959513e-05,3.2574809102424176e-05,2,0.024965325936199722
ETTh2,future_perm,validation,9,-0.0036256758428973163,0.004213396515987251,0.0002938603365449672,0.006952736147319377,1,0.14701803051317613
ETTh2,history_perm,holdout,9,3.3612926832028595e-07,-8.049699778298366e-05,-4.008043425733169e-05,0.00014373409751686117,0,0.34119278779472956
ETTh2,history_perm,validation,9,-0.00490599248248739,0.0014043332105380599,-0.001750829635974665,-0.0033074537716646668,1,0.8155339805825242
ETTm1,canonical,holdout,9,0.19343491792475404,-0.012914501220538107,0.09026020835210796,0.04775000355405971,2,0.012482662968099861
ETTm1,canonical,validation,9,0.1568664081420502,-0.009486551750253815,0.07368992819589819,0.07649522660431948,2,0.011095700416088766
ETTm1,future_perm,holdout,9,0.009518697224498867,-0.014019164250430531,-0.002250233512965832,0.0014573196225415683,1,0.7572815533980582
ETTm1,future_perm,validation,9,0.002007997414637369,-0.014770528558264403,-0.006381265571813517,0.0023313795811663617,1,0.8363384188626907
ETTm1,history_perm,holdout,9,0.001840609195870516,-0.013276140147577931,-0.005717765475853708,0.004317575382801882,1,0.14701803051317613
ETTm1,history_perm,validation,9,0.008955677240404754,-0.01564051179492281,-0.0033424172772590285,0.007739803243142458,2,0.130374479889043
ETTm2,canonical,holdout,9,1.0212342803800962e-05,-1.3027785825607083e-05,-1.4077215109030603e-06,-1.5708632014762624e-05,1,0.8460471567267683
ETTm2,canonical,validation,9,0.14009097910160853,-0.032628113282298185,0.05373143290965517,0.04269291142384236,1,0.02912621359223301
ETTm2,future_perm,holdout,9,1.4515604454226315e-06,-2.614849332270732e-06,-5.816444434240501e-07,2.9997589495117025e-07,2,0.5104022191400832
ETTm2,future_perm,validation,9,0.02582642989521062,-0.029226680384253193,-0.0017001252445212871,0.004901746743806644,1,0.4840499306518724
ETTm2,history_perm,holdout,9,-7.438335827897942e-07,5.844727336902343e-06,2.550446877056274e-06,-2.9149357997092793e-06,2,0.6934812760055479
ETTm2,history_perm,validation,9,0.010129255822146854,-0.010185161225313016,-2.7952701583081052e-05,0.010910228197509161,2,0.016643550624133148
Weather,canonical,holdout,9,0.003184182944596091,-9.24392480347406e-05,0.0015458718482806752,-0.00039465955437644894,0,0.7905686546463245
Weather,canonical,validation,9,2.4394031241930454e-05,-1.2900645156305798e-05,5.746693042812328e-06,-1.646272978608445e-05,1,0.8432732316227461
Weather,future_perm,holdout,9,0.0001053169713791904,-0.00017190393308452734,-3.329348085266847e-05,-1.2703153092586671e-05,0,0.4812760055478502
Weather,future_perm,validation,9,7.592051329854658e-06,-1.146197680669382e-05,-1.9349627384195814e-06,-6.778396021190612e-06,1,0.883495145631068
Weather,history_perm,holdout,9,0.0001425001271707885,1.5025737666935672e-06,7.200135046874103e-05,6.44641318554861e-05,1,0.17337031900138697
Weather,history_perm,validation,9,-1.102133134928746e-05,-2.276071866856731e-06,-6.6487016080720955e-06,9.686939032315385e-07,1,0.3245492371705964
