dataset,family,split,future_binary_index,history_binary_index,replicate_count,mean_r2
ETTh1,canonical,holdout,0,0,9,0.021377125489742355
ETTh1,canonical,holdout,0,1,9,-0.02620561698367986
ETTh1,canonical,holdout,1,0,9,-0.004285496257241617
ETTh1,canonical,holdout,1,1,9,-0.017638026370824775
ETTh1,canonical,validation,0,0,9,-0.012314150116905656
ETTh1,canonical,validation,0,1,9,-0.004700720442978066
ETTh1,canonical,validation,1,0,9,-0.016639991319995027
ETTh1,canonical,validation,1,1,9,-0.011944968976412444
ETTh1,future_perm,holdout,0,0,9,-0.008646493254343919
ETTh1,future_perm,holdout,0,1,9,-0.01767458168064251
ETTh1,future_perm,holdout,1,0,9,-0.008893840938712113
ETTh1,future_perm,holdout,1,1,9,-0.019852885634344484
ETTh1,future_perm,validation,0,0,9,-0.0164969190008822
ETTh1,future_perm,validation,0,1,9,-0.010401698842706796
ETTh1,future_perm,validation,1,0,9,-0.018076330759145734
ETTh1,future_perm,validation,1,1,9,-0.010443256906232441
ETTh1,history_perm,holdout,0,0,9,-0.026068521853818534
ETTh1,history_perm,holdout,0,1,9,-0.018408785308298765
ETTh1,history_perm,holdout,1,0,9,-0.013518340605705607
ETTh1,history_perm,holdout,1,1,9,-0.016410191163947645
ETTh1,history_perm,validation,0,0,9,-0.0038898340125673846
ETTh1,history_perm,validation,0,1,9,-0.004961952296771926
ETTh1,history_perm,validation,1,0,9,-0.008726605385211096
ETTh1,history_perm,validation,1,1,9,-0.007213098588383803
ETTh2,canonical,holdout,0,0,9,3.682220885435782e-05
ETTh2,canonical,holdout,0,1,9,4.533150329888436e-06
ETTh2,canonical,holdout,1,0,9,-0.00015267459938339556
ETTh2,canonical,holdout,1,1,9,-3.6878874850228747e-06
ETTh2,canonical,validation,0,0,9,-0.012809732576353082
ETTh2,canonical,validation,0,1,9,-0.013762944297846438
ETTh2,canonical,validation,1,0,9,-0.014624495764983727
ETTh2,canonical,validation,1,1,9,-0.01695891744270929
ETTh2,future_perm,holdout,0,0,9,-4.47439444500011e-05
ETTh2,future_perm,holdout,0,1,9,-0.00010223155757627111
ETTh2,future_perm,holdout,1,0,9,-9.362710382639546e-05
ETTh2,future_perm,holdout,1,1,9,-8.726129535347521e-05
ETTh2,future_perm,validation,0,0,9,-0.024139696696904252
ETTh2,future_perm,validation,0,1,9,-0.020514020854006935
ETTh2,future_perm,validation,1,0,9,-0.019407743401318036
ETTh2,future_perm,validation,1,1,9,-0.015194346885330785
ETTh2,history_perm,holdout,0,0,9,-1.222553957073528e-05
ETTh2,history_perm,holdout,0,1,9,-1.2561668839055567e-05
ETTh2,history_perm,holdout,1,0,9,-2.534883165875949e-05
ETTh2,history_perm,holdout,1,1,9,-0.00010584582944174315
ETTh2,history_perm,validation,0,0,9,-0.01718821464164291
ETTh2,history_perm,validation,0,1,9,-0.01228222215915552
ETTh2,history_perm,validation,1,0,9,-0.018595622244744314
ETTh2,history_perm,validation,1,1,9,-0.017191289034206254
ETTm1,canonical,holdout,0,0,9,0.16803680422534847
ETTm1,canonical,holdout,0,1,9,-0.025398113699405575
ETTm1,canonical,holdout,1,0,9,-0.0064148885391871096
ETTm1,canonical,holdout,1,1,9,-0.019329389759725216
ETTm1,canonical,validation,0,0,9,0.15000213476066918
ETTm1,canonical,validation,0,1,9,-0.00686427338138102
ETTm1,canonical,validation,1,0,9,-0.008408707771692904
ETTm1,canonical,validation,1,1,9,-0.01789525952194672
ETTm1,future_perm,holdout,0,0,9,-0.010724850388419218
ETTm1,future_perm,holdout,0,1,9,-0.020243547612918085
ETTm1,future_perm,holdout,1,0,9,-0.0015027784757425389
ETTm1,future_perm,holdout,1,1,9,-0.01552194272617307
ETTm1,future_perm,validation,0,0,9,-0.013387279089333213
ETTm1,future_perm,validation,0,1,9,-0.015395276503970582
ETTm1,future_perm,validation,1,0,9,-0.002244969636400677
ETTm1,future_perm,validation,1,1,9,-0.01701549819466508
ETTm1,history_perm,holdout,0,0,9,-0.010850686830836244
ETTm1,history_perm,holdout,0,1,9,-0.01269129602670676
ETTm1,history_perm,holdout,1,0,9,-0.005003879807330487
ETTm1,history_perm,holdout,1,1,9,-0.018280019954908418
ETTm1,history_perm,validation,0,0,9,0.002017364009338348
ETTm1,history_perm,validation,0,1,9,-0.006938313231066405
ETTm1,history_perm,validation,1,0,9,0.0012050177974183532
ETTm1,history_perm,validation,1,1,9,-0.014435493997504458
ETTm2,canonical,holdout,0,0,9,7.433691334811519e-06
ETTm2,canonical,holdout,0,1,9,-2.7786514689894424e-06
ETTm2,canonical,holdout,1,0,9,-6.866246379515988e-05
ETTm2,canonical,holdout,1,1,9,-8.169024962076697e-05
ETTm2,canonical,validation,0,0,9,0.1114902929656412
ETTm2,canonical,validation,0,1,9,-0.028600686135967335
ETTm2,canonical,validation,1,0,9,-0.005219529157600168
ETTm2,canonical,validation,1,1,9,-0.037847642439898355
ETTm2,future_perm,holdout,0,0,9,-4.931140404204923e-05
ETTm2,future_perm,holdout,0,1,9,-5.076296448747186e-05
ETTm2,future_perm,holdout,1,0,9,-4.543625227363771e-05
ETTm2,future_perm,holdout,1,1,9,-4.8051101605908445e-05
ETTm2,future_perm,validation,0,0,9,-0.010676298563866378
ETTm2,future_perm,validation,0,1,9,-0.036502728459077
ETTm2,future_perm,validation,1,0,9,-0.0030520666229625717
ETTm2,future_perm,validation,1,1,9,-0.032278747007215766
ETTm2,history_perm,holdout,0,0,9,-1.5953414070161525e-06
ETTm2,history_perm,holdout,0,1,9,-8.515078242263583e-07
ETTm2,history_perm,holdout,1,0,9,-7.349928917517919e-05
ETTm2,history_perm,holdout,1,1,9,-6.765456183827684e-05
ETTm2,history_perm,validation,0,0,9,-0.009977476991035659
ETTm2,history_perm,validation,0,1,9,-0.020106732813182513
ETTm2,history_perm,validation,1,0,9,-0.02803966715579525
ETTm2,history_perm,validation,1,1,9,-0.038224828381108265
Weather,canonical,holdout,0,0,9,0.000793370485500026
Weather,canonical,holdout,0,1,9,-0.002390812459096065
Weather,canonical,holdout,1,0,9,-5.56385015156745e-05
Weather,canonical,holdout,1,1,9,-0.0001480777495504151
Weather,canonical,validation,0,0,9,-2.8309469044307534e-05
Weather,canonical,validation,0,1,9,-5.270350028623799e-05
Weather,canonical,validation,1,0,9,-1.2088901866411402e-05
Weather,canonical,validation,1,1,9,-2.49895470227172e-05
Weather,future_perm,holdout,0,0,9,-6.440977932295786e-05
Weather,future_perm,holdout,0,1,9,-0.00016972675070214827
Weather,future_perm,holdout,1,0,9,-6.602787481667526e-05
Weather,future_perm,holdout,1,1,9,-0.0002379318079012026
Weather,future_perm,validation,0,0,9,-1.7625276112672356e-05
Weather,future_perm,validation,0,1,9,-2.5217327442527014e-05
Weather,future_perm,validation,1,0,9,-1.1914744522581148e-05
Weather,future_perm,validation,1,1,9,-2.3376721329274968e-05
