dataset,family,split,future_group_index,history_group_index,replicate_count,mean_r2
ETTh1,canonical,holdout,0,0,9,0.021377125489742355
ETTh1,canonical,holdout,0,1,9,-0.0010466371680949809
ETTh1,canonical,holdout,0,2,9,0.0009266195515077705
ETTh1,canonical,holdout,0,3,9,-0.04977515245905449
ETTh1,canonical,holdout,0,4,9,-0.017422106033858978
ETTh1,canonical,holdout,0,5,9,-0.017623458172107382
ETTh1,canonical,holdout,0,6,9,-0.0275477894727632
ETTh1,canonical,holdout,1,0,9,0.002629915974519238
ETTh1,canonical,holdout,1,1,9,-0.01816493601344625
ETTh1,canonical,holdout,1,2,9,0.06766170464475249
ETTh1,canonical,holdout,1,3,9,-0.02077865099589883
ETTh1,canonical,holdout,1,4,9,-0.03785491827269719
ETTh1,canonical,holdout,1,5,9,-0.024973315205595044
ETTh1,canonical,holdout,1,6,9,-0.02962200329052917
ETTh1,canonical,holdout,2,0,9,0.003177271949611026
ETTh1,canonical,holdout,2,1,9,0.013108001400724533
ETTh1,canonical,holdout,2,2,9,0.16871110844539336
ETTh1,canonical,holdout,2,3,9,0.022124586718326154
ETTh1,canonical,holdout,2,4,9,-0.020010215149563457
ETTh1,canonical,holdout,2,5,9,-0.02236309282848232
ETTh1,canonical,holdout,2,6,9,-0.02115466890075473
ETTh1,canonical,holdout,3,0,9,-0.004966634500963376
ETTh1,canonical,holdout,3,1,9,-0.007003314034530349
ETTh1,canonical,holdout,3,2,9,-0.031188175760958795
ETTh1,canonical,holdout,3,3,9,0.0031271896467221197
ETTh1,canonical,holdout,3,4,9,-0.016907877278255306
ETTh1,canonical,holdout,3,5,9,-0.02014387834733284
ETTh1,canonical,holdout,3,6,9,-0.0265726152045712
ETTh1,canonical,holdout,4,0,9,-0.005698160376483432
ETTh1,canonical,holdout,4,1,9,-0.003591638043425105
ETTh1,canonical,holdout,4,2,9,-0.0035195197912466503
ETTh1,canonical,holdout,4,3,9,-0.0005022707466852097
ETTh1,canonical,holdout,4,4,9,-0.018231028119141148
ETTh1,canonical,holdout,4,5,9,-0.020614636175588022
ETTh1,canonical,holdout,4,6,9,-0.0246350694676305
ETTh1,canonical,holdout,5,0,9,-0.00474981586202995
ETTh1,canonical,holdout,5,1,9,-0.00644412983791091
ETTh1,canonical,holdout,5,2,9,-0.010032333890781484
ETTh1,canonical,holdout,5,3,9,-0.0130962482758161
ETTh1,canonical,holdout,5,4,9,-0.02414068618251318
ETTh1,canonical,holdout,5,5,9,-0.021782689721389453
ETTh1,canonical,holdout,5,6,9,-0.025769932390714075
ETTh1,canonical,holdout,6,0,9,-0.010282544794226448
ETTh1,canonical,holdout,6,1,9,-0.010399448895257853
ETTh1,canonical,holdout,6,2,9,-0.017202711124097818
ETTh1,canonical,holdout,6,3,9,-0.018870605741445834
ETTh1,canonical,holdout,6,4,9,-0.02619134518669804
ETTh1,canonical,holdout,6,5,9,-0.023343685032205838
ETTh1,canonical,holdout,6,6,9,-0.03232615836849476
ETTh1,canonical,validation,0,0,9,-0.012314150116905656
ETTh1,canonical,validation,0,1,9,-0.0001828843992938515
ETTh1,canonical,validation,0,2,9,0.0005622995488742985
ETTh1,canonical,validation,0,3,9,-0.010985033816604897
ETTh1,canonical,validation,0,4,9,-0.0051238705635671
ETTh1,canonical,validation,0,5,9,-0.004381566018079387
ETTh1,canonical,validation,0,6,9,-0.006235821108698235
ETTh1,canonical,validation,1,0,9,0.00055595334991734
ETTh1,canonical,validation,1,1,9,-0.012915591100262105
ETTh1,canonical,validation,1,2,9,0.07423245709968919
ETTh1,canonical,validation,1,3,9,0.006817405358462968
ETTh1,canonical,validation,1,4,9,-0.017185739168389984
ETTh1,canonical,validation,1,5,9,-0.01430721816449032
ETTh1,canonical,validation,1,6,9,-0.010434596572366672
ETTh1,canonical,validation,2,0,9,0.001487926658767871
ETTh1,canonical,validation,2,1,9,0.02348297990935677
ETTh1,canonical,validation,2,2,9,0.24573263484381702
ETTh1,canonical,validation,2,3,9,0.07349941950903235
ETTh1,canonical,validation,2,4,9,-0.019972877603822776
ETTh1,canonical,validation,2,5,9,-0.013656725914337716
ETTh1,canonical,validation,2,6,9,-0.01113120930255524
ETTh1,canonical,validation,3,0,9,-0.01827778585934508
ETTh1,canonical,validation,3,1,9,-0.0048615063252126995
ETTh1,canonical,validation,3,2,9,-0.041484059999949946
ETTh1,canonical,validation,3,3,9,0.042997825481749935
ETTh1,canonical,validation,3,4,9,-0.013810938018306981
ETTh1,canonical,validation,3,5,9,-0.018350030364218808
ETTh1,canonical,validation,3,6,9,-0.02153831331844527
ETTh1,canonical,validation,4,0,9,-0.015398544372114693
ETTh1,canonical,validation,4,1,9,-0.004132190756940984
ETTh1,canonical,validation,4,2,9,0.006489990408122852
ETTh1,canonical,validation,4,3,9,0.04554905606052141
ETTh1,canonical,validation,4,4,9,-0.019350409194747818
ETTh1,canonical,validation,4,5,9,-0.016875186850740583
ETTh1,canonical,validation,4,6,9,-0.016389999905815245
ETTh1,canonical,validation,5,0,9,-0.013864553702314097
ETTh1,canonical,validation,5,1,9,-0.004657590815819413
ETTh1,canonical,validation,5,2,9,0.00226493636262347
ETTh1,canonical,validation,5,3,9,0.01980907321143066
ETTh1,canonical,validation,5,4,9,-0.020551943850236693
ETTh1,canonical,validation,5,5,9,-0.016606205042930384
ETTh1,canonical,validation,5,6,9,-0.01792766494598097
ETTh1,canonical,validation,6,0,9,-0.01921105201646774
ETTh1,canonical,validation,6,1,9,-0.0044523219102734
ETTh1,canonical,validation,6,2,9,0.0035621343716663403
ETTh1,canonical,validation,6,3,9,0.019059492493176275
ETTh1,canonical,validation,6,4,9,-0.019156618638303327
ETTh1,canonical,validation,6,5,9,-0.0195420925546361
ETTh1,canonical,validation,6,6,9,-0.026447578797683398
ETTh1,future_perm,holdout,0,0,9,-0.008646493254343919
ETTh1,future_perm,holdout,0,1,9,-0.0089798421092111
ETTh1,future_perm,holdout,0,2,9,-0.002669337286946528
ETTh1,future_perm,holdout,0,3,9,-0.012125598542027735
ETTh1,future_perm,holdout,0,4,9,-0.021891157862786996
ETTh1,future_perm,holdout,0,5,9,-0.019998162817914642
ETTh1,future_perm,holdout,0,6,9,-0.03122333949401774
ETTh1,future_perm,holdout,1,0,9,-0.008577108628233552
ETTh1,future_perm,holdout,1,1,9,-0.005269582112451247
ETTh1,future_perm,holdout,1,2,9,0.005148546438038982
ETTh1,future_perm,holdout,1,3,9,-0.011409882862654997
ETTh1,future_perm,holdout,1,4,9,-0.029252752252664733
ETTh1,future_perm,holdout,1,5,9,-0.019086500134803605
ETTh1,future_perm,holdout,1,6,9,-0.023821111958671586
ETTh1,future_perm,holdout,2,0,9,-0.004370194242570186
ETTh1,future_perm,holdout,2,1,9,-0.0054166334479025646
ETTh1,future_perm,holdout,2,2,9,0.01929311577731094
ETTh1,future_perm,holdout,2,3,9,-0.01612871680597879
ETTh1,future_perm,holdout,2,4,9,-0.024831804551676242
ETTh1,future_perm,holdout,2,5,9,-0.021388130771015264
ETTh1,future_perm,holdout,2,6,9,-0.026599530648612327
ETTh1,future_perm,holdout,3,0,9,-0.005767416094800002
ETTh1,future_perm,holdout,3,1,9,-0.00454516016878554
ETTh1,future_perm,holdout,3,2,9,0.01193971002225854
ETTh1,future_perm,holdout,3,3,9,-0.007562262947085717
ETTh1,future_perm,holdout,3,4,9,-0.029011934393460406
ETTh1,future_perm,holdout,3,5,9,-0.02535403868951293
ETTh1,future_perm,holdout,3,6,9,-0.024147573754643492
ETTh1,future_perm,holdout,4,0,9,-0.0064364926884089195
ETTh1,future_perm,holdout,4,1,9,-0.00766314737380062
ETTh1,future_perm,holdout,4,2,9,-0.007102363751261474
ETTh1,future_perm,holdout,4,3,9,-0.011091061385439607
ETTh1,future_perm,holdout,4,4,9,-0.029267635698741454
ETTh1,future_perm,holdout,4,5,9,-0.019504452910470746
ETTh1,future_perm,holdout,4,6,9,-0.021092945744757556
ETTh1,future_perm,holdout,5,0,9,-0.006915969126017292
ETTh1,future_perm,holdout,5,1,9,-0.009111416343384823
ETTh1,future_perm,holdout,5,2,9,0.003936746222173215
ETTh1,future_perm,holdout,5,3,9,-0.013102288263238338
ETTh1,future_perm,holdout,5,4,9,-0.02388806545835092
ETTh1,future_perm,holdout,5,5,9,-0.023503735090365643
ETTh1,future_perm,holdout,5,6,9,-0.027999597262954583
ETTh1,future_perm,holdout,6,0,9,-0.0069842271597237
ETTh1,future_perm,holdout,6,1,9,-0.003678613551214497
ETTh1,future_perm,holdout,6,2,9,0.015332060899239072
ETTh1,future_perm,holdout,6,3,9,-0.005610768659768419
ETTh1,future_perm,holdout,6,4,9,-0.017625621205121025
ETTh1,future_perm,holdout,6,5,9,-0.01929684831714498
ETTh1,future_perm,holdout,6,6,9,-0.029091191249332696
ETTh1,future_perm,validation,0,0,9,-0.0164969190008822
ETTh1,future_perm,validation,0,1,9,-0.00554565966874892
ETTh1,future_perm,validation,0,2,9,0.005946402429081312
ETTh1,future_perm,validation,0,3,9,0.012352355984781103
ETTh1,future_perm,validation,0,4,9,-0.015477144801887876
ETTh1,future_perm,validation,0,5,9,-0.014038038583174428
ETTh1,future_perm,validation,0,6,9,-0.02105253873357582
ETTh1,future_perm,validation,1,0,9,-0.014628801944257974
ETTh1,future_perm,validation,1,1,9,-0.0018540002612496614
ETTh1,future_perm,validation,1,2,9,0.017342173784163632
ETTh1,future_perm,validation,1,3,9,0.02608001776802899
ETTh1,future_perm,validation,1,4,9,-0.01888119765722128
ETTh1,future_perm,validation,1,5,9,-0.014035413514371752
ETTh1,future_perm,validation,1,6,9,-0.021779294841988643
ETTh1,future_perm,validation,2,0,9,-0.014342110054803224
ETTh1,future_perm,validation,2,1,9,-0.0015017150229529196
ETTh1,future_perm,validation,2,2,9,0.045075789337929516
ETTh1,future_perm,validation,2,3,9,0.02032323238727971
ETTh1,future_perm,validation,2,4,9,-0.02086247594331134
ETTh1,future_perm,validation,2,5,9,-0.012146814178762622
ETTh1,future_perm,validation,2,6,9,-0.017565804871362747
ETTh1,future_perm,validation,3,0,9,-0.014435069666002423
ETTh1,future_perm,validation,3,1,9,0.0006510262029153009
ETTh1,future_perm,validation,3,2,9,0.038951850408156234
ETTh1,future_perm,validation,3,3,9,0.020812680987691387
ETTh1,future_perm,validation,3,4,9,-0.021150768757826337
ETTh1,future_perm,validation,3,5,9,-0.01694707167470688
ETTh1,future_perm,validation,3,6,9,-0.02131965212120483
ETTh1,future_perm,validation,4,0,9,-0.011740067768485303
