dataset,family,sketch_seed,ridge_lambda,split,global_selectivity,detail_selectivity,binary_interaction,detail_monotone_gain,detail_canonical_best_count,detail_permutation_p
ETTh1,canonical,20260715,0.001,holdout,0.04818917772268483,-0.016660009849575275,0.015764583936554777,0.030826890861379668,2,0.0651872399445215
ETTh1,canonical,20260715,0.001,validation,-0.008822215433503588,-0.0027276147948913643,-0.005774915114197476,0.043163729856372866,2,0.12066574202496533
ETTh1,canonical,20260715,0.01,holdout,0.047804800507103895,-0.016180391161486396,0.01581220467280875,0.030816184677312453,2,0.06241331484049931
ETTh1,canonical,20260715,0.01,validation,-0.008586173253599005,-0.0024780747760637656,-0.0055321240148313855,0.04333795887958788,2,0.11789181692094314
ETTh1,canonical,20260715,0.1,holdout,0.0442893339520718,-0.012124738864302431,0.016082297543884683,0.030900715649745374,2,0.05547850208044383
ETTh1,canonical,20260715,0.1,validation,-0.006577068601059333,-0.00041855184383821076,-0.0034978102224487717,0.044612654817447826,2,0.10263522884882108
ETTh1,canonical,20260716,0.001,holdout,0.047175142680937476,-0.01945611509857592,0.013859513791180778,0.025541142863477934,2,0.047156726768377254
ETTh1,canonical,20260716,0.001,validation,-0.006033569534164895,0.008830910302040751,0.0013986703839379278,0.03744258140134521,2,0.0638002773925104
ETTh1,canonical,20260716,0.01,holdout,0.04677769452379266,-0.018990549812111457,0.0138935723558406,0.02545141069806121,2,0.044382801664355064
ETTh1,canonical,20260716,0.01,validation,-0.0058130694515938774,0.008893716559863263,0.0015403235541346927,0.03752175152693821,2,0.06241331484049931
ETTh1,canonical,20260716,0.1,holdout,0.04315178676102549,-0.015015102813698888,0.0140683419736633,0.024708150384589917,2,0.033287101248266296
ETTh1,canonical,20260716,0.1,validation,-0.003961482658081161,0.009334226121195277,0.002686371731557058,0.037959622585230814,2,0.05409153952843273
ETTh1,canonical,20260717,0.001,holdout,0.05194695382283254,-0.008637965141482296,0.021654494340675123,0.03686313474233399,2,0.038834951456310676
ETTh1,canonical,20260717,0.001,validation,-0.010430250608339131,0.006514537243462071,-0.00195785668243853,0.050433203308072994,2,0.07212205270457697
ETTh1,canonical,20260717,0.01,holdout,0.05149714091839319,-0.008236869149438553,0.02163013588447732,0.03695262398426302,2,0.038834951456310676
ETTh1,canonical,20260717,0.01,validation,-0.010186919366061087,0.006644893633952043,-0.0017710128660545221,0.05054865017043562,2,0.07212205270457697
ETTh1,canonical,20260717,0.1,holdout,0.04741265137195805,-0.00487102913157722,0.021270811120190414,0.03765635842794124,2,0.033287101248266296
ETTh1,canonical,20260717,0.1,validation,-0.008110118158946245,0.00766115864652317,-0.00022447975621153748,0.05127317597704437,2,0.06934812760055478
ETTh1,future_perm,20260715,0.001,holdout,0.013818912774167247,-0.005203849872159161,0.004307531451004043,0.0027681738431319936,2,0.260748959778086
ETTh1,future_perm,20260715,0.001,validation,-0.006325329827241211,0.0113382459055682,0.002506458039163495,0.012766546818980262,1,0.06657420249653259
ETTh1,future_perm,20260715,0.01,holdout,0.013410945277814834,-0.0048852560434380354,0.004262844617188399,0.002733071372098994,2,0.2510402219140083
ETTh1,future_perm,20260715,0.01,validation,-0.00640528504014326,0.01138380011480078,0.0024892575373287595,0.012791682934811735,1,0.0651872399445215
ETTh1,future_perm,20260715,0.1,holdout,0.009951005224654974,-0.0022405978976505203,0.003855203663502227,0.003079257231012137,1,0.1955617198335645
ETTh1,future_perm,20260715,0.1,validation,-0.007010543259559521,0.011657604989351311,0.0023235308648958952,0.012941055735891882,1,0.06102635228848821
ETTh1,future_perm,20260716,0.001,holdout,0.010904481974997493,-0.01104452563195113,-7.002182847681837e-05,0.0033417304166119357,1,0.5977808599167822
