baseline,dataset,horizon,repeat,seed_contract,mse,mae,checkpoint,checkpoint_sha256,test_role
SimpleTM,Solar,96,0,fix_seed_2025_advancing_rng_across_itr,0.16696685552597046,0.2239992618560791,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_96_128_256_1_db8_None_3_0.0_0.005_0.01_TST_256_2025_0_0/checkpoint.pth,342a5b6f7abbe940b626faa1b80fd50b822fdf1cb145b74df54cd377ca0af84d,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,96,1,fix_seed_2025_advancing_rng_across_itr,0.16860607266426086,0.22605778276920319,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_96_128_256_1_db8_None_3_0.0_0.005_0.01_TST_256_2025_0_1/checkpoint.pth,2a05cfb91d7c6fc2a6db4af037c8e7220320631ba5c268115033b1ee2c1f4133,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,96,2,fix_seed_2025_advancing_rng_across_itr,0.16632835566997528,0.23269164562225342,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_96_128_256_1_db8_None_3_0.0_0.005_0.01_TST_256_2025_0_2/checkpoint.pth,00ea313a99a961f33a12afe118032092790081e5020416311b233abbfc235e68,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,192,0,fix_seed_2025_advancing_rng_across_itr,0.18444304168224335,0.2487870454788208,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_192_128_256_1_db8_None_1_0.0_0.005_0.003_TST_256_2025_0_0/checkpoint.pth,0d744f6ddb3f020636072ad99de2b544e0ff3d866b0a6b7595bb4d0067cb2347,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,192,1,fix_seed_2025_advancing_rng_across_itr,0.18746623396873474,0.24968531727790833,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_192_128_256_1_db8_None_1_0.0_0.005_0.003_TST_256_2025_0_1/checkpoint.pth,b08650d7d703a9bd02724311d9e436e4bf7ad8f82ab25cd03881f89ce1ea7c68,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,336,0,fix_seed_2025_advancing_rng_across_itr,0.1931300014257431,0.2579970955848694,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_336_128_256_1_db8_None_1_0.1_0.005_0.003_TST_256_2025_0_0/checkpoint.pth,6183fcd9ca5d201a6a840258084ca9a904333f8086f7d296a31dcd8a5b0b365c,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,336,1,fix_seed_2025_advancing_rng_across_itr,0.19272717833518982,0.25780120491981506,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_336_128_256_1_db8_None_1_0.1_0.005_0.003_TST_256_2025_0_1/checkpoint.pth,b1f2870565755ab93a96337584a91e7559a3ac72c1f8599a51c4e2168b918fe7,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,720,0,fix_seed_2025_advancing_rng_across_itr,0.2001074254512787,0.2547282576560974,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_720_128_256_1_db8_None_1_0.0_0.005_0.009_TST_256_2025_0_0/checkpoint.pth,e670781f52ced4525bd382088db09f12f93bdc05a204863e79f81cb986c10bf6,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,720,1,fix_seed_2025_advancing_rng_across_itr,0.20039570331573486,0.2536747455596924,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_720_128_256_1_db8_None_1_0.0_0.005_0.009_TST_256_2025_0_1/checkpoint.pth,f28d018ee62caea3d5a0264a0b8b777f25b620813411820ebb0f8f8f62aa6c7d,official_test_once_after_validation_selected_checkpoint
SimpleTM,Solar,720,2,fix_seed_2025_advancing_rng_across_itr,0.1988573670387268,0.2546876072883606,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Solar/workspace/source/checkpoints/Solar_Solar_96_720_128_256_1_db8_None_1_0.0_0.005_0.009_TST_256_2025_0_2/checkpoint.pth,96c6142842575ca2a445519c55aea131c5863b4709ef95694211d507dd09d656,official_test_once_after_validation_selected_checkpoint
