dataset,horizon,is_specialist_gap,residual_mse,residual_mae,matrix_family,matrix_source,normalized_quadratic_loss,ratio_to_residual_mse
ETTh2,720,True,0.4104734046653696,0.4392986997597893,qdf_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTh2/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.40964952571528107,0.9979928566851727
ETTh2,720,True,0.4104734046653696,0.4392986997597893,qdf_off_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.18555170036384575,0.4520431732114609
ETTh2,720,True,0.4104734046653696,0.4392986997597893,qdf_all_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.18925540079984063,0.4610661705455129
ETTm1,96,True,0.29868495726368566,0.3522827644119685,identity,identity,0.29868495726368566,1.0
ETTm1,96,True,0.29868495726368566,0.3522827644119685,prefix_risk,analytic_prefix_risk_alpha_0.5,0.6617155003836723,2.2154296166964156
ETTm1,96,True,0.29868495726368566,0.3522827644119685,static_train_target_offdiag,analysis/phase2_offdiag_block_quadratic_gate_20260623/raw/PatchEncoderOffdiagBlockQuadratic/ETTm1/mixed_h96_h192_h336_h720/seed2021/offdiag_block_matrix.csv,0.021452049978590234,0.07182166177740211
ETTm1,96,True,0.29868495726368566,0.3522827644119685,qdf_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_96_TQNet_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.2984953155064062,0.9993650776422863
ETTm1,96,True,0.29868495726368566,0.3522827644119685,qdf_off_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_96_TQNet_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.13657000470429018,0.4572376391346792
ETTm1,96,True,0.29868495726368566,0.3522827644119685,qdf_all_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_96_TQNet_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.14567704920947436,0.4877281083856776
ETTm1,192,False,0.32966214972645935,0.37305043266226984,identity,identity,0.32966214972645935,1.0
ETTm1,192,False,0.32966214972645935,0.37305043266226984,prefix_risk,analytic_prefix_risk_alpha_0.5,0.5403082228445575,1.6389756097049173
ETTm1,192,False,0.32966214972645935,0.37305043266226984,static_train_target_offdiag,analysis/phase2_offdiag_block_quadratic_gate_20260623/raw/PatchEncoderOffdiagBlockQuadratic/ETTm1/mixed_h96_h192_h336_h720/seed2021/offdiag_block_matrix.csv,0.041925180431505366,0.1271762028679763
ETTm1,192,False,0.32966214972645935,0.37305043266226984,qdf_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.32964476810456755,0.9999472744386754
ETTm1,192,False,0.32966214972645935,0.37305043266226984,qdf_off_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.27644346466931624,0.8385659830790345
ETTm1,192,False,0.32966214972645935,0.37305043266226984,qdf_all_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.27721786508965157,0.8409150559737477
ETTm1,336,False,0.3607288571103958,0.39244198870795755,identity,identity,0.3607288571103958,1.0
ETTm1,336,False,0.3607288571103958,0.39244198870795755,prefix_risk,analytic_prefix_risk_alpha_0.5,0.4547698897733755,1.2606972822088358
ETTm1,336,False,0.3607288571103958,0.39244198870795755,static_train_target_offdiag,analysis/phase2_offdiag_block_quadratic_gate_20260623/raw/PatchEncoderOffdiagBlockQuadratic/ETTm1/mixed_h96_h192_h336_h720/seed2021/offdiag_block_matrix.csv,0.06303196051373851,0.17473501016429216
