meta_type,dataset,horizon,matrix_dim,precision_trace,covariance_trace,source
diag,ETTm1,192,192,190.79197692871094,193.21583557128906,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,ETTm1,192,192,192.39382934570312,192.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,ETTm1,192,192,188.1270294189453,196.3419952392578,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,ETTm1,336,336,314.4151306152344,359.09381103515625,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,ETTm1,336,336,350.3216247558594,336.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,ETTm1,336,336,300.3124084472656,389.9073791503906,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,ETTm1,720,720,692.5762329101562,748.52880859375,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,ETTm1,720,720,736.7555541992188,720.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,ETTm1,720,720,674.1010131835938,785.5453491210938,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,Weather,96,96,81.54202270507812,113.05133819580078,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_96_TQNet_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,Weather,96,96,103.968994140625,96.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/Weather/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_96_TQNet_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,Weather,96,96,70.23703002929688,139.39674377441406,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_96_TQNet_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,Weather,192,192,188.95120239257812,195.09939575195312,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_192_TQNet_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,Weather,192,192,193.47434997558594,192.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/Weather/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_192_TQNet_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,Weather,192,192,184.0146942138672,201.78294372558594,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_192_TQNet_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,Weather,336,336,325.7919006347656,346.5329284667969,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_336_TQNet_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,Weather,336,336,340.836181640625,336.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/Weather/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_336_TQNet_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,Weather,336,336,311.520263671875,367.16192626953125,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_336_TQNet_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,Weather,720,720,687.5907592773438,753.9707641601562,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_720_TQNet_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,Weather,720,720,737.4441528320312,720.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/Weather/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_720_TQNet_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,Weather,720,720,664.0968627929688,797.9078979492188,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_720_TQNet_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
