model,strategy,dataset,horizon,scope,residual_mse,residual_mae,max_abs_residual
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,96,all,0.003769033355638385,0.04240382835268974,0.37563908100128174
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,96,1-96,0.003769033355638385,0.04240382835268974,0.37563908100128174
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,192,all,0.001921837218105793,0.02794148400425911,0.37563908100128174
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,192,1-96,0.003431081771850586,0.04072887822985649,0.37563908100128174
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,192,97-192,0.0004125925188418478,0.015154092572629452,0.13685324788093567
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,336,all,0.0012145728105679154,0.022076183930039406,0.3756391108036041
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,336,1-96,0.003251205198466778,0.039565619081258774,0.3756391108036041
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,336,97-336,0.0003999197215307504,0.015080409124493599,0.13685326278209686
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,720,all,0.0008765271049924195,0.020019592717289925,0.3756391108036041
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,720,1-96,0.0028076732996851206,0.036079224199056625,0.3756391108036041
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,720,97-336,0.0003620529605541378,0.014447388239204884,0.13685326278209686
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,ETTh2,720,337-720,0.0007152870530262589,0.01948731392621994,0.1601351797580719
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,96,all,0.006508053746074438,0.05281786993145943,1.0072451829910278
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,96,1-96,0.006508053746074438,0.05281786993145943,1.0072451829910278
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,192,all,0.004247196018695831,0.040649328380823135,1.0072450637817383
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,192,1-96,0.006486089434474707,0.05289394035935402,1.0072450637817383
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,192,97-192,0.0020083023700863123,0.02840472385287285,0.7465008497238159
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,336,all,0.003112936858087778,0.033934321254491806,1.0072450637817383
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,336,1-96,0.006479993462562561,0.052920807152986526,1.0072450637817383
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,336,97-336,0.0017661141464486718,0.02633972279727459,0.7576521039009094
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,720,all,0.003435205901041627,0.03641344606876373,1.0821418762207031
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,720,1-96,0.006002012640237808,0.052077196538448334,1.0072450637817383
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,720,97-336,0.0017209431389346719,0.02623998001217842,0.7576522827148438
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_region_routed_readout,Weather,720,337-720,0.0038649181369692087,0.03885592147707939,1.0821418762207031
