epoch,train_loss,mse,mae
1,0.5224368235974942,0.8905225992202759,0.6680629849433899
2,0.40557674158294243,0.5682909488677979,0.5214667320251465
3,0.35154768622146465,0.5398445725440979,0.505695104598999
4,0.3357336289477798,0.5223581790924072,0.49437153339385986
5,0.32445623334848656,0.5208178758621216,0.49097850918769836
6,0.3149671398243814,0.5156694054603577,0.48822325468063354
7,0.3077070878361756,0.5049696564674377,0.4810910224914551
8,0.302149243399782,0.5050495266914368,0.4800805449485779
9,0.2972013771533966,0.5173036456108093,0.4862711429595947
10,0.2924442388539044,0.5126194357872009,0.48338693380355835
11,0.2883519299750058,0.5322579145431519,0.49243906140327454
12,0.284055857219786,0.5334436297416687,0.4915604591369629
13,0.28022238657159626,0.5368508100509644,0.49272871017456055
14,0.27666515871038977,0.5554906129837036,0.49908646941185
15,0.273036867436373,0.5538701415061951,0.49753403663635254
16,0.26965101052005336,0.558102548122406,0.49989548325538635
17,0.26650177088548554,0.5697662830352783,0.5022860765457153
