dataset,horizon,segment,fixed_mse,adapter_mse,delta_mse,relative_mse_change,fixed_mae,adapter_mae,delta_mae,relative_mae_change,adapter_passes_mse
ETTh2,96,1-96,0.3074484169483185,0.30123046040534973,-0.00621795654296875,-0.020224389524223757,0.36609065532684326,0.36003977060317993,-0.00605088472366333,-0.016528377973103796,True
ETTh2,192,1-96,0.3041790723800659,0.3329656422138214,0.028786569833755493,0.09463691768310487,0.3596230745315552,0.3782638609409332,0.018640786409378052,0.05183423347809239,False
ETTh2,192,97-192,0.45050108432769775,0.4499402344226837,-0.0005608499050140381,-0.0012449468481324937,0.4542715549468994,0.459134578704834,0.00486302375793457,0.010705102938930476,True
ETTh2,336,1-96,0.28333091735839844,0.28478601574897766,0.0014550983905792236,0.005135685170350125,0.34809982776641846,0.34767624735832214,-0.0004235804080963135,-0.001216836017455728,False
ETTh2,336,97-192,0.39427974820137024,0.3935405910015106,-0.0007391571998596191,-0.0018747024244372549,0.4292934834957123,0.4222358763217926,-0.007057607173919678,-0.016440051958045078,True
ETTh2,336,193-336,0.4445280134677887,0.4448659121990204,0.00033789873123168945,0.0007601292179444934,0.4647422432899475,0.4627546966075897,-0.001987546682357788,-0.0042766645620328945,False
ETTh2,720,1-96,0.2543378472328186,0.25333839654922485,-0.00099945068359375,-0.0039296183972134585,0.3262273371219635,0.32417306303977966,-0.002054274082183838,-0.006297062963229921,True
ETTh2,720,97-192,0.3411703407764435,0.33585748076438904,-0.005312860012054443,-0.015572455682880616,0.3901240825653076,0.3852308392524719,-0.004893243312835693,-0.012542787106757384,True
ETTh2,720,193-336,0.35521161556243896,0.35477086901664734,-0.000440746545791626,-0.0012407999245569483,0.41422906517982483,0.41209936141967773,-0.0021297037601470947,-0.005141367275187581,True
ETTh2,720,337-720,0.48179948329925537,0.4739055335521698,-0.007893949747085571,-0.016384305132561713,0.4977897107601166,0.4920823276042938,-0.005707383155822754,-0.011465450234211702,True
ETTm1,96,1-96,0.29047533869743347,0.2897811233997345,-0.0006942152976989746,-0.0023899285247829145,0.3442326486110687,0.3464817702770233,0.00224912166595459,0.006533725592355884,True
ETTm1,192,1-96,0.2987188696861267,0.29978907108306885,0.0010702013969421387,0.0035826374077628,0.35031452775001526,0.35120564699172974,0.0008911192417144775,0.0025437690164833273,False
ETTm1,192,97-192,0.37668347358703613,0.3676954209804535,-0.008988052606582642,-0.023861021883950187,0.39646369218826294,0.3912760317325592,-0.005187660455703735,-0.013084831115481683,True
ETTm1,336,1-96,0.29374390840530396,0.29980218410491943,0.0060582756996154785,0.020624344969415842,0.35131213068962097,0.3542608618736267,0.0029487311840057373,0.00839347954827924,False
ETTm1,336,97-192,0.35962292551994324,0.37194138765335083,0.012318462133407593,0.034253828828063576,0.391627699136734,0.3971790075302124,0.0055513083934783936,0.014174963634378155,False
ETTm1,336,193-336,0.4080162048339844,0.4108257293701172,0.0028095245361328125,0.006885816060359577,0.4164922535419464,0.42069220542907715,0.004199951887130737,0.010084105650017198,False
ETTm1,720,1-96,0.29211053252220154,0.30194997787475586,0.009839445352554321,0.033683980059180114,0.35281580686569214,0.35631346702575684,0.0034976601600646973,0.00991355855378715,False
ETTm1,720,97-192,0.3583531081676483,0.36912333965301514,0.010770231485366821,0.030054801367393705,0.3930736482143402,0.3972373902797699,0.0041637420654296875,0.01059277843820054,False
ETTm1,720,193-336,0.41059064865112305,0.4117748737335205,0.001184225082397461,0.0028841988639728895,0.4203362762928009,0.42142894864082336,0.001092672348022461,0.002599519502954628,False
ETTm1,720,337-720,0.4573901295661926,0.44770434498786926,-0.009685784578323364,-0.02117619938040586,0.4447166323661804,0.4433884620666504,-0.0013281702995300293,-0.0029865541400223854,True
Weather,96,1-96,0.14708691835403442,0.1495135873556137,0.0024266690015792847,0.016498197315809926,0.1950538456439972,0.20226888358592987,0.007215037941932678,0.036989980474936214,False
Weather,192,1-96,0.15198560059070587,0.1518111377954483,-0.00017446279525756836,-0.0011478902907874353,0.20113612711429596,0.20161309838294983,0.00047697126865386963,0.002371385367198752,True
Weather,192,97-192,0.23843136429786682,0.23809950053691864,-0.00033186376094818115,-0.00139186286135406,0.2826337516307831,0.28349992632865906,0.0008661746978759766,0.0030646541429613073,True
Weather,336,1-96,0.15354138612747192,0.15427136421203613,0.000729978084564209,0.004754275723147193,0.2040555626153946,0.20556269586086273,0.0015071332454681396,0.0073858964007209905,False
Weather,336,97-192,0.2438506931066513,0.2407510131597519,-0.003099679946899414,-0.012711384607562827,0.2894735634326935,0.2857096195220947,-0.003763943910598755,-0.013002720752680833,True
Weather,336,193-336,0.32024121284484863,0.3181469738483429,-0.0020942389965057373,-0.006539567402651451,0.34092363715171814,0.3371068239212036,-0.0038168132305145264,-0.011195507775296803,True
Weather,720,1-96,0.15367551147937775,0.15336692333221436,-0.0003085881471633911,-0.0020080502364542424,0.20635920763015747,0.20737649500370026,0.0010172873735427856,0.0049296921868686155,True
Weather,720,97-192,0.23720782995224,0.23802396655082703,0.0008161365985870361,0.003440597212795881,0.2855444550514221,0.2870854139328003,0.0015409588813781738,0.005396563841874188,False
Weather,720,193-336,0.31677156686782837,0.31843969225883484,0.0016681253910064697,0.005266019950908309,0.3358266353607178,0.3395918309688568,0.003765195608139038,0.011211724180527759,False
Weather,720,337-720,0.38935336470603943,0.3952022194862366,0.0058488547801971436,0.015021970555238455,0.3800938129425049,0.38756877183914185,0.007474958896636963,0.019666089376118488,False
