dataset,horizon,delta_mse_to_base,delta_mae_to_base,mean_abs_gamma,mean_abs_beta,delta_to_base_mae_ratio
ETTh2,96,0.04162823036313057,0.13884411752223969,0.37036246061325073,0.03869745880365372,0.10347030311822891
ETTh2,192,0.11488065123558044,0.2371939867734909,0.5192092657089233,0.07723585516214371,0.18203651905059814
ETTh2,336,0.020395299419760704,0.1022048145532608,0.37732285261154175,0.023160073906183243,0.07544411718845367
ETTh2,720,0.01941724680364132,0.10196428000926971,0.41284918785095215,0.022099433466792107,0.07361937314271927
ETTm1,96,0.8634080290794373,0.5991386771202087,0.591042160987854,0.02068430371582508,0.4886113107204437
ETTm1,192,0.4598712623119354,0.43186235427856445,0.5247519612312317,0.0155686866492033,0.4128497540950775
ETTm1,336,0.8071878552436829,0.5642610192298889,0.5783491730690002,0.024292128160595894,0.4845951497554779
ETTm1,720,0.5436493158340454,0.46068552136421204,0.5399312376976013,0.029067667201161385,0.43914514780044556
Weather,96,0.14271558821201324,0.2293546050786972,0.5610464811325073,0.01779468171298504,0.33153149485588074
Weather,192,0.23065657913684845,0.302406907081604,0.6652933359146118,0.033346667885780334,0.4200921356678009
Weather,336,0.22607870399951935,0.29777756333351135,0.6503515243530273,0.03895788639783859,0.4153093993663788
Weather,720,0.21231909096240997,0.2856411039829254,0.6593826413154602,0.030598092824220657,0.41374722123146057
