dataset,horizon,n_pairs,cosine_mean,cosine_std,cosine_min,cosine_max
ETTh2,96,1,0.08762858808040619,0.0,0.08762858808040619,0.08762858808040619
ETTh2,192,6,0.0682597854368699,0.0664760237997969,-0.031218403950333595,0.16081328690052032
ETTh2,336,21,-0.006694339969683261,0.0809314218344098,-0.1451391875743866,0.18191805481910706
ETTh2,720,105,0.04381776939567533,0.08345648613536619,-0.16381193697452545,0.24016793072223663
ETTm1,96,1,0.2213817834854126,0.0,0.2213817834854126,0.2213817834854126
ETTm1,192,6,0.05891617760062218,0.07935986308484759,-0.049849919974803925,0.18213814496994019
ETTm1,336,21,0.007412651043740057,0.09027817193724562,-0.2343490868806839,0.21341031789779663
ETTm1,720,105,0.05378280530705871,0.08372480007107305,-0.17083096504211426,0.2686692774295807
Weather,96,1,0.20610012114048004,0.0,0.20610012114048004,0.20610012114048004
Weather,192,6,0.18410379936297736,0.04659904713856324,0.12048499286174774,0.2724452316761017
Weather,336,21,0.08161102838459469,0.0870094007517675,-0.10805202275514603,0.2771521210670471
Weather,720,105,0.06628613084820764,0.08063912420737931,-0.15197525918483734,0.2721008360385895
