carrier,readout,comparison,macro_gain,positive_datasets,minimum_gain
neutral_raw,ridge,evs_interaction_vs_region_fixed,0.0018537619038280213,2,-0.00560873712069003
neutral_raw,ridge,evs_interaction_vs_history_global,-0.0002945324723315227,2,-0.001976365660277495
neutral_raw,ridge,evs_interaction_vs_additive_history_region,-0.0012424714536844658,2,-0.0033263030085524596
neutral_raw,ridge,evs_interaction_vs_permuted_history,0.002761950758873498,4,-0.003540442134239436
neutral_raw,ridge,oracle_vs_region_fixed,0.07639933157687742,5,0.06874163676242746
a6_natural,ridge,evs_interaction_vs_region_fixed,0.006576209195188561,3,-0.002973634356964015
a6_natural,ridge,evs_interaction_vs_history_global,0.0034684702415688244,3,-0.004613006178202715
a6_natural,ridge,evs_interaction_vs_additive_history_region,0.002209353427857371,4,-0.0038625045190849097
a6_natural,ridge,evs_interaction_vs_permuted_history,0.006075607782764553,5,0.00241065161000107
a6_natural,ridge,oracle_vs_region_fixed,0.10405269588864738,5,0.07582194944787621
neutral_raw,hist_gradient_boosting,evs_interaction_vs_region_fixed,0.006324700093490313,3,-0.013899268420953395
neutral_raw,hist_gradient_boosting,evs_interaction_vs_history_global,0.0007552941693679542,3,-0.005778528567682349
neutral_raw,hist_gradient_boosting,evs_interaction_vs_additive_history_region,0.0003473653298254234,4,-0.006940960972400535
neutral_raw,hist_gradient_boosting,evs_interaction_vs_permuted_history,0.006206402141210441,4,-0.010448729277824753
neutral_raw,hist_gradient_boosting,oracle_vs_region_fixed,0.07639933157687742,5,0.06874163676242746
a6_natural,hist_gradient_boosting,evs_interaction_vs_region_fixed,0.011546113410323362,3,-0.003567023497250598
a6_natural,hist_gradient_boosting,evs_interaction_vs_history_global,0.0017882958658971121,3,-0.002696529734659332
a6_natural,hist_gradient_boosting,evs_interaction_vs_additive_history_region,-6.895278660095467e-05,2,-0.0034086033763116707
a6_natural,hist_gradient_boosting,evs_interaction_vs_permuted_history,0.009894814485921779,5,0.002570611143198429
a6_natural,hist_gradient_boosting,oracle_vs_region_fixed,0.10405269588864738,5,0.07582194944787621
