carrier,dataset,readout,comparison,candidate_mse,control_mse,relative_gain
neutral_raw,ETTh1,ridge,evs_interaction_vs_global_fixed,0.4608289006532232,0.4617500374339215,0.0019948818755215524
neutral_raw,ETTh1,ridge,evs_interaction_vs_region_fixed,0.4608289006532232,0.4607575886619088,-0.00015477117050091395
neutral_raw,ETTh1,ridge,evs_interaction_vs_history_global,0.4608289006532232,0.45991993069571896,-0.001976365660277495
neutral_raw,ETTh1,ridge,evs_interaction_vs_additive_history_region,0.4608289006532232,0.4593011259361901,-0.0033263030085524596
neutral_raw,ETTh1,ridge,evs_interaction_vs_permuted_history,0.4608289006532232,0.4592031185840142,-0.003540442134239436
neutral_raw,ETTh1,ridge,oracle_vs_region_fixed,0.42208928197273965,0.4607575886619088,0.08392332028966948
neutral_raw,ETTh1,hist_gradient_boosting,evs_interaction_vs_global_fixed,0.44804071477374235,0.4617500374339215,0.029689922141351254
neutral_raw,ETTh1,hist_gradient_boosting,evs_interaction_vs_region_fixed,0.44804071477374235,0.4607575886619088,0.027599922825140354
neutral_raw,ETTh1,hist_gradient_boosting,evs_interaction_vs_history_global,0.44804071477374235,0.4502502588350581,0.004907368775384022
neutral_raw,ETTh1,hist_gradient_boosting,evs_interaction_vs_additive_history_region,0.44804071477374235,0.45042529602999365,0.005294066024419078
neutral_raw,ETTh1,hist_gradient_boosting,evs_interaction_vs_permuted_history,0.44804071477374235,0.4592711016376143,0.024452631188481
neutral_raw,ETTh1,hist_gradient_boosting,oracle_vs_region_fixed,0.42208928197273965,0.4607575886619088,0.08392332028966948
neutral_raw,ETTh2,ridge,evs_interaction_vs_global_fixed,0.4085483675376622,0.40959316531213974,0.0025508183801878433
neutral_raw,ETTh2,ridge,evs_interaction_vs_region_fixed,0.4085483675376622,0.41076451999861097,0.0053951895868617
neutral_raw,ETTh2,ridge,evs_interaction_vs_history_global,0.4085483675376622,0.40826499867122834,-0.000694080725401761
neutral_raw,ETTh2,ridge,evs_interaction_vs_additive_history_region,0.4085483675376622,0.4086527720484583,0.00025548465087542376
neutral_raw,ETTh2,ridge,evs_interaction_vs_permuted_history,0.4085483675376622,0.4108748606534789,0.00566229121956132
neutral_raw,ETTh2,ridge,oracle_vs_region_fixed,0.3815599401111569,0.41076451999861097,0.07109810722589385
neutral_raw,ETTh2,hist_gradient_boosting,evs_interaction_vs_global_fixed,0.4088419615991995,0.40959316531213974,0.001834024042778567
neutral_raw,ETTh2,hist_gradient_boosting,evs_interaction_vs_region_fixed,0.4088419615991995,0.41076451999861097,0.004680439292609713
neutral_raw,ETTh2,hist_gradient_boosting,evs_interaction_vs_history_global,0.4088419615991995,0.4094990647724842,0.0016046512185560072
neutral_raw,ETTh2,hist_gradient_boosting,evs_interaction_vs_additive_history_region,0.4088419615991995,0.4094093895017351,0.0013859669980363415
neutral_raw,ETTh2,hist_gradient_boosting,evs_interaction_vs_permuted_history,0.4088419615991995,0.4114665805040033,0.006378692776431389
neutral_raw,ETTh2,hist_gradient_boosting,oracle_vs_region_fixed,0.3815599401111569,0.41076451999861097,0.07109810722589385
neutral_raw,ETTm1,ridge,evs_interaction_vs_global_fixed,0.42083698435749284,0.42572927951715656,0.011491563759045052
neutral_raw,ETTm1,ridge,evs_interaction_vs_region_fixed,0.42083698435749284,0.4259302105432994,0.01195788901498635
neutral_raw,ETTm1,ridge,evs_interaction_vs_history_global,0.42083698435749284,0.42162475416647566,0.0018684145112404225
neutral_raw,ETTm1,ridge,evs_interaction_vs_additive_history_region,0.42083698435749284,0.42158276915751003,0.0017690115786932307
neutral_raw,ETTm1,ridge,evs_interaction_vs_permuted_history,0.42083698435749284,0.4232210646302121,0.005633179612178162
neutral_raw,ETTm1,ridge,oracle_vs_region_fixed,0.39665107072398764,0.4259302105432994,0.06874163676242746
neutral_raw,ETTm1,hist_gradient_boosting,evs_interaction_vs_global_fixed,0.4193669333445541,0.42572927951715656,0.014944582105835767
neutral_raw,ETTm1,hist_gradient_boosting,evs_interaction_vs_region_fixed,0.4193669333445541,0.4259302105432994,0.015409278412943343
neutral_raw,ETTm1,hist_gradient_boosting,evs_interaction_vs_history_global,0.4193669333445541,0.4192701405912317,-0.00023086011607200275
neutral_raw,ETTm1,hist_gradient_boosting,evs_interaction_vs_additive_history_region,0.4193669333445541,0.41960461041339275,0.0005664310232542255
