dataset,probe_row,future_step,future_region,split,scope_1_probability,scope_48_probability,scope_144_probability,scope_360_probability,scope_720_probability
ETTm1,113,1,1–48,validation,0.202164366841,0.201408222318,0.198106855154,0.197238117456,0.201082453132
ETTm1,113,2,1–48,validation,0.202163919806,0.201408192515,0.198107331991,0.197238355875,0.201082199812
ETTm1,113,3,1–48,validation,0.202163010836,0.20140811801,0.198108270764,0.197238847613,0.201081708074
ETTm1,113,4,1–48,validation,0.202161714435,0.201408043504,0.198109701276,0.197239607573,0.201080977917
ETTm1,113,5,1–48,validation,0.202159911394,0.201407909393,0.198111563921,0.197240576148,0.201079964638
ETTm1,113,6,1–48,validation,0.202157735825,0.201407760382,0.198113948107,0.197241842747,0.201078742743
ETTm1,113,7,1–48,validation,0.202155083418,0.201407566667,0.198116779327,0.197243332863,0.201077252626
ETTm1,113,8,1–48,validation,0.202151983976,0.201407343149,0.198120087385,0.197245076299,0.201075538993
ETTm1,113,9,1–48,validation,0.2021484375,0.201407074928,0.198123857379,0.197247058153,0.201073557138
ETTm1,113,10,1–48,validation,0.20214445889,0.201406762004,0.198128089309,0.197249293327,0.201071336865
ETTm1,113,11,1–48,validation,0.202140048146,0.20140644908,0.198132783175,0.197251796722,0.201068922877
ETTm1,113,12,1–48,validation,0.202135190368,0.20140607655,0.198137953877,0.197254568338,0.201066240668
ETTm1,113,13,1–48,validation,0.202129870653,0.201405644417,0.198143571615,0.197257548571,0.201063320041
ETTm1,113,14,1–48,validation,0.202124148607,0.201405227184,0.198149681091,0.197260811925,0.201060190797
ETTm1,113,15,1–48,validation,0.202117949724,0.201404690742,0.198156222701,0.1972643435,0.201056838036
ETTm1,113,16,1–48,validation,0.202111303806,0.201404169202,0.198163226247,0.197268098593,0.201053217053
ETTm1,113,17,1–48,validation,0.202104240656,0.201403543353,0.198170661926,0.197272151709,0.201049417257
ETTm1,113,18,1–48,validation,0.202096715569,0.201402902603,0.198178544641,0.197276428342,0.201045393944
ETTm1,113,19,1–48,validation,0.202088773251,0.20140221715,0.198186919093,0.197280973196,0.201041176915
ETTm1,113,20,1–48,validation,0.202080339193,0.201401412487,0.198195695877,0.197285786271,0.201036706567
ETTm1,113,21,1–48,validation,0.202071517706,0.201400637627,0.198204949498,0.197290882468,0.201032072306
ETTm1,113,22,1–48,validation,0.202062219381,0.201399743557,0.198214620352,0.197296217084,0.201027214527
ETTm1,113,23,1–48,validation,0.202052474022,0.201398789883,0.198224708438,0.197301834822,0.201022163033
ETTm1,113,24,1–48,validation,0.202042296529,0.201397761703,0.198235273361,0.197307735682,0.201016947627
ETTm1,113,25,1–48,validation,0.202031686902,0.201396688819,0.198246225715,0.197313889861,0.201011553407
ETTm1,113,26,1–48,validation,0.202020600438,0.201395511627,0.1982575804,0.197320312262,0.20100595057
ETTm1,113,27,1–48,validation,0.202009111643,0.201394289732,0.198269426823,0.197327032685,0.201000183821
ETTm1,113,28,1–48,validation,0.20199714601,0.201392963529,0.198281630874,0.197334006429,0.200994253159
ETTm1,113,29,1–48,validation,0.201984763145,0.201391533017,0.198294267058,0.197341278195,0.200988143682
ETTm1,113,30,1–48,validation,0.201971918344,0.201390042901,0.198307305574,0.197348833084,0.200981929898
ETTm1,113,31,1–48,validation,0.20195864141,0.201388448477,0.198320731521,0.197356671095,0.200975507498
ETTm1,113,32,1–48,validation,0.20194491744,0.201386764646,0.198334574699,0.197364792228,0.20096899569
ETTm1,113,33,1–48,validation,0.201930731535,0.201384961605,0.198348805308,0.197373181581,0.200962290168
ETTm1,113,34,1–48,validation,0.201916128397,0.201383084059,0.198363423347,0.19738188386,0.200955495238
ETTm1,113,35,1–48,validation,0.201901078224,0.2013810426,0.198378413916,0.197390884161,0.200948566198
ETTm1,113,36,1–48,validation,0.201885566115,0.201378926635,0.198393777013,0.197400167584,0.200941517949
ETTm1,113,37,1–48,validation,0.201869651675,0.201376691461,0.198409542441,0.197409749031,0.200934380293
ETTm1,113,38,1–48,validation,0.201853260398,0.201374322176,0.198425650597,0.197419628501,0.200927108526
ETTm1,113,39,1–48,validation,0.201836451888,0.201371833682,0.198442131281,0.197429835796,0.200919762254
ETTm1,113,40,1–48,validation,0.201819211245,0.201369225979,0.198458969593,0.197440326214,0.200912311673
ETTm1,113,41,1–48,validation,0.201801493764,0.201366439462,0.198476135731,0.197451114655,0.200904801488
ETTm1,113,42,1–48,validation,0.201783359051,0.201363548636,0.198493659496,0.197462230921,0.200897186995
ETTm1,113,43,1–48,validation,0.201764777303,0.201360493898,0.198511511087,0.197473660111,0.200889512897
ETTm1,113,44,1–48,validation,0.201745778322,0.201357319951,0.198529735208,0.197485387325,0.200881808996
ETTm1,113,45,1–48,validation,0.201726317406,0.201353952289,0.198548227549,0.197497427464,0.20087403059
ETTm1,113,46,1–48,validation,0.201706439257,0.201350465417,0.198567062616,0.197509780526,0.20086620748
ETTm1,113,47,1–48,validation,0.201686114073,0.20134678483,0.19858622551,0.197522491217,0.200858339667
ETTm1,113,48,1–48,validation,0.201665356755,0.201342955232,0.198605686426,0.197535514832,0.200850471854
ETTm1,113,49,49–96,validation,0.201644197106,0.20133896172,0.198625460267,0.197548851371,0.200842574239
ETTm1,113,50,49–96,validation,0.201622575521,0.201334759593,0.19864551723,0.197562515736,0.200834661722
ETTm1,113,51,49–96,validation,0.201600521803,0.201330378652,0.198665872216,0.197576507926,0.200826719403
ETTm1,113,52,49–96,validation,0.201578050852,0.201325848699,0.198686510324,0.197590857744,0.200818821788
ETTm1,113,53,49–96,validation,0.201555132866,0.201321095228,0.198707386851,0.197605505586,0.200810864568
ETTm1,113,54,49–96,validation,0.201531812549,0.201316133142,0.198728576303,0.197620511055,0.200802981853
ETTm1,113,55,49–96,validation,0.201508060098,0.201310992241,0.198750004172,0.19763584435,0.200795084238
ETTm1,113,56,49–96,validation,0.201483890414,0.201305642724,0.198771700263,0.197651520371,0.200787261128
ETTm1,113,57,49–96,validation,0.201459318399,0.201300114393,0.198793649673,0.19766753912,0.20077945292
ETTm1,113,58,49–96,validation,0.20143429935,0.201294332743,0.198815822601,0.197683885694,0.200771659613
ETTm1,113,59,49–96,validation,0.201408863068,0.201288342476,0.198838233948,0.197700589895,0.200763955712
ETTm1,113,60,49–96,validation,0.201383024454,0.201282128692,0.198860868812,0.197717621922,0.200756281614
ETTm1,113,61,49–96,validation,0.20135679841,0.201275721192,0.198883771896,0.19773504138,0.200748726726
ETTm1,113,62,49–96,validation,0.201330125332,0.201269045472,0.198906853795,0.197752758861,0.200741186738
ETTm1,113,63,49–96,validation,0.201303064823,0.201262146235,0.198930129409,0.197770878673,0.200733751059
