dataset,probe_row,future_region,start_step,end_step,dominant_scope,dominant_probability,split,scope_1_mean_probability,scope_48_mean_probability,scope_144_mean_probability,scope_360_mean_probability,scope_720_mean_probability
ETTm1,113,1–48,1,48,1,0.201994546068,validation,0.201994546068,0.201389886439,0.198281083256,0.197337111769,0.200997372158
ETTm1,113,49–96,49,96,48,0.201159038581,validation,0.200991188486,0.201159038581,0.199173846903,0.197994193683,0.200681744764
ETTm1,113,97–144,97,144,720,0.200598051772,validation,0.199215295104,0.20039498123,0.200402442676,0.199389227356,0.200598051772
ETTm1,113,145–192,145,192,144,0.201465828344,validation,0.197364648494,0.199273625699,0.201465828344,0.201112990268,0.200782909368
ETTm1,113,193–288,193,288,360,0.202407204701,validation,0.196225085761,0.198583497666,0.202406034339,0.202407204701,0.200378176446
ETTm1,113,289–336,289,336,144,0.20279342588,validation,0.197435932234,0.199863338222,0.20279342588,0.201371576327,0.198535732304
ETTm1,113,337–512,337,512,48,0.202929388054,validation,0.201510406353,0.202929388054,0.202127306553,0.197878303091,0.195554600351
ETTm1,113,513–720,513,720,720,0.205942883443,validation,0.194319824688,0.196158648827,0.199662066136,0.203916577407,0.205942883443
