model,strategy,horizon,baseline_model,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,96,PatchEncoderR3PrefixRisk,3,0,0.0,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,192,PatchEncoderR3PrefixRisk,3,0,0.0,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,336,PatchEncoderR3PrefixRisk,3,0,0.0,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,720,PatchEncoderR3PrefixRisk,3,0,0.0,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,96,PatchEncoderR3PrefixRisk,3,0,8.116813495241203,5.186729442078075
PatchEncoderFullTimeMSE720,D0_full_time_mse,192,PatchEncoderR3PrefixRisk,3,0,5.160636473284981,3.1612686853685825
PatchEncoderFullTimeMSE720,D0_full_time_mse,336,PatchEncoderR3PrefixRisk,3,0,4.043503874275005,2.369094028033669
PatchEncoderFullTimeMSE720,D0_full_time_mse,720,PatchEncoderR3PrefixRisk,3,0,3.1631042241373697,1.9745606636407527
PatchEncoderRandomFutureMask,D2_random_future_mask,96,PatchEncoderR3PrefixRisk,3,0,6.860500151150347,5.395087364492627
PatchEncoderRandomFutureMask,D2_random_future_mask,192,PatchEncoderR3PrefixRisk,3,0,3.7243843701071735,2.936603701357806
PatchEncoderRandomFutureMask,D2_random_future_mask,336,PatchEncoderR3PrefixRisk,3,0,2.1499207798171494,1.809768137374812
PatchEncoderRandomFutureMask,D2_random_future_mask,720,PatchEncoderR3PrefixRisk,3,1,1.3009666535987046,1.424245949939788
PatchEncoderIntervalSupervision,D3_interval_supervision,96,PatchEncoderR3PrefixRisk,3,0,7.652247475288691,5.866766371887774
PatchEncoderIntervalSupervision,D3_interval_supervision,192,PatchEncoderR3PrefixRisk,3,1,4.293888640036259,3.1307993095368802
PatchEncoderIntervalSupervision,D3_interval_supervision,336,PatchEncoderR3PrefixRisk,3,0,3.3622114124925475,2.2317128920553855
PatchEncoderIntervalSupervision,D3_interval_supervision,720,PatchEncoderR3PrefixRisk,3,1,1.1761160797352899,1.1456520774547396
PatchEncoderComponentTop,D4_component_basis_top,96,PatchEncoderR3PrefixRisk,3,0,6.541707950325344,4.098887630525749
PatchEncoderComponentTop,D4_component_basis_top,192,PatchEncoderR3PrefixRisk,3,0,4.738645964719239,2.7413946029716327
PatchEncoderComponentTop,D4_component_basis_top,336,PatchEncoderR3PrefixRisk,3,0,3.266468882649328,1.9938373666899656
PatchEncoderComponentTop,D4_component_basis_top,720,PatchEncoderR3PrefixRisk,3,0,2.945803535775456,2.021312505105762
PatchEncoderComponentBalanced,D5_component_basis_balanced,96,PatchEncoderR3PrefixRisk,3,0,6.029004691464035,4.049077989640404
PatchEncoderComponentBalanced,D5_component_basis_balanced,192,PatchEncoderR3PrefixRisk,3,0,4.22377509208091,2.6819516601477154
PatchEncoderComponentBalanced,D5_component_basis_balanced,336,PatchEncoderR3PrefixRisk,3,0,2.827614182489898,1.9255112431894854
PatchEncoderComponentBalanced,D5_component_basis_balanced,720,PatchEncoderR3PrefixRisk,3,0,2.5572930156747553,1.930852161087615
PatchEncoderCurriculumUnits,D6_curriculum_units,96,PatchEncoderR3PrefixRisk,3,0,6.541707950325344,4.098887630525749
PatchEncoderCurriculumUnits,D6_curriculum_units,192,PatchEncoderR3PrefixRisk,3,0,4.738645964719239,2.7413946029716327
PatchEncoderCurriculumUnits,D6_curriculum_units,336,PatchEncoderR3PrefixRisk,3,0,3.266468882649328,1.9938373666899656
PatchEncoderCurriculumUnits,D6_curriculum_units,720,PatchEncoderR3PrefixRisk,3,0,2.945803535775456,2.021312505105762
