model,strategy,dataset,target_horizon,segment,mse,mae,baseline_model,baseline_mse,relative_mse_pct,mse_win
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,96,1-96,0.30479592084884644,0.35886070132255554,PatchEncoderR3PrefixRisk,0.30479592084884644,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,1-96,0.2497519701719284,0.3200547695159912,PatchEncoderR3PrefixRisk,0.2497519701719284,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,97-192,0.33811911940574646,0.386177659034729,PatchEncoderR3PrefixRisk,0.33811911940574646,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,193-336,0.36967068910598755,0.41950738430023193,PatchEncoderR3PrefixRisk,0.36967068910598755,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,337-720,0.4840433597564697,0.4898116886615753,PatchEncoderR3PrefixRisk,0.4840433597564697,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,96,1-96,0.2986849546432495,0.35228273272514343,PatchEncoderR3PrefixRisk,0.2986849546432495,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,1-96,0.2841739356517792,0.3501632809638977,PatchEncoderR3PrefixRisk,0.2841739356517792,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,97-192,0.3520488142967224,0.3932366371154785,PatchEncoderR3PrefixRisk,0.3520488142967224,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,193-336,0.40565091371536255,0.42062100768089294,PatchEncoderR3PrefixRisk,0.40565091371536255,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,337-720,0.4712492525577545,0.4518813490867615,PatchEncoderR3PrefixRisk,0.4712492525577545,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,96,1-96,0.14802636206150055,0.19702932238578796,PatchEncoderR3PrefixRisk,0.14802636206150055,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,1-96,0.14746259152889252,0.1975940763950348,PatchEncoderR3PrefixRisk,0.14746259152889252,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,97-192,0.2326873242855072,0.2828315794467926,PatchEncoderR3PrefixRisk,0.2326873242855072,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,193-336,0.3130928874015808,0.3351799249649048,PatchEncoderR3PrefixRisk,0.3130928874015808,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,337-720,0.3891408443450928,0.3799934387207031,PatchEncoderR3PrefixRisk,0.3891408443450928,0.0,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,96,1-96,0.3393581807613373,0.3825231194496155,PatchEncoderR3PrefixRisk,0.30479592084884644,11.339475874951388,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,1-96,0.2677626609802246,0.3334573209285736,PatchEncoderR3PrefixRisk,0.2497519701719284,7.211430923206619,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,97-192,0.34515154361724854,0.39188912510871887,PatchEncoderR3PrefixRisk,0.33811911940574646,2.0798658839114914,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,193-336,0.3720743954181671,0.42428138852119446,PatchEncoderR3PrefixRisk,0.36967068910598755,0.6502290776671193,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,337-720,0.49324503540992737,0.5007806420326233,PatchEncoderR3PrefixRisk,0.4840433597564697,1.9010023519560715,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,96,1-96,0.3240792751312256,0.36998727917671204,PatchEncoderR3PrefixRisk,0.2986849546432495,8.502042065797099,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,1-96,0.31378740072250366,0.36879825592041016,PatchEncoderR3PrefixRisk,0.2841739356517792,10.420894162162785,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,97-192,0.366832435131073,0.4022101163864136,PatchEncoderR3PrefixRisk,0.3520488142967224,4.199309934868944,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,193-336,0.41655418276786804,0.4260497987270355,PatchEncoderR3PrefixRisk,0.40565091371536255,2.687845308332304,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,337-720,0.47066837549209595,0.4540010392665863,PatchEncoderR3PrefixRisk,0.4712492525577545,-0.12326323331142142,True
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,96,1-96,0.15470075607299805,0.204793781042099,PatchEncoderR3PrefixRisk,0.14802636206150055,4.508922544975125,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,1-96,0.15296243131160736,0.20479021966457367,PatchEncoderR3PrefixRisk,0.14746259152889252,3.729650839370513,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,97-192,0.24120700359344482,0.2874808609485626,PatchEncoderR3PrefixRisk,0.2326873242855072,3.6614281994510334,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,193-336,0.32862523198127747,0.34143078327178955,PatchEncoderR3PrefixRisk,0.3130928874015808,4.960938176718943,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,337-720,0.4128761291503906,0.38973480463027954,PatchEncoderR3PrefixRisk,0.3891408443450928,6.099407232680321,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,96,1-96,0.3293387293815613,0.3772241175174713,PatchEncoderR3PrefixRisk,0.30479592084884644,8.052210300047303,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,1-96,0.26462793350219727,0.3317621648311615,PatchEncoderR3PrefixRisk,0.2497519701719284,5.956294687096286,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,97-192,0.34449973702430725,0.39102619886398315,PatchEncoderR3PrefixRisk,0.33811911940574646,1.8870916349761346,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,193-336,0.36808788776397705,0.4197637438774109,PatchEncoderR3PrefixRisk,0.36967068910598755,-0.42816522614718133,True
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,337-720,0.4920293688774109,0.4996325373649597,PatchEncoderR3PrefixRisk,0.4840433597564697,1.649854080212787,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,96,1-96,0.32095444202423096,0.36792057752609253,PatchEncoderR3PrefixRisk,0.2986849546432495,7.455845041669473,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,1-96,0.31151083111763,0.36674749851226807,PatchEncoderR3PrefixRisk,0.2841739356517792,9.619775790890571,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,97-192,0.36180391907691956,0.39841148257255554,PatchEncoderR3PrefixRisk,0.3520488142967224,2.770952317985964,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,193-336,0.4063204824924469,0.42094361782073975,PatchEncoderR3PrefixRisk,0.40565091371536255,0.16506033992422786,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,337-720,0.45716413855552673,0.44868743419647217,PatchEncoderR3PrefixRisk,0.4712492525577545,-2.9888883485287954,True
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,96,1-96,0.15553639829158783,0.21009062230587006,PatchEncoderR3PrefixRisk,0.14802636206150055,5.073445111734265,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,1-96,0.15403476357460022,0.21013958752155304,PatchEncoderR3PrefixRisk,0.14746259152889252,4.456840190835787,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,97-192,0.23792362213134766,0.2887461483478546,PatchEncoderR3PrefixRisk,0.2326873242855072,2.250358012375231,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,193-336,0.32018178701400757,0.3413003385066986,PatchEncoderR3PrefixRisk,0.3130928874015808,2.2641522365004496,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,337-720,0.40058448910713196,0.3872808814048767,PatchEncoderR3PrefixRisk,0.3891408443450928,2.940746243509418,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,96,1-96,0.3099328875541687,0.36720460653305054,PatchEncoderR3PrefixRisk,0.30479592084884644,1.6853790861163676,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,1-96,0.263223260641098,0.3363736867904663,PatchEncoderR3PrefixRisk,0.2497519701719284,5.393867547829956,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,97-192,0.3409213423728943,0.388774573802948,PatchEncoderR3PrefixRisk,0.33811911940574646,0.8287679714985785,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,193-336,0.3664858639240265,0.4172208905220032,PatchEncoderR3PrefixRisk,0.36967068910598755,-0.8615303500700167,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,337-720,0.47042396664619446,0.4856882691383362,PatchEncoderR3PrefixRisk,0.4840433597564697,-2.81367212993634,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,96,1-96,0.3301691710948944,0.37395066022872925,PatchEncoderR3PrefixRisk,0.2986849546432495,10.54094488597519,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,1-96,0.3210800290107727,0.3727966547012329,PatchEncoderR3PrefixRisk,0.2841739356517792,12.98714932259568,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,97-192,0.37015461921691895,0.4027808606624603,PatchEncoderR3PrefixRisk,0.3520488142967224,5.142981366480659,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,193-336,0.41117551922798157,0.4247083365917206,PatchEncoderR3PrefixRisk,0.40565091371536255,1.361911270461369,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,337-720,0.45916011929512024,0.45003485679626465,PatchEncoderR3PrefixRisk,0.4712492525577545,-2.5653373871723395,True
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,96,1-96,0.16391021013259888,0.21500720083713531,PatchEncoderR3PrefixRisk,0.14802636206150055,10.730418453774515,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,720,1-96,0.16180071234703064,0.2150251418352127,PatchEncoderR3PrefixRisk,0.14746259152889252,9.723225849675131,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,720,97-192,0.24453920125961304,0.2910049855709076,PatchEncoderR3PrefixRisk,0.2326873242855072,5.093477700385418,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,720,193-336,0.3256203532218933,0.3415786623954773,PatchEncoderR3PrefixRisk,0.3130928874015808,4.001197831186909,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,720,337-720,0.40464872121810913,0.3868107497692108,PatchEncoderR3PrefixRisk,0.3891408443450928,3.9851578415304623,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,96,1-96,0.3257633447647095,0.37105199694633484,PatchEncoderR3PrefixRisk,0.30479592084884644,6.879168152076787,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,720,1-96,0.2616508901119232,0.32816699147224426,PatchEncoderR3PrefixRisk,0.2497519701719284,4.764294724803819,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,720,97-192,0.34656065702438354,0.39214029908180237,PatchEncoderR3PrefixRisk,0.33811911940574646,2.4966164686200942,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,720,193-336,0.3699650168418884,0.4222896099090576,PatchEncoderR3PrefixRisk,0.36967068910598755,0.0796188998951175,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,720,337-720,0.4998193383216858,0.5039951205253601,PatchEncoderR3PrefixRisk,0.4840433597564697,3.2592077232818983,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,96,1-96,0.3260294198989868,0.3722500503063202,PatchEncoderR3PrefixRisk,0.2986849546432495,9.154952343815781,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,720,1-96,0.31403648853302,0.3704546093940735,PatchEncoderR3PrefixRisk,0.2841739356517792,10.508547454483574,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,720,97-192,0.37118738889694214,0.4043262004852295,PatchEncoderR3PrefixRisk,0.3520488142967224,5.43634116150975,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,720,193-336,0.4166436195373535,0.4277755618095398,PatchEncoderR3PrefixRisk,0.40565091371536255,2.7098930263236953,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,720,337-720,0.4653394818305969,0.45420899987220764,PatchEncoderR3PrefixRisk,0.4712492525577545,-1.2540647428259444,True
PatchEncoderComponentTop,D4_component_basis_top,Weather,96,1-96,0.15334199368953705,0.2033962458372116,PatchEncoderR3PrefixRisk,0.14802636206150055,3.5910033550834664,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,720,1-96,0.1523027867078781,0.2037428617477417,PatchEncoderR3PrefixRisk,0.14746259152889252,3.282320708460662,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,720,97-192,0.23899446427822113,0.2857978045940399,PatchEncoderR3PrefixRisk,0.2326873242855072,2.71056449339504,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,720,193-336,0.3258058726787567,0.3407321274280548,PatchEncoderR3PrefixRisk,0.3130928874015808,4.060451638708074,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,720,337-720,0.4103146195411682,0.3892248570919037,PatchEncoderR3PrefixRisk,0.3891408443450928,5.441159802104556,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,96,1-96,0.3229062557220459,0.3705160915851593,PatchEncoderR3PrefixRisk,0.30479592084884644,5.941790435634031,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,720,1-96,0.25966107845306396,0.32839006185531616,PatchEncoderR3PrefixRisk,0.2497519701719284,3.9675796248230366,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,720,97-192,0.34325340390205383,0.3910994529724121,PatchEncoderR3PrefixRisk,0.33811911940574646,1.5184839311456422,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,720,193-336,0.3675757646560669,0.4214523732662201,PatchEncoderR3PrefixRisk,0.36967068910598755,-0.566700177118995,True
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,720,337-720,0.4982825815677643,0.5034990906715393,PatchEncoderR3PrefixRisk,0.4840433597564697,2.941724439409432,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,96,1-96,0.32498449087142944,0.37156009674072266,PatchEncoderR3PrefixRisk,0.2986849546432495,8.805109135675139,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,720,1-96,0.3125300109386444,0.36959391832351685,PatchEncoderR3PrefixRisk,0.2841739356517792,9.978422272200294,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,720,97-192,0.37123188376426697,0.40429243445396423,PatchEncoderR3PrefixRisk,0.3520488142967224,5.448979996102543,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,720,193-336,0.4163334369659424,0.42726942896842957,PatchEncoderR3PrefixRisk,0.40565091371536255,2.6334276318370486,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,720,337-720,0.4645039141178131,0.4534740447998047,PatchEncoderR3PrefixRisk,0.4712492525577545,-1.4313738225218087,True
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,96,1-96,0.15297061204910278,0.20378194749355316,PatchEncoderR3PrefixRisk,0.14802636206150055,3.340114503082936,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,720,1-96,0.15192382037639618,0.20419512689113617,PatchEncoderR3PrefixRisk,0.14746259152889252,3.025329204681415,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,720,97-192,0.2387823760509491,0.28657326102256775,PatchEncoderR3PrefixRisk,0.2326873242855072,2.619417187488593,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,720,193-336,0.32463133335113525,0.34104862809181213,PatchEncoderR3PrefixRisk,0.3130928874015808,3.6853107859824874,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,720,337-720,0.4078405201435089,0.3887750208377838,PatchEncoderR3PrefixRisk,0.3891408443450928,4.805374730038148,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,96,1-96,0.3257633447647095,0.37105199694633484,PatchEncoderR3PrefixRisk,0.30479592084884644,6.879168152076787,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,720,1-96,0.2616508901119232,0.32816699147224426,PatchEncoderR3PrefixRisk,0.2497519701719284,4.764294724803819,False
