model,strategy,dataset,horizon,segment,segment_start,segment_end,future_region,mse,mae,baseline_model,baseline_mse,baseline_mae,r3_residual_bucket,relative_mse_pct,relative_mae_pct,mse_win
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,96,1-96,1,96,early_1_96,0.30479592084884644,0.35886070132255554,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,192,1-96,1,96,early_1_96,0.30273088812828064,0.35670754313468933,PatchEncoderR3PrefixRisk,0.30273088812828064,0.35670754313468933,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,192,97-192,97,192,middle_97_336,0.4353557229042053,0.4440152645111084,PatchEncoderR3PrefixRisk,0.4353557229042053,0.4440152645111084,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,336,1-96,1,96,early_1_96,0.27497684955596924,0.3399970233440399,PatchEncoderR3PrefixRisk,0.27497684955596924,0.3399970233440399,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,336,97-192,97,192,middle_97_336,0.3836177885532379,0.4158962666988373,PatchEncoderR3PrefixRisk,0.3836177885532379,0.4158962666988373,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,336,193-336,193,336,middle_97_336,0.4543939232826233,0.4657894968986511,PatchEncoderR3PrefixRisk,0.4543939232826233,0.4657894968986511,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,1-96,1,96,early_1_96,0.2497519701719284,0.3200547695159912,PatchEncoderR3PrefixRisk,0.2497519701719284,0.3200547695159912,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,97-192,97,192,middle_97_336,0.33811911940574646,0.386177659034729,PatchEncoderR3PrefixRisk,0.33811911940574646,0.386177659034729,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,193-336,193,336,middle_97_336,0.36967068910598755,0.41950738430023193,PatchEncoderR3PrefixRisk,0.36967068910598755,0.41950738430023193,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,337-720,337,720,late_337_720,0.4840433597564697,0.4898116886615753,PatchEncoderR3PrefixRisk,0.4840433597564697,0.4898116886615753,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,96,1-96,1,96,early_1_96,0.2986849546432495,0.35228273272514343,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,192,1-96,1,96,early_1_96,0.2984122335910797,0.35257115960121155,PatchEncoderR3PrefixRisk,0.2984122335910797,0.35257115960121155,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,192,97-192,97,192,middle_97_336,0.3609120845794678,0.3935297429561615,PatchEncoderR3PrefixRisk,0.3609120845794678,0.3935297429561615,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,336,1-96,1,96,early_1_96,0.2952735424041748,0.3523743450641632,PatchEncoderR3PrefixRisk,0.2952735424041748,0.3523743450641632,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,336,97-192,97,192,middle_97_336,0.35754311084747314,0.39348411560058594,PatchEncoderR3PrefixRisk,0.35754311084747314,0.39348411560058594,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,336,193-336,193,336,middle_97_336,0.4064895808696747,0.4184590280056,PatchEncoderR3PrefixRisk,0.4064895808696747,0.4184590280056,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,1-96,1,96,early_1_96,0.2841739356517792,0.3501632809638977,PatchEncoderR3PrefixRisk,0.2841739356517792,0.3501632809638977,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,97-192,97,192,middle_97_336,0.3520488142967224,0.3932366371154785,PatchEncoderR3PrefixRisk,0.3520488142967224,0.3932366371154785,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,193-336,193,336,middle_97_336,0.40565091371536255,0.42062100768089294,PatchEncoderR3PrefixRisk,0.40565091371536255,0.42062100768089294,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,337-720,337,720,late_337_720,0.4712492525577545,0.4518813490867615,PatchEncoderR3PrefixRisk,0.4712492525577545,0.4518813490867615,high_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,96,1-96,1,96,early_1_96,0.14802636206150055,0.19702932238578796,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,192,1-96,1,96,early_1_96,0.14898328483104706,0.1976671665906906,PatchEncoderR3PrefixRisk,0.14898328483104706,0.1976671665906906,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,192,97-192,97,192,middle_97_336,0.23583491146564484,0.2821427881717682,PatchEncoderR3PrefixRisk,0.23583491146564484,0.2821427881717682,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,336,1-96,1,96,early_1_96,0.15019100904464722,0.19839726388454437,PatchEncoderR3PrefixRisk,0.15019100904464722,0.19839726388454437,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,336,97-192,97,192,middle_97_336,0.23710891604423523,0.28319600224494934,PatchEncoderR3PrefixRisk,0.23710891604423523,0.28319600224494934,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,336,193-336,193,336,middle_97_336,0.31298476457595825,0.33328187465667725,PatchEncoderR3PrefixRisk,0.31298476457595825,0.33328187465667725,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,1-96,1,96,early_1_96,0.14746259152889252,0.1975940763950348,PatchEncoderR3PrefixRisk,0.14746259152889252,0.1975940763950348,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,97-192,97,192,middle_97_336,0.2326873242855072,0.2828315794467926,PatchEncoderR3PrefixRisk,0.2326873242855072,0.2828315794467926,low_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,193-336,193,336,middle_97_336,0.3130928874015808,0.3351799249649048,PatchEncoderR3PrefixRisk,0.3130928874015808,0.3351799249649048,mid_r3_residual,0.0,0.0,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,337-720,337,720,late_337_720,0.3891408443450928,0.3799934387207031,PatchEncoderR3PrefixRisk,0.3891408443450928,0.3799934387207031,high_r3_residual,0.0,0.0,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,96,1-96,1,96,early_1_96,0.3393581807613373,0.3825231194496155,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,mid_r3_residual,11.339475874951388,6.5937613229461345,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,192,1-96,1,96,early_1_96,0.3345992863178253,0.37814587354660034,PatchEncoderR3PrefixRisk,0.30273088812828064,0.35670754313468933,mid_r3_residual,10.52697277987722,6.010058050220746,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,192,97-192,97,192,middle_97_336,0.44287991523742676,0.44843849539756775,PatchEncoderR3PrefixRisk,0.4353557229042053,0.4440152645111084,high_r3_residual,1.7282860744378015,0.9961889241194566,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,336,1-96,1,96,early_1_96,0.29967692494392395,0.3584127724170685,PatchEncoderR3PrefixRisk,0.27497684955596924,0.3399970233440399,low_r3_residual,8.982601781873711,5.416444206452309,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,336,97-192,97,192,middle_97_336,0.3950093984603882,0.4228722155094147,PatchEncoderR3PrefixRisk,0.3836177885532379,0.4158962666988373,high_r3_residual,2.9695207696473602,1.6773290286899556,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,336,193-336,193,336,middle_97_336,0.4574902653694153,0.47024375200271606,PatchEncoderR3PrefixRisk,0.4543939232826233,0.4657894968986511,high_r3_residual,0.6814224240552003,0.9562807091449077,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,1-96,1,96,early_1_96,0.2677626609802246,0.3334573209285736,PatchEncoderR3PrefixRisk,0.2497519701719284,0.3200547695159912,low_r3_residual,7.211430923206619,4.1875805921751,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,97-192,97,192,middle_97_336,0.34515154361724854,0.39188912510871887,PatchEncoderR3PrefixRisk,0.33811911940574646,0.386177659034729,mid_r3_residual,2.0798658839114914,1.4789737159487615,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,193-336,193,336,middle_97_336,0.3720743954181671,0.42428138852119446,PatchEncoderR3PrefixRisk,0.36967068910598755,0.41950738430023193,high_r3_residual,0.6502290776671193,1.1380024284735502,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,337-720,337,720,late_337_720,0.49324503540992737,0.5007806420326233,PatchEncoderR3PrefixRisk,0.4840433597564697,0.4898116886615753,high_r3_residual,1.9010023519560715,2.2394225423694847,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,96,1-96,1,96,early_1_96,0.3240792751312256,0.36998727917671204,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,mid_r3_residual,8.502042065797099,5.025663992842344,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,192,1-96,1,96,early_1_96,0.32301580905914307,0.3701190948486328,PatchEncoderR3PrefixRisk,0.2984122335910797,0.35257115960121155,mid_r3_residual,8.244828025977702,4.977132919002658,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,192,97-192,97,192,middle_97_336,0.37476223707199097,0.4027749300003052,PatchEncoderR3PrefixRisk,0.3609120845794678,0.3935297429561615,high_r3_residual,3.8375419068223504,2.3492981685944825,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,336,1-96,1,96,early_1_96,0.31977444887161255,0.3699258267879486,PatchEncoderR3PrefixRisk,0.2952735424041748,0.3523743450641632,mid_r3_residual,8.297697879717415,4.98091928928297,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,336,97-192,97,192,middle_97_336,0.3711114525794983,0.4025235176086426,PatchEncoderR3PrefixRisk,0.35754311084747314,0.39348411560058594,mid_r3_residual,3.7948827205380953,2.2972724055860594,False
