model,strategy,r3_residual_bucket,segments,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
PatchEncoderFullTimeMSE720,D0_full_time_mse,high_r3_residual,10,1,2.278966897836132,1.506874968940688
PatchEncoderFullTimeMSE720,D0_full_time_mse,low_r3_residual,10,0,5.600639825189586,3.5635539524676396
PatchEncoderFullTimeMSE720,D0_full_time_mse,mid_r3_residual,10,0,6.73322407236274,3.7477865264521038
PatchEncoderRandomFutureMask,D2_random_future_mask,high_r3_residual,10,4,0.45458696129288323,0.52641187384738
PatchEncoderRandomFutureMask,D2_random_future_mask,low_r3_residual,10,0,4.855485802317651,4.496715902764297
PatchEncoderRandomFutureMask,D2_random_future_mask,mid_r3_residual,10,0,4.86276603334604,3.0259131750632196
PatchEncoderIntervalSupervision,D3_interval_supervision,high_r3_residual,10,5,0.04834384696497329,0.1767395915323111
PatchEncoderIntervalSupervision,D3_interval_supervision,low_r3_residual,10,0,7.897687612329083,5.918031674961444
PatchEncoderIntervalSupervision,D3_interval_supervision,mid_r3_residual,10,0,5.2307249077968665,3.175126901098384
PatchEncoderComponentTop,D4_component_basis_top,high_r3_residual,10,2,2.1274714866790365,1.5170221743544765
PatchEncoderComponentTop,D4_component_basis_top,low_r3_residual,10,0,4.377639917330147,2.7532042164444825
PatchEncoderComponentTop,D4_component_basis_top,mid_r3_residual,10,0,6.147236249420356,3.3975192910415575
PatchEncoderComponentBalanced,D5_component_basis_balanced,high_r3_residual,10,3,1.6078715061299065,1.333024934854874
PatchEncoderComponentBalanced,D5_component_basis_balanced,low_r3_residual,10,0,4.021025741067262,2.8872994480619085
PatchEncoderComponentBalanced,D5_component_basis_balanced,mid_r3_residual,10,0,5.67336778839354,3.2922236017647766
PatchEncoderCurriculumUnits,D6_curriculum_units,high_r3_residual,10,2,2.1274714866790365,1.5170221743544765
PatchEncoderCurriculumUnits,D6_curriculum_units,low_r3_residual,10,0,4.377639917330147,2.7532042164444825
PatchEncoderCurriculumUnits,D6_curriculum_units,mid_r3_residual,10,0,6.147236249420356,3.3975192910415575
