epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h96_l1
1,141,0.4117015672068224,0.31764783557002424,0.31764783557002424,0.046897307844132395,0.47156425930084067,0.046897307844132395,0.04715642593008407,full,off,1,32,96,0.16492256533820182,0.0005,2.5439834594726562,0,3,0.0,1,0,0,0.31764783557002424
2,141,0.304763192509083,0.23824775187259026,0.23824775187259026,0.02298641359393901,0.4352902774269699,0.02298641359393901,0.04352902774269699,full,off,1,32,96,0.15769301686668769,0.0004877641290737884,2.0831058025360107,0,3,0.0,2,0,0,0.23824775187259026
3,141,0.28349820899625194,0.22546899244717672,0.22546899244717672,0.0155391191522069,0.4249009817627305,0.0155391191522069,0.042490098176273056,full,off,1,32,96,0.1500770889785296,0.0004522542485937369,2.1130712032318115,0,3,0.0,3,0,0,0.22546899244717672
4,141,0.27392272133353757,0.22032145754242619,0.22032145754242619,0.011582457566145041,0.4201880545480877,0.011582457566145041,0.04201880545480877,full,off,1,32,96,0.14638579805614427,0.0003969463130731183,2.0367588996887207,0,3,0.0,4,0,0,0.22032145754242619
5,141,0.26660932315156816,0.21629063330643566,0.21629063330643566,0.008552728078810247,0.4176596227689838,0.008552728078810247,0.04176596227689838,full,off,1,32,96,0.14871619150896245,0.00032725424859373687,1.95383882522583,0,3,0.0,4,1,0,0.21629063330643566
6,141,0.26173603143675106,0.213568869423359,0.213568869423359,0.006512217497756929,0.4165494566690837,0.006512217497756929,0.041654945666908375,full,off,1,32,96,0.1487748589036831,0.00025,1.9012281894683838,0,3,0.0,4,2,0,0.213568869423359
7,141,0.25895139046594606,0.21204762911120206,0.21204762911120206,0.005357554004071874,0.4154620794117028,0.005357554004071874,0.04154620794117028,full,off,1,32,96,0.15075926816401383,0.00017274575140626317,1.8528540134429932,0,3,0.0,4,3,0,0.21204762911120206
8,141,0.2567612408323491,0.21060806079536465,0.21060806079536465,0.00470442626070469,0.4144875354377936,0.00470442626070469,0.04144875354377936,full,off,1,32,96,0.14999947298201732,0.00010305368692688174,1.8374838829040527,0,3,0.0,4,4,0,0.21060806079536465
9,141,0.2552791324490351,0.20954131784168542,0.20954131784168542,0.00435695234778608,0.4138086167633111,0.00435695234778608,0.041380861676331114,full,off,1,32,96,0.1500724653888028,4.7745751406263163e-05,1.8375606536865234,0,3,0.0,4,5,0,0.20954131784168542
10,141,0.2546419210679142,0.20908244968728817,0.20908244968728817,0.004213542783144095,0.4134592878903058,0.004213542783144095,0.04134592878903058,full,off,1,32,96,0.15211305168728964,1.2235870926211617e-05,1.9499351978302002,0,3,0.0,4,6,0,0.20908244968728817
