epoch,steps,train_loss,validation_loss
1,2109,0.4784213,0.9750503
2,2109,0.4520925,0.976237
3,2109,0.444406,0.9788095
4,2109,0.439367,0.9846003
5,2109,0.4334115,0.9554701
6,2109,0.4258302,0.964151
7,2109,0.4174309,0.9634825
8,2109,0.408726,0.9714872
9,2109,0.4014996,0.9665351
10,2109,0.397575,0.9690144
