epoch,steps,train_loss,validation_loss
1,2133,0.4086635,0.6730346
2,2133,0.3774935,0.6686852
3,2133,0.3713639,0.6928983
4,2133,0.3704201,0.6680407
5,2133,0.3625709,0.6615288
6,2133,0.3560129,0.6630553
7,2133,0.348816,0.6485036
8,2133,0.3411829,0.6681004
9,2133,0.334911,0.657174
10,2133,0.3314439,0.6602236
