epoch,steps,train_loss,validation_loss
1,2148,0.3203488,0.4093743
2,2148,0.2762523,0.4022359
3,2148,0.2700844,0.3949912
4,2148,0.2633516,0.3999099
5,2148,0.2565652,0.3988038
6,2148,0.2488858,0.4051766
7,2148,0.2409348,0.4020919
8,2148,0.2327072,0.4142689
9,2148,0.2261385,0.4166899
10,2148,0.2224036,0.4171411
