epoch,steps,train_loss,validation_loss
1,2142,0.3561674,0.5208226
2,2142,0.3255845,0.5102229
3,2142,0.3201899,0.5207019
4,2142,0.3149655,0.5317578
5,2142,0.3094644,0.5050706
6,2142,0.3017884,0.5156196
7,2142,0.2947378,0.511298
8,2142,0.2875333,0.5202842
9,2142,0.2815662,0.5185549
10,2142,0.278038,0.5181093
