dataset,signal,settings,pearson_corr_with_gap_to_best,spearman_corr_with_gap_to_best
ETTh2,best_val_mean_mse,32,-0.44444571391749105,0.058715819528707226
ETTh2,last_val_mean_mse,32,-0.30790206132541703,0.22489266725146353
ETTh2,last_gap_to_best_val_pct,32,0.15780545261284074,0.10081395428513883
ETTh2,last_train_prediction_l1,32,-0.043809447924790045,-0.24040250637225413
ETTh2,last_train_horizon_prediction_l1,32,-0.014019378565541488,0.021280507943416013
ETTh2,last_train_reconstruction_l1,32,-0.19372913124559862,-0.07053283981121435
ETTh2,last_train_alignment_loss,32,0.13959724281895755,0.2483420668745636
ETTh2,last_train_teacher_l1,32,-0.2043921243494175,-0.47119425730822057
ETTm1,best_val_mean_mse,32,-0.5376870866840556,0.1108768856194613
ETTm1,last_val_mean_mse,32,-0.5370872528326902,0.07173300593365647
ETTm1,last_gap_to_best_val_pct,32,-0.13199322735987237,-0.1756270254142246
ETTm1,last_train_prediction_l1,32,-0.5546914786566027,0.05843885811583597
ETTm1,last_train_horizon_prediction_l1,32,-0.5520292278154226,-0.533113414513508
ETTm1,last_train_reconstruction_l1,32,-0.5326946664611371,-0.042005814285474515
ETTm1,last_train_alignment_loss,32,0.7134075717010135,0.5338892835448332
ETTm1,last_train_teacher_l1,32,0.05293539342909792,0.23559712865411028
Weather,best_val_mean_mse,32,0.48706310467324204,0.05557692351616628
Weather,last_val_mean_mse,32,0.4967221373511428,0.04228277569834577
Weather,last_gap_to_best_val_pct,32,0.2486955930435591,0.1150313068125302
Weather,last_train_prediction_l1,32,0.4691972325533773,0.07773383654586712
Weather,last_train_horizon_prediction_l1,32,-0.35616491394287725,-0.3610348244193337
Weather,last_train_reconstruction_l1,32,-0.11615398509638278,-0.14845131729899563
Weather,last_train_alignment_loss,32,-0.11890489110509998,-0.19793508973199417
Weather,last_train_teacher_l1,32,-0.12200360067918628,-0.15365030129615886
ALL,best_val_mean_mse,96,-0.37791096413402264,-0.2076709401235038
ALL,last_val_mean_mse,96,-0.3138580737206528,-0.10613688597626361
ALL,last_gap_to_best_val_pct,96,0.37471747578795805,0.2511996464961735
ALL,last_train_prediction_l1,96,0.15469973342118068,0.28088823698163745
ALL,last_train_horizon_prediction_l1,96,0.04874228005325825,-0.023686847961624742
ALL,last_train_reconstruction_l1,96,-0.11527151189758222,0.18309079907936093
ALL,last_train_alignment_loss,96,0.35509166780025353,0.3205846891985879
ALL,last_train_teacher_l1,96,-0.10676326927137382,-0.1525251761984971
