dataset,signal,settings,pearson_corr_with_gap_to_best,spearman_corr_with_gap_to_best
ALL,last_train_alignment_loss,96,0.35509166780025353,0.3205846891985879
ALL,last_train_prediction_l1,96,0.15469973342118068,0.28088823698163745
ALL,last_gap_to_best_val_pct,96,0.37471747578795805,0.2511996464961735
ETTh2,last_train_teacher_l1,32,-0.2043921243494175,-0.47119425730822057
ETTh2,last_train_alignment_loss,32,0.13959724281895755,0.2483420668745636
ETTh2,last_train_prediction_l1,32,-0.043809447924790045,-0.24040250637225413
ETTm1,last_train_alignment_loss,32,0.7134075717010135,0.5338892835448332
ETTm1,last_train_horizon_prediction_l1,32,-0.5520292278154226,-0.533113414513508
ETTm1,last_train_teacher_l1,32,0.05293539342909792,0.23559712865411028
Weather,last_train_horizon_prediction_l1,32,-0.35616491394287725,-0.3610348244193337
Weather,last_train_alignment_loss,32,-0.11890489110509998,-0.19793508973199417
Weather,last_train_teacher_l1,32,-0.12200360067918628,-0.15365030129615886
