dataset,seed_pairs,median_credit_seed_spearman,minimum_credit_seed_spearman,stable
ETTh1,3,0.7322701688555348,0.7221388367729831,True
ETTh2,3,0.5474671669793622,0.29831144465290804,True
ETTm1,3,0.048592870544090054,0.026078799249530958,False
ETTm2,3,0.100187617260788,0.0350844277673546,False
Weather,3,0.05984990619136961,-0.27692307692307694,False
