dataset,runs,median_counterfactual_oracle_headroom_l1_percent,median_positive_contributor_count,median_policy_credit_spearman,median_standalone_credit_spearman,median_standalone_best_match_fraction,shuffle_specific_runs
ETTh1,3,17.976560372300167,3.0,0.11180339887498948,1.0,0.7574055989583334,3
ETTh2,3,21.20991754968562,3.0,0.051298917604257706,0.9,0.6713541666666667,3
ETTm1,3,16.413820684950853,3.0,0.20519567041703082,0.9,0.5836371527777777,3
ETTm2,3,23.15681635504696,3.0,0.20519567041703082,0.9,0.6081651475694444,3
Weather,3,10.21437851614795,2.0,0.35355339059327373,0.6,0.5025987413194445,3
