dataset,seed,probe_rows,fusion_reconstruction_max_abs,full_l1,full_mse,coalition_credit_l1,coalition_credit_mse,counterfactual_oracle_headroom_l1_percent,counterfactual_oracle_headroom_mse_percent,arm_credit_gain_l1_percent,uniform_gain_l1_percent,positive_contributor_count_median,positive_contributor_count_mean,policy_credit_spearman_median,standalone_credit_spearman_median,standalone_best_match_fraction,policy_entropy_median,low_entropy_policy_credit_spearman_median,high_entropy_policy_credit_spearman_median,shuffled_gain_l1_p95_percent,shuffle_specific
ETTh1,2021,256,3.7681419584600917e-07,0.7965209612891051,1.4373466969756146,0.6525301672555451,1.1663587118120116,18.077464502694628,18.853348724688413,14.522795401817856,-0.3650808073655032,3.0,2.5467013888888888,0.11180339887498948,1.0,0.7439019097222223,0.9845529957374073,0.11180339887498948,-0.051298917604257706,8.376826684416155,True
ETTh1,2022,256,4.465901497496816e-07,0.8090540030899237,1.4891711824144522,0.671107376090611,1.223017891602522,17.05036085013727,17.87257865011901,13.504830439423198,-0.5059899917924326,3.0,2.5409505208333334,0.11180339887498948,1.0,0.765966796875,0.988700225189133,0.20519567041703082,0.051298917604257706,8.787403147782202,True
ETTh1,2023,256,4.103738540095492e-07,0.798595302384766,1.4519209616755278,0.6550353357212154,1.1831791915775525,17.976560372300167,18.509393912726846,14.550388900853761,-0.22087390488203518,3.0,2.5502007378472222,0.10259783520851541,1.0,0.7574055989583334,0.99290753016901,0.11180339887498948,0.051298917604257706,8.101347585284751,True
ETTh2,2021,256,3.79377066650477e-07,0.5495876363453049,0.4966175076376272,0.4391838411001492,0.3675488733679274,20.08847869637832,25.989545733832408,17.733830147562056,1.5455088971821018,3.0,2.697488064236111,0.051298917604257706,0.9,0.6713541666666667,0.9729630324723528,0.0,0.051298917604257706,11.332582926072028,True
ETTh2,2022,256,4.4607161342469226e-07,0.5395164984239305,0.49711262652981325,0.42331741956128816,0.3507252363286878,21.537632158069375,29.447530074423923,17.969091350285083,0.23658171695599695,3.0,2.577262369791667,0.11180339887498948,0.9,0.700537109375,0.9842944956457361,0.11180339887498948,0.051298917604257706,11.776434877237094,True
ETTh2,2023,256,4.820311820807888e-07,0.5993489915903243,0.5566402903055863,0.4722275646391443,0.397939106568715,21.20991754968562,28.510545589459024,19.834063247684753,3.640372477676046,3.0,2.7933485243055554,0.0,0.9,0.6365451388888889,0.9754170374310825,0.0,-0.11180339887498948,11.54965163757718,True
ETTm1,2021,256,3.9098948612092954e-07,0.3489668277966983,0.24674882264102824,0.28812104443905795,0.19647605603128057,17.435979156473856,20.37406544503956,14.399203908100166,-0.13136244402420783,3.0,2.537966579861111,0.20519567041703082,0.9,0.6178493923611111,0.9190978545187358,0.22360679774997896,0.11180339887498948,7.910777286604903,True
ETTm1,2022,256,5.68081843788093e-07,0.3539852796987522,0.2533907126744061,0.3032139348533301,0.21077260828394154,14.342784222165806,16.819126455209354,14.200391506384358,0.9370850176634749,3.0,2.622932942708333,0.20519567041703082,0.7,0.46027560763888886,0.5876283072014722,0.22360679774997896,0.20519567041703082,8.825685860349914,True
ETTm1,2023,256,4.3371936353509e-07,0.3500548186089666,0.24832388775325545,0.29259744838346086,0.20038173346086477,16.413820684950853,19.30629981922155,13.721348719245086,-0.16255574507544335,3.0,2.5279134114583335,0.22360679774997896,0.9,0.5836371527777777,0.8998312790912719,0.3,0.11180339887498948,6.769841569948455,True
ETTm2,2021,256,3.9842507604248567e-07,0.28632691034260394,0.14469331266447788,0.2171574656379473,0.09713115299384122,24.15750745254509,32.87101441994502,19.225784262367075,-1.1316064717884267,2.0,2.5157606336805554,0.20519567041703082,0.9,0.6871799045138889,0.9668423220347919,0.3,0.11180339887498948,12.507158388299482,True
ETTm2,2022,256,4.6288492105972523e-07,0.2866455481811018,0.14717910394616554,0.2202675649988864,0.1019185679418818,23.15681635504696,30.752012201975987,19.669496522156614,-1.4702668046476353,3.0,2.610866970486111,0.11180339887498948,0.9,0.6081651475694444,0.9014441334864695,0.22360679774997896,0.10259783520851541,10.992044182990345,True
ETTm2,2023,256,5.117888814964999e-07,0.29179738458448745,0.15242234712738564,0.23278370168826287,0.11115080985448067,20.22419871249315,27.07709076177173,17.6133119181794,0.1437032219178791,3.0,2.5567111545138888,0.20519567041703082,0.8,0.5837727864583333,0.8951312741782933,0.35355339059327373,0.17694837640638655,8.976798728057956,True
Weather,2021,256,6.01508761910452e-07,0.38281011172508655,0.31583649634459493,0.33650553187635446,0.2591694093110363,12.095965710013834,17.941905919489344,12.022293310700217,-0.7102798776621011,3.0,2.5342122395833333,0.35355339059327373,0.6,0.49483506944444444,0.09781163536386436,0.20519567041703082,0.3,6.048287750650493,True
Weather,2022,256,3.936673742543917e-07,0.37706255076731715,0.3036731758368688,0.33854795458930087,0.26389338203688584,10.21437851614795,13.099541535190584,10.194139825692838,-2.5042349176190415,2.0,2.4925889756944444,0.35355339059327373,0.6,0.5025987413194445,0.34038268975152486,0.33541019662496846,0.22360679774997896,6.749889013067514,True
Weather,2023,256,6.452556804426024e-07,0.3874375620753533,0.3128423740744558,0.34846672391907346,0.27227049230683603,10.058611237260562,12.968793593787186,9.718278779335787,-1.3454929383743597,2.0,2.462749565972222,0.33541019662496846,0.6,0.5106011284722223,0.34309101670762576,0.35355339059327373,0.22360679774997896,3.8071588400658367,True
