dataset,seed,bin,scope_index,scale,mean_loo_gain_l1,mean_loo_gain_mse,mean_coalition_credit,mean_policy,positive_fraction
ETTh1,2021,h1_48,0,1,-0.0017322112696353295,-0.002258293498047937,0.19811989320199522,0.20611784759967122,0.489990234375
ETTh1,2021,h1_48,1,48,-0.001577921176829089,-0.0023742352665108283,0.2088588835494245,0.20369491278688656,0.4901529947916667
ETTh1,2021,h1_48,2,144,0.001614306911089723,0.0013241347849390908,0.2177294999977932,0.24148526468585865,0.5223795572916666
ETTh1,2021,h1_48,3,360,0.00430089936726693,0.005468552580849391,0.20717709256192698,0.20582781968914787,0.5304361979166666
ETTh1,2021,h1_48,4,720,0.003136748800070929,0.003972228334220401,0.16811463068886004,0.14287415584779714,0.5450032552083334
ETTh1,2021,h49_96,0,1,-0.0009180788691789231,-0.0007718297796896998,0.19772237562731876,0.20757056850076575,0.4873860677083333
ETTh1,2021,h49_96,1,48,-0.0004502189101899021,-0.0005936511127847915,0.19299314033691004,0.20578722504311978,0.4962565104166667
ETTh1,2021,h49_96,2,144,-0.0006306342931452213,-0.0020157662150715834,0.23103089387528716,0.2440765796091,0.5020345052083334
ETTh1,2021,h49_96,3,360,0.0035879188269510123,0.004525689160940107,0.20755737614368241,0.20237290700242738,0.5398763020833334
ETTh1,2021,h49_96,4,720,0.0034942577148059477,0.0043165015417439105,0.1706962140168016,0.14019272045819284,0.56640625
ETTh1,2021,h97_144,0,1,0.0012820337215693207,0.001380355099962236,0.20099694473491062,0.2100983616837766,0.5054524739583334
ETTh1,2021,h97_144,1,48,0.00262035881187112,0.003391752008847218,0.20647318096287748,0.20945636348551488,0.529052734375
ETTh1,2021,h97_144,2,144,-0.001804498572251156,-0.0038666059977382843,0.26114175227747016,0.2485744938167045,0.4917805989583333
ETTh1,2021,h97_144,3,360,-0.0007076129845435798,0.00018647134697800407,0.17443067972240967,0.19639839152659988,0.4772135416666667
ETTh1,2021,h97_144,4,720,0.0022169151349840056,0.003919695256345355,0.15695744230233208,0.1354723896656651,0.5464680989583334
ETTh1,2021,h145_192,0,1,0.0017733511579505702,0.001958189561118825,0.20194611448890412,0.21303987812037425,0.5214029947916666
ETTh1,2021,h145_192,1,48,0.0019782353195636174,0.0021200959202752868,0.19630488146514122,0.21376115659222705,0.5135904947916666
ETTh1,2021,h145_192,2,144,0.0012560440616106833,0.0009453707174254324,0.27118567825852197,0.25374917952285614,0.525390625
ETTh1,2021,h145_192,3,360,0.0009836436667318088,0.0009631254102822603,0.19856524956184474,0.18954260036480264,0.5162760416666666
ETTh1,2021,h145_192,4,720,0.00014873206432517274,0.00041629733785725816,0.13199807622558798,0.1299071853948893,0.5030110677083334
ETTh1,2021,h193_288,0,1,-0.0004960102305135001,0.0008947288165399692,0.2081662750224108,0.21653945210770567,0.4998372395833333
