dataset,seed,bin,scope_index,scale,mean_loo_gain_l1,mean_loo_gain_mse,mean_coalition_credit,mean_policy,positive_fraction
ETTh1,2021,h193_288,1,48,-9.917536405044224e-05,0.0010191716648561026,0.21752080623720593,0.2188624630901662,0.5052083333333334
ETTh1,2021,h193_288,2,144,0.001279788222683794,0.0015806460228249754,0.24112377538057103,0.2595893820434867,0.5098470052083334
ETTh1,2021,h193_288,3,360,0.0015596650294502328,0.0013330366764330236,0.1955028015523642,0.1817677466491053,0.5185953776041666
ETTh1,2021,h193_288,4,720,0.001735130622673279,0.002336164322949907,0.13768634180744807,0.12324095600827907,0.52685546875
ETTh1,2021,h289_336,0,1,-0.0025550768423355905,-0.005091136607425499,0.1914159474646794,0.21805889172537718,0.4733072916666667
ETTh1,2021,h289_336,1,48,-0.004879791953172411,-0.005422882894631141,0.18076914472451264,0.22092619083923637,0.46142578125
ETTh1,2021,h289_336,2,144,-0.004628425453573569,-0.005228964802062805,0.21712836883349887,0.26153766153826535,0.4686686197916667
ETTh1,2021,h289_336,3,360,0.010016249543352066,0.014748119885230613,0.26074540339168273,0.1790391937114085,0.59033203125
ETTh1,2021,h289_336,4,720,0.005397130160785343,0.008039222292034326,0.14994113558562636,0.12043806248645221,0.599609375
ETTh1,2021,h337_512,0,1,0.0045271330247254014,0.017389576661404327,0.2224767631863027,0.21616424509325458,0.5330255681818182
ETTh1,2021,h337_512,1,48,0.0024781840424177195,0.008618838651531981,0.2097838468962119,0.21783874144338453,0.5239701704545454
ETTh1,2021,h337_512,2,144,0.0024528783213194354,0.00571759688300193,0.2425900871987932,0.2565020848510771,0.5184881036931818
ETTh1,2021,h337_512,3,360,-0.00036315827316389855,-0.004548957188283526,0.17683838404969082,0.1849787570059892,0.49442915482954547
ETTh1,2021,h337_512,4,720,-0.0051953698174432685,-0.013682634575830415,0.14831091866900137,0.12451617166136036,0.44853071732954547
ETTh1,2021,h513_720,0,1,0.004649345813826949,0.01720451690365213,0.20119825129241786,0.21397478227971498,0.5040752704326923
ETTh1,2021,h513_720,1,48,0.007339848121192072,0.020360972171972882,0.2204271221182181,0.2150661608158351,0.5224609375
ETTh1,2021,h513_720,2,144,0.004320958583981653,0.0033033498404799436,0.237284841795711,0.2504453287320547,0.5082068810096154
ETTh1,2021,h513_720,3,360,-0.002816285995468757,-0.008800616052864934,0.1786871708853928,0.19055456353369385,0.49868539663461536
ETTh1,2021,h513_720,4,720,-0.00418619721254891,-0.006688684260748996,0.16240261390826022,0.12995916432779409,0.49410306490384615
ETTh1,2022,h1_48,0,1,0.002323834306853348,0.0031832113789480696,0.21375490195562954,0.19305258147990875,0.5220540364583334
ETTh1,2022,h1_48,1,48,0.0003685184971341071,-0.00030593457501679406,0.20254608372691937,0.1999752224170758,0.4986165364583333
ETTh1,2022,h1_48,2,144,-0.0004461870547815945,-0.0006856812099285079,0.22494913082102075,0.2512122224713191,0.4961751302083333
ETTh1,2022,h1_48,3,360,0.0016767692866916332,0.002407614695413897,0.20165754400752833,0.20645484018314164,0.5335286458333334
ETTh1,2022,h1_48,4,720,0.00047516826270820636,0.000849630248889455,0.15709233948890203,0.14930513271550203,0.5086263020833334
ETTh1,2022,h49_96,0,1,-6.0428361037074435e-05,-0.00047679980908130713,0.19105418873837374,0.1940909245374011,0.4922688802083333
ETTh1,2022,h49_96,1,48,-0.0013221840238230543,-0.00238345932397927,0.1914606805622144,0.20120096844766522,0.4861653645833333
ETTh1,2022,h49_96,2,144,-0.001469121992263504,-0.001540132431026771,0.22946787847343117,0.2539867820026605,0.4820963541666667
ETTh1,2022,h49_96,3,360,0.00332366866613039,0.004270015603738071,0.20940837181858288,0.20371378237905446,0.5569661458333334
ETTh1,2022,h49_96,4,720,0.003670381410068867,0.004761650855284454,0.17860888040739784,0.14700754233975508,0.5687662760416666
ETTh1,2022,h97_144,0,1,0.0014507861108034297,0.0032145941227188744,0.19506598540690354,0.19581145656775334,0.5248209635416666
ETTh1,2022,h97_144,1,48,-6.400999958174282e-05,0.0005294239597569087,0.19448859225450357,0.20322125837992644,0.4947102864583333
ETTh1,2022,h97_144,2,144,-0.0010802941778630135,-0.005325723738277416,0.279124404985498,0.258645901101166,0.5052897135416666
ETTh1,2022,h97_144,3,360,0.0006730264215828512,0.0016896855723579154,0.17453216879355335,0.19916322709347392,0.4844563802083333
ETTh1,2022,h97_144,4,720,0.0021606800478977894,0.0042431532784533476,0.1567888485595415,0.14315815704442988,0.5501302083333334
ETTh1,2022,h145_192,0,1,0.00081107079726848,0.0008422240126353567,0.19083811851143206,0.19764044572851466,0.513671875
ETTh1,2022,h145_192,1,48,-0.0002161636877149928,-0.0005961325220639152,0.18308788702788661,0.2053399545911816,0.4928385416666667
ETTh1,2022,h145_192,2,144,0.005108805439170117,0.0037559832592117624,0.29516165477331846,0.26366326511075994,0.5459798177083334
ETTh1,2022,h145_192,3,360,0.0005652640370702025,0.001132507882492437,0.19824800083779825,0.19436028402318092,0.5059407552083334
ETTh1,2022,h145_192,4,720,9.93222958567408e-06,0.0007229189790192589,0.13266433884956455,0.1389960502650259,0.4957682291666667
ETTh1,2022,h193_288,0,1,0.001072468283755874,0.0014109556220175462,0.20068143942153704,0.19930270775451694,0.5135904947916666
ETTh1,2022,h193_288,1,48,0.0017024538498130318,0.0033101331967631785,0.2133620121933366,0.20714598998165457,0.5161539713541666
ETTh1,2022,h193_288,2,144,0.0023249902986413875,0.0035923442236189475,0.2560978778302005,0.2681065251132774,0.5177001953125
ETTh1,2022,h193_288,3,360,-0.00030324491386683375,-0.0009796941583273399,0.19762075436822482,0.19035383866563885,0.4937337239583333
ETTh1,2022,h193_288,4,720,-0.00025587504965703936,0.00025596208200372135,0.1322379161867011,0.13509093840032924,0.4902750651041667
ETTh1,2022,h289_336,0,1,-0.0017476033190158297,-0.002992133396755523,0.186932212900871,0.19928253814335525,0.484375
ETTh1,2022,h289_336,1,48,-0.0008419569455610011,-0.0005463192933429851,0.19659078438991603,0.20688718720824303,0.4977213541666667
ETTh1,2022,h289_336,2,144,-0.0006930108257194686,-0.0012846246641933917,0.2392889841687035,0.2675637028247972,0.4894205729166667
ETTh1,2022,h289_336,3,360,0.004371793498243203,0.005933969401886527,0.2251254245447544,0.19125409633246213,0.535400390625
ETTh1,2022,h289_336,4,720,0.0034056469657201133,0.006218667817686586,0.15206259399575509,0.1350124755839109,0.5533854166666666
ETTh1,2022,h337_512,0,1,0.002763333327802464,0.009944138596411554,0.20112589422771776,0.1966846906044256,0.52978515625
ETTh1,2022,h337_512,1,48,0.0036660754891410584,0.010081786046487691,0.2140158000426725,0.20364585063659682,0.5403497869318182
ETTh1,2022,h337_512,2,144,0.004242481874987635,0.01415742031040244,0.2450589411758596,0.25959070188830746,0.5236150568181818
ETTh1,2022,h337_512,3,360,-0.0012427683718170533,-0.0031927306722107306,0.17716258316152111,0.19903521543098826,0.48450816761363635
ETTh1,2022,h337_512,4,720,-0.005311287147710928,-0.018410429125763638,0.16263678139222904,0.1410435415119454,0.4518155184659091
ETTh1,2022,h513_720,0,1,0.004418526970435694,0.02031062255066379,0.19742285111142877,0.19607031711460038,0.5174466646634616
ETTh1,2022,h513_720,1,48,0.001714552799709286,0.013048653974341542,0.19392888859434615,0.20346011553920107,0.5002817007211539
ETTh1,2022,h513_720,2,144,0.013312440420019573,0.03755140166380308,0.2742082386347185,0.25763523547888884,0.5535794771634616
ETTh1,2022,h513_720,3,360,-0.0037927474217545787,-0.01542681131036771,0.1749407176396683,0.19889988204466555,0.48486328125
ETTh1,2022,h513_720,4,720,-0.00768859660992994,-0.029726554047487887,0.1594993040198383,0.1439344498802921,0.47196138822115385
ETTh1,2023,h1_48,0,1,-0.0029362983657061723,-0.0027985077766080235,0.17714587104071358,0.18796752326913216,0.4615071614583333
ETTh1,2023,h1_48,1,48,-0.0015166793256152743,-0.002247183266638279,0.2089232626366538,0.198382246086112,0.4857584635416667
ETTh1,2023,h1_48,2,144,0.0010173156632373962,0.001786213052099019,0.2107863973906727,0.23480077679778333,0.515380859375
ETTh1,2023,h1_48,3,360,0.004599693023762254,0.00483977195610407,0.21377048406399238,0.21267815833925852,0.5489095052083334
ETTh1,2023,h1_48,4,720,0.003727272429715348,0.004070211691148388,0.1893739848679675,0.1661712953427923,0.552490234375
ETTh1,2023,h49_96,0,1,0.0008595078760541278,0.0009485444234880576,0.20173037871709817,0.191205536142661,0.5132649739583334
ETTh1,2023,h49_96,1,48,-0.0008040677164018285,-0.0010880503931790203,0.19268078107064512,0.2007161241150849,0.4928385416666667
ETTh1,2023,h49_96,2,144,-0.0010375523257057713,-0.0007205275397459129,0.2206066031165693,0.23992877904553703,0.487548828125
ETTh1,2023,h49_96,3,360,0.0019959533820978438,0.002156994003545145,0.20175475732624848,0.20663129198267902,0.5235188802083334
ETTh1,2023,h49_96,4,720,0.0034913152945318577,0.0037305438078108154,0.18322747976943896,0.16151826965930619,0.567138671875
ETTh1,2023,h97_144,0,1,0.0028230959657624577,0.002668042271570966,0.2097261306221747,0.19657095353007512,0.5458984375
ETTh1,2023,h97_144,1,48,0.002559875604690369,0.0028532419166791083,0.20240173107460047,0.20451626613188031,0.5291341145833334
ETTh1,2023,h97_144,2,144,-0.001768538321563379,-0.004305560924030784,0.2554017370314387,0.24857984046805845,0.4866536458333333
ETTh1,2023,h97_144,3,360,-0.0020919038593755347,-0.000181600052792642,0.16197564264416756,0.1966775536966452,0.4480794270833333
ETTh1,2023,h97_144,4,720,0.0025625559227015616,0.004100560871841724,0.1704947586276185,0.15365538602842813,0.5509440104166666
ETTh1,2023,h145_192,0,1,0.0023591238233398363,0.0021652952162800362,0.20225402874657497,0.20221575619628615,0.5292154947916666
ETTh1,2023,h145_192,1,48,0.0023354347507082932,0.002114879287907826,0.20229202369371743,0.2084363067127318,0.5287272135416666
ETTh1,2023,h145_192,2,144,0.0029608754667295695,0.0011201335969221854,0.2796732682691158,0.2578745530214898,0.5457356770833334
ETTh1,2023,h145_192,3,360,-0.0012646345031695426,-0.00018138394696317023,0.17280929754943034,0.1863285936281803,0.48046875
ETTh1,2023,h145_192,4,720,6.176637692912999e-05,0.0008223942304029502,0.14297138174116145,0.14514479028851687,0.5042317708333334
ETTh1,2023,h193_288,0,1,-8.558873174856984e-05,0.0006507520226341331,0.19986035076894246,0.2070474669799296,0.5059814453125
ETTh1,2023,h193_288,1,48,4.1519875301020616e-05,0.0012863491146031276,0.20442845267164345,0.21184804093354614,0.506591796875
ETTh1,2023,h193_288,2,144,0.00011527634496991774,0.0008360066425805161,0.24037976620164658,0.26588572286588413,0.5061442057291666
ETTh1,2023,h193_288,3,360,0.002237198191450234,0.0011912285641160604,0.20046540510650757,0.17783160160797706,0.5228271484375
ETTh1,2023,h193_288,4,720,0.001255744943746945,0.0030455580364021476,0.15486602525125998,0.13738716787717445,0.5253092447916666
ETTh1,2023,h289_336,0,1,-0.004331998840731256,-0.00854952058791128,0.17711673104403133,0.20642092072982146,0.4600423177083333
ETTh1,2023,h289_336,1,48,-0.006397790779365679,-0.011083710525585717,0.16405077830269368,0.21173552731367332,0.4322102864583333
ETTh1,2023,h289_336,2,144,-0.0036669799380715583,-0.0010501924154446259,0.22941487447008815,0.264616338355457,0.4805501302083333
ETTh1,2023,h289_336,3,360,0.009633478232757892,0.013800647593873902,0.24534912485360286,0.1796266643832496,0.5966796875
ETTh1,2023,h289_336,4,720,0.006516278327898861,0.011928758869098442,0.184068491329584,0.1376005493445215,0.6250813802083334
ETTh1,2023,h337_512,0,1,0.0018297554930903548,0.00803596362859725,0.19558493791507628,0.1981748102136242,0.5208851207386364
ETTh1,2023,h337_512,1,48,0.0024666256188279638,0.006525561421502618,0.20966065507477658,0.2062894337167646,0.5308061079545454
ETTh1,2023,h337_512,2,144,0.005792634678334987,0.018349496117057648,0.24040873987458705,0.25068994487975776,0.5322043678977273
ETTh1,2023,h337_512,3,360,0.00012109090314198289,-0.003971589537337728,0.1825189608917979,0.19553605193405846,0.49937855113636365
ETTh1,2023,h337_512,4,720,-0.005906386034755414,-0.015434805366952088,0.17182670624376228,0.1493097592658821,0.45854048295454547
ETTh1,2023,h513_720,0,1,0.005296759291688833,0.018525833288221057,0.2018479392230161,0.19935138781399403,0.5138972355769231
ETTh1,2023,h513_720,1,48,0.003910006110062044,0.018274287942596463,0.19938992738937353,0.20604645845210492,0.5061786358173077
ETTh1,2023,h513_720,2,144,0.007742965077462846,0.019788769145740754,0.24435115348021577,0.2518053339780846,0.5189866286057693
ETTh1,2023,h513_720,3,360,-0.0026107868810698047,-0.015119342457551385,0.17601805196529588,0.1923672671708538,0.4988356370192308
ETTh1,2023,h513_720,4,720,-0.005865161062762835,-0.015301357381652435,0.17839292794209868,0.15042955265646293,0.4791729266826923
ETTh2,2021,h1_48,0,1,0.003973297350697947,0.002505231662926336,0.2383562618840491,0.1737554112126721,0.5885416666666666
ETTh2,2021,h1_48,1,48,0.005653020602671165,0.0038635775985635563,0.28594126625288363,0.1958436369241099,0.610595703125
ETTh2,2021,h1_48,2,144,-0.005354935064480016,-0.00217050252158834,0.1633300578198806,0.25438515948250523,0.429931640625
ETTh2,2021,h1_48,3,360,-0.004109812240889644,-0.0027384868060983517,0.1525437212057501,0.20827511493977605,0.474609375
ETTh2,2021,h1_48,4,720,0.0007177778955067881,0.0008553287958286026,0.15982869283743656,0.16774067726062944,0.5629069010416666
ETTh2,2021,h49_96,0,1,0.0036183441893658914,0.003322374434851661,0.23201698794528888,0.17385863379968214,0.58349609375
ETTh2,2021,h49_96,1,48,0.0036256861943677926,0.0035627336645431395,0.25395597512366264,0.19530423329949068,0.5923665364583334
ETTh2,2021,h49_96,2,144,-0.006658160836507546,-0.005174658291861471,0.1723212740266228,0.2582932096217216,0.4146321614583333
ETTh2,2021,h49_96,3,360,-0.004245925859448366,-0.0034624036467919904,0.1558505156917406,0.205916123215502,0.4886881510416667
ETTh2,2021,h49_96,4,720,0.0032082541451897554,0.0032041486791969617,0.185855247212685,0.1666277999227077,0.6205240885416666
ETTh2,2021,h97_144,0,1,0.0007879076147308174,0.00040779209623345103,0.1987345776321228,0.1740517419493699,0.518310546875
ETTh2,2021,h97_144,1,48,0.0007323893494488045,0.0005803466342833886,0.19964500505443047,0.19430351424640926,0.521484375
ETTh2,2021,h97_144,2,144,0.0013714880919614115,0.000628479241009191,0.24899622430330326,0.26537560996621323,0.5127766927083334
ETTh2,2021,h97_144,3,360,-0.0011338399351539952,-0.0006376372740113015,0.17566910786539003,0.20170723799825888,0.4971516927083333
ETTh2,2021,h97_144,4,720,0.002204861931402702,0.0014291002273711573,0.17695508514475347,0.16456189586180395,0.5576985677083334
ETTh2,2021,h145_192,0,1,-0.0001970026387989576,-0.0001001140219056968,0.18843104834883895,0.1742809815053382,0.525634765625
ETTh2,2021,h145_192,1,48,0.0017855326973487513,0.0013258497728133756,0.22988856818982759,0.19304481495540435,0.57275390625
ETTh2,2021,h145_192,2,144,-0.005124954038703384,-0.002594013972912086,0.20277795832914944,0.2738548174183961,0.4315592447916667
ETTh2,2021,h145_192,3,360,-0.0001272211552846993,0.0005753561013711818,0.18925158800599184,0.19676394977477685,0.5477701822916666
ETTh2,2021,h145_192,4,720,0.003525432904079775,0.0031136141589334456,0.1896508371261922,0.16205543595894292,0.6177571614583334
ETTh2,2021,h193_288,0,1,-0.0032502063381336026,-0.003481957467641227,0.18153547798719916,0.17449775645733703,0.4881591796875
ETTh2,2021,h193_288,1,48,-0.007057554840020888,-0.007484228864735334,0.15695704887612497,0.1914780183262034,0.4496256510416667
ETTh2,2021,h193_288,2,144,-0.002265063329248953,-0.0031549019319650658,0.20612916397280068,0.28284438546628127,0.4049886067708333
ETTh2,2021,h193_288,3,360,0.0030614885451264932,0.005925800726657707,0.21694046047263016,0.19159239041164255,0.5920817057291666
ETTh2,2021,h193_288,4,720,0.00968455923617255,0.012398075797127676,0.23843784869124499,0.1595874494560879,0.7222493489583334
ETTh2,2021,h289_336,0,1,0.0010281223951382635,-6.387498129457533e-05,0.17588170086590862,0.17448944708121417,0.5240071614583334
ETTh2,2021,h289_336,1,48,0.0024582562020178454,0.0015707840815728834,0.1860458401480938,0.19090471588575988,0.5472819010416666
ETTh2,2021,h289_336,2,144,-0.03393889234727209,-0.021579230109453725,0.1525650022558631,0.2836516424971099,0.3513997395833333
ETTh2,2021,h289_336,3,360,0.01771695484289296,0.01700462900694347,0.25813889274196733,0.19103287487754037,0.6775716145833334
ETTh2,2021,h289_336,4,720,0.01265267488960769,0.013179547270903631,0.2273685639881671,0.15992131952892427,0.72119140625
ETTh2,2021,h337_512,0,1,0.0008828758478183721,-3.751617842922463e-05,0.19739803921469393,0.1740615807097625,0.5486727627840909
ETTh2,2021,h337_512,1,48,0.0043337012970576716,0.005890417388478001,0.2193226347038988,0.19184683744267453,0.5950594815340909
ETTh2,2021,h337_512,2,144,-0.03331240983100512,-0.02887686291459249,0.11209671481538258,0.27270209501826187,0.2879971590909091
ETTh2,2021,h337_512,3,360,0.014772618662601373,0.019007929604812998,0.27413069151398556,0.19711717887755434,0.7030806107954546
ETTh2,2021,h337_512,4,720,0.009726483619582792,0.00944059756340727,0.1970519197520391,0.16427230778568133,0.626708984375
ETTh2,2021,h513_720,0,1,-0.00025006452518553377,-0.0027836311539835446,0.2066185144392519,0.17313234429331295,0.5230243389423077
ETTh2,2021,h513_720,1,48,-3.575237761963023e-05,-0.0016172093409998198,0.22004426172166391,0.19224125121420982,0.5503305288461539
ETTh2,2021,h513_720,2,144,-0.016235536222429632,-0.01635994098669216,0.16188177373333712,0.26950263242710765,0.3806903545673077
ETTh2,2021,h513_720,3,360,0.00880028203551177,0.015572409445355718,0.21175020232036773,0.19921985043839202,0.6262770432692307
ETTh2,2021,h513_720,4,720,0.008195799329348859,0.015921500247819974,0.1997052477853793,0.16590392137728627,0.5808856670673077
ETTh2,2022,h1_48,0,1,-0.0008066553522462974,-0.0009603026615939616,0.1934669215664853,0.18660561210587426,0.500244140625
ETTh2,2022,h1_48,1,48,-0.004153411374541112,-0.003426707297235064,0.18682411620034267,0.2069170914158652,0.4571126302083333
ETTh2,2022,h1_48,2,144,-0.0020871870413708593,-0.002106682532468192,0.2098897526187474,0.27014858059798524,0.4783528645833333
ETTh2,2022,h1_48,3,360,0.005743093083942249,0.005221539076018365,0.21355604885683435,0.18844318190713238,0.60595703125
ETTh2,2022,h1_48,4,720,0.0053403726497427305,0.005148839751492155,0.19626316075759034,0.1478855338982612,0.6106770833333334
ETTh2,2022,h49_96,0,1,0.0009696026455806705,0.0010099079589248477,0.1919209655633761,0.18702800698035085,0.5138346354166666
ETTh2,2022,h49_96,1,48,-0.0026170520027793804,-0.0027894483141306047,0.19150414178625508,0.2072974995680852,0.4676920572916667
ETTh2,2022,h49_96,2,144,-0.005079623434304308,-0.005326878047803224,0.22248717056603629,0.2697610360107016,0.4503580729166667
ETTh2,2022,h49_96,3,360,0.003676295946912185,0.0032616640251040365,0.19262388059099034,0.18790804711413026,0.5655924479166666
ETTh2,2022,h49_96,4,720,0.006798800772839081,0.007603086653206055,0.2014638414933423,0.1480054103922157,0.6297200520833334
ETTh2,2022,h97_144,0,1,0.001660979460748381,0.0012222732840784004,0.19633590466207193,0.18777307664277032,0.52783203125
ETTh2,2022,h97_144,1,48,0.0013725898288646286,0.0012755444993878744,0.2037156812620382,0.20793773102923296,0.5135091145833334
ETTh2,2022,h97_144,2,144,-0.00019423941955677154,-0.0014775091629848603,0.27607343854383753,0.2690543159757605,0.501953125
ETTh2,2022,h97_144,3,360,0.0003375974364673801,0.00023037634603725857,0.16541696482719268,0.18701922706895857,0.49951171875
ETTh2,2022,h97_144,4,720,0.0022973931592200707,0.0024575728034252424,0.15845801070485968,0.14821564901497672,0.52783203125
ETTh2,2022,h145_192,0,1,-0.0006211536122158199,-0.0002458225035563242,0.19687582826190006,0.18865194359386805,0.505615234375
ETTh2,2022,h145_192,1,48,0.001277484692812299,0.001137284546429791,0.20697673141007286,0.20861841850758842,0.5122884114583334
ETTh2,2022,h145_192,2,144,-0.000816647389138853,-0.0003174678665316578,0.24518591813748578,0.26813705272555427,0.48828125
ETTh2,2022,h145_192,3,360,0.0025861166424510623,0.0016339884723083732,0.19354964850306663,0.18608665048668627,0.5462239583333334
ETTh2,2022,h145_192,4,720,0.00210662750423557,0.001836398148987857,0.15741187368747478,0.1485059342809715,0.5599772135416666
ETTh2,2022,h193_288,0,1,-0.002269343952270158,-0.002378237053243331,0.18334739609412942,0.18971721046909806,0.472412109375
ETTh2,2022,h193_288,1,48,-0.001575841931960961,-0.0026664606237577055,0.20447654980558097,0.20917047900426647,0.4814453125
ETTh2,2022,h193_288,2,144,-0.007501701395571651,-0.00795254649031668,0.1920334303884649,0.2666711933015904,0.4080403645833333
ETTh2,2022,h193_288,3,360,0.005583335287440931,0.0073185541655645045,0.20776273577343143,0.1853176701445894,0.5746256510416666
ETTh2,2022,h193_288,4,720,0.008638130669477075,0.011401624838325774,0.2123798879383932,0.1491234469816239,0.6593424479166666
ETTh2,2022,h289_336,0,1,-0.00034915892150096583,-0.0007744161532139557,0.19947272143288544,0.19023666965586017,0.4927571614583333
ETTh2,2022,h289_336,1,48,-0.0010153696792333286,-0.0017776275365280622,0.18905564508782094,0.20904167866804832,0.4720865885416667
ETTh2,2022,h289_336,2,144,0.001329435464844567,0.0009466001526365827,0.24785713205334892,0.2654571791863418,0.515625
ETTh2,2022,h289_336,3,360,0.0026544046905634783,0.0015015509127569726,0.1835167123631222,0.18544931601112088,0.5203450520833334
ETTh2,2022,h289_336,4,720,0.004748680165586096,0.00612758780899002,0.18009778906282256,0.1498151562033551,0.6017252604166666
ETTh2,2022,h337_512,0,1,0.0017152492357823275,0.003991828484252768,0.21284366544887653,0.19005213889084355,0.5199529474431818
ETTh2,2022,h337_512,1,48,-0.0017327769892249772,-0.0029051335356794243,0.1940181028452522,0.2083246339081432,0.4680397727272727
ETTh2,2022,h337_512,2,144,0.0022926838660826104,0.0028768645434888744,0.23934627046007215,0.26515050634208653,0.5029962713068182
ETTh2,2022,h337_512,3,360,0.003192643036903317,0.004369862618367786,0.2064096298705473,0.18640150026311114,0.5584161931818182
ETTh2,2022,h337_512,4,720,-3.091145613405909e-06,0.00015193963951196462,0.14738233137525175,0.15007122080541277,0.5069025213068182
ETTh2,2022,h513_720,0,1,-0.00031163361570534464,-0.0024552649105475206,0.20629561689648832,0.19019017798620133,0.4931077223557692
ETTh2,2022,h513_720,1,48,0.0026457910490899047,0.005264090897764067,0.22464013661187904,0.2095840792893656,0.5192119891826923
ETTh2,2022,h513_720,2,144,-0.0005788349235959665,0.0004336585724214283,0.2546013508980012,0.26724718316052953,0.49222506009615385
ETTh2,2022,h513_720,3,360,0.002804559087254197,0.0045030647456549685,0.17550600568227612,0.18469047657792823,0.5239633413461539
ETTh2,2022,h513_720,4,720,0.0025892331165699427,0.007404687858822956,0.13895688991135532,0.14828808303739677,0.5166391225961539
ETTh2,2023,h1_48,0,1,-0.0025783125757353757,-0.002538766450694101,0.18428567431333912,0.17246795143296367,0.513671875
ETTh2,2023,h1_48,1,48,-0.0008244685517632038,-0.00019420954696715265,0.21513918635973317,0.1882342073607409,0.5116373697916666
ETTh2,2023,h1_48,2,144,-0.01134218684497867,-0.007806099827812714,0.1557450939716623,0.2968365747280283,0.4507649739583333
ETTh2,2023,h1_48,3,360,-0.001131421310568809,-0.0005415514476969195,0.19997991804492435,0.2039894510440566,0.5535481770833334
ETTh2,2023,h1_48,4,720,0.010054835852534258,0.010284701366262078,0.24485012731034106,0.13847181524901467,0.7277018229166666
ETTh2,2023,h49_96,0,1,0.002080827617020613,0.0022286879792879884,0.21545901927850733,0.17169591727372335,0.6061197916666666
ETTh2,2023,h49_96,1,48,0.0025356251784867897,0.0028315987011256756,0.25891472523667675,0.18874972597510956,0.5768229166666666
ETTh2,2023,h49_96,2,144,-0.020422902712464153,-0.015410300866249518,0.13511446860208046,0.30191314362188376,0.3902994791666667
ETTh2,2023,h49_96,3,360,-0.005662656675574525,-0.0047147928080076675,0.16685527381513932,0.20110560487027365,0.5069986979166666
ETTh2,2023,h49_96,4,720,0.008944587729065085,0.010562623721526733,0.22365651306759615,0.13653560852181576,0.7284342447916666
ETTh2,2023,h97_144,0,1,0.002796431524094383,0.002339189852429565,0.20662960750341877,0.17015706588047882,0.5894368489583334
ETTh2,2023,h97_144,1,48,0.0014022539691247928,0.0014301033440069291,0.23155709762568702,0.18961595869420003,0.5523274739583334
ETTh2,2023,h97_144,2,144,-0.010219314927520377,-0.006348336431545546,0.19515332548455686,0.3110010011672178,0.444091796875
ETTh2,2023,h97_144,3,360,-0.0028301074423597583,-0.0014991184424197458,0.1860169446002851,0.19607801449471177,0.5247395833333334
ETTh2,2023,h97_144,4,720,0.005348503847343258,0.004248589613037102,0.1806430247860522,0.13314795977617186,0.64990234375
