dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_h0_full_pct,beats_h0_full,relative_mae_vs_h0_full_pct,relative_mse_vs_h0b_stochastic_k2_pct,beats_h0b_stochastic_k2,relative_mae_vs_h0b_stochastic_k2_pct,relative_mse_vs_h1_target_set_pct,beats_h1_target_set,relative_mae_vs_h1_target_set_pct,relative_mse_vs_fixed_pct,beats_fixed,relative_mae_vs_fixed_pct
ETTm2,target_set_prefix_head_multiprefix,720,0.3722419738769531,0.39953532814979553,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_target_set_prefix_head_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,8.346456255778234,False,7.517243348352598,9.115067927588516,False,7.915571976203184,8.854869185837511,False,8.081981890103096,8.346456255778234,False,7.517243348352598
ETTm2,prefix_token_decoder_multiprefix,96,0.2089792788028717,0.2987496852874756,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,24.678650052402972,False,18.046757433493156,28.44445543484433,False,20.275060088781128,29.640097172099633,False,21.340109112428696,34.88872640590264,False,23.89450946307081
ETTm2,prefix_token_decoder_multiprefix,192,0.26413923501968384,0.3301188051700592,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,20.326241001878543,False,14.827374590659304,22.223769797316084,False,15.976607734043057,22.537629886265066,False,16.554362753949103,25.637649156790808,False,17.6235557413132
ETTm2,prefix_token_decoder_multiprefix,336,0.31236615777015686,0.3583465814590454,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,15.988956709375612,False,11.829199843939131,17.210148006863555,False,12.533251224035302,17.29364916121694,False,12.912548459712658,18.634418310680644,False,13.060368144100565
ETTm2,prefix_token_decoder_multiprefix,720,0.386987566947937,0.4038032293319702,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,12.638376207715108,False,8.665759981701626,13.437434835369967,False,9.068343620566054,13.166928860601978,False,9.236531152158856,12.638376207715108,False,8.665759981701626
Weather,target_set_prefix_head_multiprefix,96,0.1661473512649536,0.20852310955524445,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_target_set_prefix_head_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,16.048842270739485,False,13.061659460479213,17.477588040548973,False,14.744187373714768,17.34014715454384,False,15.132758827510528,18.315985035043415,False,16.958550095831846
Weather,target_set_prefix_head_multiprefix,192,0.21151766180992126,0.2515281140804291,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_target_set_prefix_head_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,14.417818236952652,False,11.413883563617189,15.839713080508977,False,12.622539592075244,15.949021903662896,False,13.076599002647882,16.069099607556602,False,14.290010860409886
Weather,target_set_prefix_head_multiprefix,336,0.2598230242729187,0.28786879777908325,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_target_set_prefix_head_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,10.789217187537737,False,8.208355052248063,12.076556770788315,False,9.164975480675608,12.072083282502778,False,9.526940720040677,11.677320670903168,False,9.786858820991462
Weather,target_set_prefix_head_multiprefix,720,0.32648709416389465,0.3324356973171234,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_target_set_prefix_head_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,6.425068665712486,False,4.990514825438441,7.525887223682548,False,5.646189964214732,7.547674745880806,False,5.954312906428694,6.425068665712486,False,4.990514825438441
Weather,prefix_token_decoder_multiprefix,96,0.19960767030715942,0.2484695464372635,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,39.41985154229464,False,34.720699808800035,41.13633159690651,False,36.72554688959286,40.97121157030621,False,37.188556352136494,42.14357287754953,False,39.364111518642986
Weather,prefix_token_decoder_multiprefix,192,0.23726008832454681,0.279577374458313,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,28.342860017035253,False,23.838248296013887,29.93780435068414,False,25.181688095158815,30.06041643335482,False,25.68638212636123,30.195108006568372,False,27.035108103057425
Weather,prefix_token_decoder_multiprefix,336,0.27901726961135864,0.30788981914520264,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,18.973693607601284,False,15.734150849527428,20.356134507850008,False,16.757303386278565,20.351330543726508,False,17.144442989267027,19.92740511855913,False,17.422438165235054
Weather,prefix_token_decoder_multiprefix,720,0.33584991097450256,0.34180209040641785,analysis/phase5_timealign_hss_h1b_variable_readout_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_H1B_prefix_token_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,9.477068085552421,False,7.9486280498565876,10.609455310965178,False,8.622776869823623,10.631867643708004,False,8.939581191985324,9.477068085552421,False,7.9486280498565876
