dataset,arm,settings,wins_vs_h0_full,mean_relative_mse_vs_h0_full_pct,wins_vs_h0b_stochastic_k2,mean_relative_mse_vs_h0b_stochastic_k2_pct,wins_vs_h1_target_set,mean_relative_mse_vs_h1_target_set_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,target_set_prefix_head_multiprefix,4,0,8.42921186135344,0,12.21872287054958,0,14.27981699044339,2,-0.24020413880148905
ETTh2,prefix_token_decoder_multiprefix,4,0,23.776688450892703,0,28.092623103918395,0,30.40809582011343,0,13.667301906745934
ETTm2,target_set_prefix_head_multiprefix,4,0,13.582792864021886,0,15.41614880035328,0,15.72903034823528,0,17.910434930363365
ETTm2,prefix_token_decoder_multiprefix,4,0,18.40805599284306,0,20.328952018598486,0,20.659576270045903,0,22.9497925202723
Weather,target_set_prefix_head_multiprefix,4,0,11.92023659023559,0,13.229936278882203,0,13.22723177164758,0,13.12186849480392
Weather,prefix_token_decoder_multiprefix,4,0,24.0533683131209,0,25.509931441601456,0,25.503706547773884,0,25.435788522057365
ALL,target_set_prefix_head_multiprefix,12,0,11.310747105203639,0,13.621602649928354,0,14.41202637010875,2,10.264033095455266
ALL,prefix_token_decoder_multiprefix,12,0,22.079370918952222,0,24.643835521372782,0,25.523792879311078,0,20.684294316358535
