dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,val_mean_mse,lr,epoch_seconds
ETTh2,target_set_prefix_head_multiprefix,1,0.7848218924703851,0.47346053305452906,0.5607653254956271,0.21701681073260518,0.943445502656751,multi-prefix,1,0.43753311038017273,0.0005,15.124280214309692
ETTh2,target_set_prefix_head_multiprefix,2,0.6778611685849923,0.45462433532275986,0.5443135162370395,0.13086774312289415,0.923690912206616,multi-prefix,1,0.44884222745895386,0.0004877641290737884,12.389107704162598
ETTh2,target_set_prefix_head_multiprefix,3,0.6394083596172586,0.44840807738029853,0.5362456260265502,0.09917538537256486,0.9182489633032705,multi-prefix,1,0.4590543434023857,0.0004522542485937369,12.01014518737793
ETTh2,target_set_prefix_head_multiprefix,4,0.6102660432853529,0.4436339480159557,0.53018718957901,0.07520268756929224,0.9142940782867701,multi-prefix,1,0.45512548834085464,0.0003969463130731183,11.920801162719727
ETTh2,target_set_prefix_head_multiprefix,5,0.5858209774029993,0.44060195323112794,0.525355590392003,0.05404894772620328,0.9117007706545096,multi-prefix,1,0.46086812764406204,0.00032725424859373687,12.420934438705444
ETTh2,target_set_prefix_head_multiprefix,6,0.5666587550555711,0.4384024544099791,0.5222624524504738,0.03730133753599583,0.9095496202992127,multi-prefix,1,0.477838933467865,0.00025,13.171166181564331
ETTh2,target_set_prefix_head_multiprefix,7,0.5538853082509168,0.43584557576517086,0.5195150160420258,0.027296907820664677,0.9074282369254965,multi-prefix,1,0.4740038886666298,0.00017274575140626317,12.643589735031128
ETTh2,target_set_prefix_head_multiprefix,8,0.5492475156762958,0.43712231595959283,0.5202449185658345,0.021560785863383683,0.905644128807878,multi-prefix,1,0.47760943323373795,0.00010305368692688174,12.016724109649658
ETTh2,target_set_prefix_head_multiprefix,9,0.543117242444933,0.43420614315345224,0.5170707478459957,0.018457881228553248,0.9045321864891896,multi-prefix,1,0.4750859886407852,4.7745751406263163e-05,12.611766815185547
ETTh2,target_set_prefix_head_multiprefix,10,0.5432659018356188,0.4356935874814481,0.5188857088838004,0.017165239657217685,0.9040707236370155,multi-prefix,1,0.47636328637599945,1.2235870926211617e-05,14.268401384353638
ETTh2,prefix_token_decoder_multiprefix,1,0.8375772630746385,0.5267102488901763,0.6099197533542076,0.21673267624810733,0.9413433755393577,multi-prefix,1,0.6314692050218582,0.0005,13.590930461883545
ETTh2,prefix_token_decoder_multiprefix,2,0.7172866025857166,0.4899114731666261,0.5702016573827878,0.13506310878206143,0.9231201977328917,multi-prefix,1,0.6618241220712662,0.0004877641290737884,12.953842163085938
ETTh2,prefix_token_decoder_multiprefix,3,0.66306991440005,0.4704776784751268,0.5508461432383124,0.1008927834640562,0.9169945590263975,multi-prefix,1,0.6631800681352615,0.0004522542485937369,13.954546928405762
ETTh2,prefix_token_decoder_multiprefix,4,0.63157324730295,0.4620210657605028,0.5420418054656645,0.07822636775342764,0.9132580910108786,multi-prefix,1,0.6905343532562256,0.0003969463130731183,13.313818454742432
ETTh2,prefix_token_decoder_multiprefix,5,0.604250686622299,0.45563570297924816,0.5351259038511631,0.05750555228606789,0.911094301306041,multi-prefix,1,0.6776263415813446,0.00032725424859373687,14.080315351486206
