system,dataset,trained_model_count,total_stored_parameters,actual_checkpoint_bytes,training_seconds,training_gpu_hours,single_request_latency_ms,all_horizon_service_latency_ms,all_horizon_p95_iteration_latency_ms,all_horizon_round_cv,peak_inference_memory_bytes,incremental_activation_peak_bytes,checkpoint_sha256
ISCF-BSCA,ETTm1,1,791381,8351861,3086.174238204956,0.8572706217235989,10.008672947883607,10.025934715270996,10.119173049926758,0.0012194655908815929,19253248,1277440,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
ISCF-BSCA,ETTm2,1,1740229,12147253,1996.7020432949066,0.5546394564708074,10.068251585960388,10.075706577301025,10.255407667160034,0.0011866075022823734,25780736,4010496,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
ISCF-BSCA,ETTh1,1,2045193,9527093,584.3408589363098,0.16231690526008605,9.841957738399506,9.865444173812866,9.968998718261718,0.001123528078722236,25015296,5678592,c60895a465a1236ab4d21497d460c83636c3421bcfd193ad9a1d89ea5fa75642
ISCF-BSCA,ETTh2,1,2570133,12906869,88.2490599155426,0.02451362775431739,9.902969832420348,9.924796171188355,10.096730852127076,0.002255376329186504,29767168,7234560,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
ISCF-BSCA,Weather,1,3944597,18404725,3721.642711877823,1.0337896421882842,9.860696403980254,9.866200323104858,10.020705842971802,0.002148583733458402,39775744,11633664,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8
ISCF-BSCA,ECL,1,5509957,42584885,19932.227034568787,5.536729731824663,10.361645514965058,10.365976028442383,10.586074018478394,0.005416901411109848,91015168,35994624,91548c1801d1b0e954807e9afc5b64202f9295646c19301af680b1c9a76c6169
ISCF-BSCA,Solar,1,3879749,25825333,21689.561023950577,6.024878062208494,12.099214344024658,12.105362586975097,13.360285043716429,0.0091531855135881,54308864,17605120,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963
TimeAlign,ETTm1,4,2810496,62497364,805.2976861000061,0.22369380169444614,0.9079413582384586,3.4956780862808228,3.5421184301376343,0.0010093697569586815,73739776,108032,86e81deb62893ceb6cc0a53b7a90a7849fd741426f773d508297aa7e66d65ce9;4835ca51cfb9971bd396d5ac773e2cf5d16c41cbb352e66eb5f6300e82bc4175;ff089a12343b7c71987b809b736ac2294f811b3cf4ad354dcddb75ec16e313f6;f2bb0a8081f0cca11c14f44211987f4dcdbf86f91b1c15b7b350d2defa01dbf7
TimeAlign,ETTm2,4,4842112,60383700,649.6773452758789,0.18046592924329968,0.9739990413188935,3.8007120060920716,3.859294354915619,0.0024945641475469884,71841792,167936,2e16bddd59106307b8bdcd27db8b15b3c9c03f0370404064be56cfb535d1c243;1a4a7d8edc575e397de81ed91ec9dddd5e1c12f1c9ccd6242f5c9bc7f68426ca;106d5db70b3b36757d956850b05403fc5d0403e8557328774a88e19e2cf0e5ad;9739c9511b727adbcb5b0689c704d1ee4c8f60249f56f7dc1cfe60d28c960dc9
TimeAlign,ETTh1,4,2116224,18760148,125.21577286720276,0.03478215912977854,0.9192393609881402,3.5531203174591064,3.619886314868927,0.002281427333007891,28574720,122368,47749795457282b5d728c82fec6f9b9000de7bf917e9f5bd344d7037b466b08c;904a1d60411d2d225a918e35db7c0cd8e0df65979b1f3c7ca0fcfd23bf91e1dd;827786ea067717501a6b06cadbe98441d1493a30ecc2bf1d8737f22a5b24963f;921ac2865fa61b34a2a69dc79d8c09ec9e6a48b80276ac7125f622dcb2058fd7
TimeAlign,ETTh2,4,4177792,27006420,159.69281578063965,0.044359115494622126,0.937351280450821,3.6190169644355774,3.674163281917572,0.0017029893166411799,37193728,167936,4392a2b15ac274fe79b01332dc1e03833ac0f44875c1959ea3f83f9c7623049e;8d4359e8502e22289f11b7937816062917762bc6e79c5398b45da213d2525ca2;990fa5d4c517ffc72d3f511ce5411c66189a524b2d274d6380dadba4b106160d;84770002fb819ac65ba3769ef168ced5d8cf2d69f7e4b9a3a939280ab5a8d468
TimeAlign,Weather,4,17585280,111346068,1254.702971458435,0.34852860318289863,0.8649340808391571,3.3215276646614074,3.376422417163849,0.0022327094326273123,125254144,2665984,d80ae970219f938d0bbc5cd0d75e4be7824148cfa3cb56ebec2781498bbfc342;a9b39a77cd081293b92a2fe43ec7831f45d6007d7ae7350152194dd4b4042062;13f02ef161f3b79f4f6611d1ef907e6639f35bfdeea3a5e0a24c080ea8167265;f7e69093c808919e30071a5f271fea73df3b67230633ea221cb505e3069d29b3
