system,trained_model_count,parameters_million,checkpoint_mib,training_gpu_hours,training_gpu_hours_all_seven_datasets,single_request_latency_ms,all_horizon_service_latency_ms,all_horizon_p95_iteration_latency_ms,max_unit_round_cv,peak_inference_memory_mib,incremental_activation_peak_mib,chpc_guarantee
ISCF-BSCA,1.0,2.925891285714286,17.676764760698592,2.02773400677575,14.19413804743025,10.30620119537626,10.31848865372794,10.629625027520316,0.0091531855135881,38.81675502232143,11.367047991071429,Architectural
TimeAlign,4.0,10.741193142857144,95.43288040161133,0.28982863325921315,2.028800432814492,0.9276776690568243,3.5824186522620067,3.6341874122619626,0.005671273665462005,109.10232979910714,1.7626255580357142,No
QDF,4.0,5.337385142857142,20.381113869803293,0.20414239569315834,1.4289967698521084,1.1414804569312504,4.425958359582084,4.492697746413095,0.004253552032573836,31.938685825892858,1.4061802455357142,No
DLinear-H720-prefix,1.0,0.48528,1.853754997253418,0.02097521252102322,0.14682648764716255,0.4046585716200726,0.4292677950007575,0.439818506368569,0.0367992627581084,11.052804129464286,0.7839006696428571,Service protocol
PatchTST-H720-prefix,1.0,3.1979344285714286,12.233187402997698,1.1101910814784821,7.771337570349375,3.9330106554712567,3.8820435176576886,3.938236996105739,0.0035675325281928215,58.01841517857143,36.38657924107143,Service protocol
