partition,trainable_parameters,parameter_shape_hash,parameter_value_hash,pass
canonical,1184117,7a82b00076f2a865f95446254b52599530c122ca5fb48d30d322302a3fa86d13,f9b1c848ae0a963014f247c26827da942ab5535d7ccbce12dca2702cf18899eb,True
random,1184117,7a82b00076f2a865f95446254b52599530c122ca5fb48d30d322302a3fa86d13,f9b1c848ae0a963014f247c26827da942ab5535d7ccbce12dca2702cf18899eb,True
