dtype,readout_dim,output_max_abs,arm_max_abs,tolerance,pass
float32,768,1.7881393432617188e-06,1.9073486328125e-06,2e-05,True
float32,1536,2.5033950805664062e-06,2.384185791015625e-06,2e-05,True
float32,3072,3.814697265625e-06,1.6689300537109375e-06,2e-05,True
float64,768,1.7763568394002505e-15,4.884981308350689e-15,2e-11,True
float64,1536,2.6645352591003757e-15,4.884981308350689e-15,2e-11,True
float64,3072,3.1086244689504383e-15,5.329070518200751e-15,2e-11,True
