partition,minimum_pairwise_normalized_rmse,mean_pairwise_normalized_rmse,initial_policy_uniform_max_abs,pass
canonical,0.13024671813021807,0.6646540487725282,0.0,True
random,0.02305630794183147,0.6163742891154924,0.0,True
