dataset,readout_dim,a6_decoder_parameters,pcsd_field_parameters,pcsd_policy_parameters,pcsd_total_parameters,pcsd_field_to_a6_parameter_ratio,pcsd_to_a6_parameter_ratio,a6_estimated_flops_per_channel,pcsd_estimated_flops_per_channel,pcsd_to_a6_flop_ratio,naive_point_state_fp32_mib_per_channel,chunked_estimated_peak_fp32_mib_per_channel,parameter_dof_equals_trainable_count,pass
ETTh1,1536,578512,1943248,51877,1995125,3.359045274773903,3.4487184362640706,1155072,12237856,10.594885859929079,0.703125,0.0938720703125,True,True
ETTh2,768,381904,1156816,27301,1184117,3.0290753697264234,3.100561921320541,761856,10615840,13.934181787634408,0.703125,0.0938720703125,True,True
ETTm1,768,381904,1156816,27301,1184117,3.0290753697264234,3.100561921320541,761856,10615840,13.934181787634408,0.703125,0.0938720703125,True,True
ETTm2,3072,971728,3516112,101029,3617141,3.6184117366176545,3.722380131065483,1941504,15481888,7.97417260021097,0.703125,0.0938720703125,True,True
Weather,768,381904,1156816,27301,1184117,3.0290753697264234,3.100561921320541,761856,10615840,13.934181787634408,0.703125,0.0938720703125,True,True
