epoch,train_loss,mse,mae
1,0.36557873914187605,0.6532059907913208,0.5422092080116272
2,0.3355135081166571,0.6594377756118774,0.5489844679832458
3,0.3261024324279843,0.6634756922721863,0.5483280420303345
4,0.3160304433920167,0.6827844381332397,0.554977297782898
5,0.3060134569126548,0.7139981985092163,0.5645884275436401
6,0.29567798577023274,0.7432131171226501,0.5746439099311829
7,0.2868883279011105,0.7241763472557068,0.565710723400116
8,0.2794029018418355,0.7500261664390564,0.5743244886398315
9,0.2724855940111659,0.7706270217895508,0.5846561789512634
10,0.2660637405898535,0.7747437357902527,0.5853441953659058
11,0.2604338589378379,0.8172484040260315,0.6027143001556396
